closedjet,
X,Y
-0.00008154860806719455,0.008888798279324428
0.0034454286908389697,0.024448272698545548
0.007013180293778842,0.03556334797810434
0.01056054474470186,0.04890062282749419
0.01777759655864869,0.06224197510728757
0.021345348161588562,0.07335705038684637
0.02489271261251158,0.08669432523623621
0.028460464215451398,0.09780940051579501
0.03204860297040801,0.10670227622552297
0.0392656547843549,0.12004362850531591
0.039143331872254106,0.13337682592430267
0.04631960938216734,0.15116257734375815
0.04617689931804975,0.16671797433257596
0.05337356397997983,0.18228152618220017
0.056920928430902795,0.19561880103159002
0.06411759309283288,0.21118235288121445
0.07131425775476291,0.2267459047308389
0.07484123505366913,0.24230537915005979
0.078408986656609,0.2534204544296186
0.08195635110753202,0.26675772927900865
0.08552410271047184,0.2778728045585672
0.09274115452441872,0.2912141568383606
0.09995820633836555,0.3045555091181539
0.09983588342626476,0.3178887065371403
0.10705293524021159,0.3312300588169337
0.1106206868431514,0.3423451340964925
0.11416805129407442,0.35568240894588243
0.12140549026003811,0.36680156165584465
0.12493246755894433,0.38236103607506566
0.1321291322208744,0.39792458792469
0.13569688382381423,0.4090396632042488
0.13926463542675405,0.4201547384838076
0.14283238702969386,0.4312698137633665
0.14635936432860014,0.4468292881825874
0.15359680329456377,0.4579484408925496
0.1608138551085106,0.4712897931723429
0.16803090692245753,0.48463114545213615
0.17157827137338044,0.4979684203015261
0.17879532318732733,0.5113097725813194
0.18599198784925736,0.5268733244309438
0.18951896514816358,0.5424327988501647
0.19669524265807686,0.5602185502696202
0.20754120753101396,0.578008379119479
0.2147174850409272,0.5957941305389345
0.2255226756098307,0.6180283585284555
0.23261740451167673,0.6447029082272353
0.2470922824436041,0.6669412136471596
0.25426855995351727,0.684726965066615
0.2614652246154473,0.7002905169162394
0.2722908023363676,0.7203025453359294
0.28672490596426126,0.746985249895516
0.3012405582002222,0.7647791561757781
0.3157358232841663,0.7847952620258714
0.32660217530912017,0.8003628913058991
0.3447467406040714,0.8226052741562269
0.3665202189580127,0.8492961335766201
0.38833447161598766,0.8715425938573512
0.4174269375439599,0.9004638077083823
0.4538383910459628,0.9316153759900512
0.49031100600401634,0.9561003455622268
0.5231547079030794,0.976136838564337
0.5669870847391973,0.9984077634274882
0.6218081365123699,1.0229131201516806
0.6803804242566334,1.0385337560269519
0.7353237989419069,1.0497059153321577
0.7829481860531493,1.058647720206726
0.8269232729533849,1.0653632480810595
0.86726944679463,1.0676302993853275
0.9112853079988992,1.0699014281199988
0.9589708565661919,1.0721766342850736
0.9993578047114708,1.0699992864496795
0.9993578047114708,1.0699992864496795
1.0397243657047328,1.0700441381841164
1.076421239334971,1.07008491248815
1.120457487691257,1.0701338416529904
1.1755027981366142,1.0701950031090408
1.2378874833080193,1.0702643194258978
1.2525662327601146,1.0702806291475113
1.2966228682684173,1.0681073587425205
1.337009816413696,1.0659300109071264
1.381046064769982,1.0659789400719668
1.4251230874303016,1.061583470097145
1.458150273697516,1.061620166970775
1.494867534479771,1.0594387417049775
1.5352748697770664,1.0550391942997523
1.5719513562552878,1.057302168173617
1.6196980662786313,1.0529107756291987
1.663734314634917,1.0529597047940389
1.700451575417172,1.0507782795282414
1.7518475856515223,1.0486131639840572
1.7885852335857944,1.0442095391484287
1.8252821072160323,1.0442503134524623
1.8583296806352638,1.0420648107562616
1.8987370159325592,1.0376652633510361
1.9354542767148144,1.0354838380852387
1.9721715374970696,1.0333024128194412
