BH_1.43,
X,Y
-0.0016209281365534012,0.8612283186491807
0.003740780252726894,0.8612503908621041
0.01044981330586564,0.8605919031765594
0.019832802987106157,0.8606305295491752
0.029215792668346563,0.8606691559217909
0.03859878234958708,0.8607077822944067
0.04932909669468605,0.8600658487685546
0.06005251347324664,0.8601099931944012
0.06943550315448704,0.8601486195670169
0.08015891993304763,0.8601927639928635
0.08954880718082664,0.8595453124137806
0.09893179686206705,0.8595839387863964
0.10965521364062764,0.8596280832122429
0.11904510088840653,0.8589806316331601
0.12842119300310845,0.8597053359574744
0.13914460978166893,0.859749480383321
0.1512153512240882,0.8591130649106997
0.1659600492946089,0.8591737634962388
0.1807047473651296,0.8592344620817778
0.19411591590486882,0.8586035646623873
0.20752018687806933,0.8586587451946954
0.21958403075395,0.8587084076737729
0.2303074475325106,0.8587525520996194
0.24103086431107107,0.858796696525466
0.25175428108963166,0.8588408409513125
0.26247769786819214,0.8588849853771592
0.2745415417440727,0.8589346478562365
0.28527185608917166,0.8582927143303845
0.2946479482038737,0.8590174186546988
0.30537136498243417,0.8590615630805454
0.3134139275663546,0.8590946713999303
0.322796917247595,0.859133297772546
0.3335203340261556,0.8591774421983926
0.34156289661007594,0.8592105505177775
0.35228631338863653,0.859254694943624
0.36166930306987694,0.8592933213162398
0.3723927198484375,0.8593374657420864
0.38177570952967793,0.8593760921147021
0.39249222874170003,0.8601063144922474
0.4045560726175806,0.8601559769713247
0.4152794893961412,0.8602001213971713
0.4246624790773816,0.860238747769787
0.4340385711920834,0.8609634520941014
0.4447550904041055,0.8616936744716466
0.4541449776518844,0.8610462228925637
0.4635279673331249,0.8610848492651795
0.4729040594478268,0.8618095535894938
0.4836343737929259,0.8611676200636418
0.4956844225357295,0.8625894384461164
0.5077413688450716,0.8633251788768924
0.5197983151544137,0.8640609193076685
0.5318621590302941,0.8641105817867458
0.5439191053396364,0.8648463222175218
0.5573164787462983,0.8655875807015286
0.5680329979583203,0.8663178030790739
0.5787564147368807,0.8663619475049205
0.5894729339489029,0.8670921698824656
0.5975085989662847,0.8678113561535492
0.6055442639836666,0.8685305424246328
0.6149272536649069,0.8685691687972485
0.6256437728769291,0.8692993911747937
0.6363602920889511,0.8700296135523389
0.6470768113009728,0.8707598359298842
0.657793330512995,0.8714900583074293
0.6698502768223371,0.8722257987382054
0.6805598984678207,0.8736420990674492
0.6912833152463813,0.8736862434932957
0.7033333639891848,0.8751080618757704
0.7153903102985268,0.8758438023065465
0.7234190777493701,0.8772490665293287
0.732795169864072,0.877973770853643
0.7421712619787739,0.8786984751779574
0.7528877811907961,0.8794286975555026
0.7622638733054978,0.8801534018798169
0.7702995383228797,0.8808725881509005
0.7796687328710432,0.8822833704269135
0.7890448249857451,0.8830080747512279
0.7984278146669854,0.8830467011238436
0.809137436312469,0.8844630014530875
0.8225210145860542,0.8865764158404916
0.8332237386649992,0.8886787941214341
0.8452737874078027,0.8901006125039088
0.8600046903452463,0.8915334669928451
0.8707143119907297,0.892949767322089
0.8814308312027517,0.8936799896996341
0.8934808799455554,0.8951018080821088
0.9055240311218204,0.8972097044162821
0.9162267552007655,0.8993120826972246
0.9269363768462489,0.9007283830264684
0.9349720418636305,0.9014475692975521
0.9470151930398956,0.9035554656317253
0.9603987713134807,0.9056688800191295
0.9711014953924255,0.9077712583000719
0.9831515441352294,0.9091930766825466
0.9938680633472512,0.9099232990600918
1.0018968307980947,0.911328563282874
