AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
2.496,0.0,39.98822250188802,39.70120510108445,0.0,-20.0,0.496628535097516,0.4895249693549186,0.0269118126538644,0.0265268774016005,-0.0625252451647622,-0.0616309103486753,0.0081079636878203,0.0079919907844837,-0.0760898446753434,-0.0750014875315292,0.0263892008170431,0.0260117407847441,0.007229438,39.5,2.5,0.0,0.0012170477998666646,1.0024340955997333,39.749493998316424,0.48833631208647893,0.0264624652314226,0.007972584751022735,-0.0748193700321591,0.025948579461657153
2.496,4.0,39.99663253237486,39.70955476817077,0.0,-20.0,0.4982324655541073,0.491105957864683,0.0309547148818611,0.0305119516560962,0.0316623002035607,0.0312094159748812,-0.020599676921507,-0.0203050278046183,-0.072744290456031,-0.071703786713024,0.006525507405891,0.0064321692918165,0.007229438,39.5,2.5,4.0,0.0013056679438106186,1.0026113358876212,39.76136845721195,0.48982685541840826,0.03043248222311758,-0.020252142657695035,-0.07151703172151347,0.006415416484516446
2.496,8.0,39.98744921210356,39.700437361624815,0.0,-20.0,0.5234159055187912,0.5159291844932993,0.0403211609895367,0.0397444240570711,0.1435354218284363,0.141482351508686,-0.0473048344472705,-0.0466282059861755,-0.1144690496971241,-0.1128317325424493,-0.009574847937301,-0.0094378933384585,0.007229438,39.5,2.5,8.0,0.0014903475716147867,1.0029806951432296,39.75956078759305,0.5143959270518388,0.03962631010699108,-0.04648963455823724,-0.11249641502455486,-0.009409845457803883
2.496,10.0,39.98437706931307,39.697387269287766,0.0,-20.0,0.5297798555249134,0.5222021072344613,0.0426605203826623,0.0420503222370963,0.1934615032454396,0.1906943112501269,-0.0630775268345125,-0.0621752924136461,-0.1122826411828681,-0.1106765974962354,-0.021451558946504,-0.0211447248673309,0.007229438,39.5,2.5,10.0,0.0016581376471691608,1.0033162752943383,39.763156519510346,0.5204760653177536,0.041911332719844686,-0.0619697835514589,-0.11031077659312036,-0.02107483491297674
-4.996,0.0,40.00533998428826,39.71819972192698,0.0,-10.0,-0.3838001735592838,-0.3783104572578165,-0.0337070860169263,-0.0332249540317684,-0.0285464989664102,-0.0281381818484881,0.0013883357312066,0.0013684775606778,0.1861183855490805,0.1834562264216466,0.0126512998322206,0.0124703409590663,0.007229438,39.5,-5.0,0.0,0.0011523045404505637,1.0023046090809011,39.76394084511947,-0.37744060421384446,-0.033148559560386745,0.0013653310064419182,0.1830344036728249,0.012441667778522363
-4.995,0.0,39.991798252437086,39.70475518651103,0.0,-10.0,-0.3724957580209146,-0.3671677353260031,0.060296687852545,0.0594342293831835,-0.0424367641390819,-0.0418297665087385,0.008099664366782,0.0079838101734438,0.1714430928783923,0.1689908429666212,0.0171100392329712,0.0168653044262489,0.007229438,39.5,-5.0,0.0,0.002086815318399618,1.0041736306367992,39.78752540469229,-0.3656416819999175,0.05918720385586418,0.007950627192212612,0.1682884690563476,0.016795207433951163
2.496,0.0,19.99838583806929,19.854846456611696,0.0,-10.0,0.4960554518153877,0.4889600832150866,0.0408728930172394,0.040288264341843,-0.0405874849279441,-0.0400069386098479,0.0040359341099927,0.0039782058055216,-0.1133556653220791,-0.1117342735493467,0.0151366593781226,0.0149201509670731,0.007229438,20.0,2.5,0.0,0.0013077944190763766,1.0026155888381527,19.880795557035782,0.48768450107752814,0.040183161712585874,0.0039678275999394845,-0.11144278504469116,0.01488122779375774
2.496,0.0,39.98896818151591,39.70194542856075,0.0,-10.0,0.5138649901068972,0.5065148813594674,-0.0412395766717983,-0.040649703107591,-0.0309719640074008,-0.0305289540573971,-0.0007135638442168,-0.0007033573270299,-0.1168347855439352,-0.1151636298984573,0.0126048264781474,0.0124245323403086,0.007229438,39.5,2.5,0.0,0.0011523045404505637,1.0023046090809011,39.74766783263605,0.5053502465921356,-0.04055623683589183,-0.0007017400904450279,-0.11489883300453012,0.012395964487983066
2.5,0.0,39.98226519445301,39.69529055251164,0.0,-10.0,0.5013813202871935,0.4942097727037043,0.056376617431768,0.0555702300013856,-0.0386493844874657,-0.0380965599431335,0.0047444566820065,0.0046765939685864,-0.0962202052320491,-0.0948439118752892,0.0143660493169695,0.0141605633882069,0.007229438,39.5,2.5,0.0,0.0011523045404505637,1.0023046090809011,39.74100529255616,0.4930734311966175,0.055442456811949314,0.004665841028980969,-0.09462583631363294,0.014128003862211042
2.496,0.0,39.99058970785869,39.703555316319786,0.0,-10.0,0.4988393537934548,0.4917041654298405,0.0740004751084512,0.0729420034283792,-0.0354828549909804,-0.0349753231530968,0.0046639647942947,0.004597253402991,-0.0914892545496585,-0.0901806307221792,0.0148483408716765,0.0146359564473104,0.007229438,39.5,2.5,0.0,0.002986274999792539,1.005972549999585,39.82194454272897,0.4887848733348075,0.0725089401578694,0.004569959093807178,-0.08964522016253465,0.014549061450351142
2.496,0.0,39.98872997496133,39.70170893174523,0.0,-10.0,0.5052963432575711,0.4980687968317109,0.0215774160721897,0.0212687817856115,-0.0329585204123379,-0.0324870955948295,0.0017535141334841,0.0017284326046401,-0.1028332025113387,-0.1013623196221432,0.0135571033387254,0.0133631882330883,0.007229438,39.5,2.5,0.0,0.0011523045404505637,1.0023046090809011,39.74743106346101,0.49692358223158606,0.02121987826147449,0.001724458402146876,-0.10112925621991402,0.013332462119816202
5.0,0.0,39.97816513643388,39.69121992285722,0.0,-10.0,0.7916801204274834,0.7803562608722531,-0.0285343284701183,-0.0281261854338577,-0.0373286816350332,-0.0367947478689702,0.0008291776632762,0.0008173174546351,-0.2265426229598995,-0.2233022525382117,0.012979641371773,0.0127939860392987,0.007229438,39.5,5.0,0.0,0.0011523045404505637,1.0023046090809011,39.7369299749961,0.7785619798634155,-0.02806151461245799,0.000815438188381243,-0.22278881142028933,0.012764568698362667
5.0,0.0,40.01462427267264,39.727417371882495,0.0,-10.0,0.7716045046949634,0.760567798305733,0.0677118369157709,0.0667433152721469,-0.0388386407124846,-0.0382831091266886,0.0046242196426752,0.0045580767493082,-0.1933026635736599,-0.1905377435542231,0.0137476067645991,0.0135509667780616,0.007229438,39.5,5.0,0.0,0.0011523045404505637,1.0023046090809011,39.7731691105023,0.758819017108145,0.06658985169523421,0.0045475963175385286,-0.19009963820174733,0.013519808903690108
7.0,0.0,39.998608010003394,39.71151606671309,0.0,-10.0,0.9879429256840728,0.97381180548746,-0.0109648236664727,-0.0108079874392601,-0.04243777534626,-0.0418307632520343,0.0009996010509159,0.000985303177798,-0.3302953040258658,-0.3255708988803616,0.0133416669194494,0.0131508333257664,0.007229438,39.5,7.0,0.0,0.0011523045404505637,1.0023046090809011,39.757249492731525,0.9715727101967848,-0.010783136524904209,0.0009830376602792525,-0.324822310434056,0.013120595482271128
7.0,0.0,39.99314775350808,39.706095001472825,0.0,-10.0,0.9612123874195604,0.9474636096025688,0.0832239546702947,0.0820335542168787,-0.0380723561275151,-0.0375277851542135,0.002980337068645,0.0029377075803936,-0.2855735097998466,-0.2814887863942348,0.0128314202869259,0.0126478850465249,0.007229438,39.5,7.0,0.0,0.0011523045404505637,1.0023046090809011,39.75182218436809,0.945285096984019,0.08184493363958716,0.0029309528797711857,-0.2808415563930769,0.012618803637072793
2.496,4.0,20.02153057898999,19.877825075035176,0.0,-10.0,0.4997618270848614,0.4926134440511704,0.0439161141395108,0.0432879565088016,0.0628909826474973,0.0619914164762435,-0.0285096743174806,-0.0281018839238527,-0.1094415433458905,-0.107876137528087,-0.0067180835080361,-0.0066219908663713,0.007229438,20.0,2.5,4.0,0.0014489124052792608,1.0028978248105584,19.90660546732582,0.49119006130482157,0.04316287804989351,-0.028020684887975485,-0.10756443464065163,-0.00660285694369928
