run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,V_solid_blockage_corr,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CY_solid_blockage_corr,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMpitch25c,CMyaw,CMyaw_solid_blockage_corr,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CY_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,CMpitch25c_uncorrected,solid_blockage_e,matched_fit_velocity,velocity_match_error,fit_found,fit_match_type,matched_fit_AoS,matched_fit_dR,matched_fit_source_row,CD0_fit,k_fit,CL2_fit,CDi_fit,CDsep_fit,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
4.0,17.0,20.0,16.0,2.496,0.0,413.22,101106.0,290.81,788.1,1844.2,1294.7,283.5,422.4,-1323.6,0.0,1.2111837665772662,968.376508682172,39.98822250188802,39.70120510108445,443397.0123409999,98.44,98.43,6.44,7.87,0.0,21.129,21.653,28.525,28.589,101106.0,1.4878860687823469e-05,1.9991104588813853,1.9993135585927413,7.352540167190499,13.14918597295706,107.13484671210308,-2.542902906018317,-2.537051679296379,8.644608059925003,0.0349618126538645,0.0625252451647622,0.5094332508597899,-0.0086579981384831,-0.0731232540013728,0.0294328974628212,0.5104725077494743,0.0127430081841154,-0.061044888021905,-0.0601717276119258,0.496628535097516,0.4895249693549186,0.0269118126538644,0.0265268774016005,-0.0625252451647622,-0.0616309103486753,0.0081079636878203,0.0079919907844837,-0.0760898446753434,-0.0750014875315292,-0.0760898446753434,0.0263892008170431,0.0260117407847441,800.3666666666667,1849.4333333333327,1299.8666666666668,285.2333333333333,401.5,-1326.6999999999998,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,39.5,2.5,0.0,1.9991104588813853,2.0,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0349618126538645,-0.0625252451647622,0.5094332508597899,0.007674630354487,-0.0829773446753433,0.0297392008170431,-0.0829773446753433,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,0.0,-20.0,331.0,0.0463957448567955,0.0617777669659325,0.239634695621934,0.014804096383084005,0.0,0.0012170477998666646,1.0024340955997333,39.749493998316424,0.48833631208647893,0.0264624652314226,-0.06148125908646687,0.007972584751022735,-0.0748193700321591,0.025948579461657153
1.0,17.0,17.0,7.0,2.496,4.0,413.81,101101.0,290.5,809.5,-428.2,696.7,860.7,460.6,-25.3,0.0,1.2124162911880931,969.769728920426,39.99663253237486,39.70955476817077,444308.8042373147,98.44,98.42,6.9,6.8,0.0,20.503,20.594,28.612,28.743,101101.0,1.4851449705370646e-05,1.9995308971718089,1.9999372233041337,7.603355027514802,-7.216187417281273,106.82648115503552,-5.022943558004886,-2.312526063937661,0.1588977406771972,0.0361025125137948,-0.0342641499169136,0.5072371813163812,-0.0170773952470912,-0.066556190140589,0.0005402329311643,0.5083281987643795,0.0139782638606351,0.0281445070597708,0.0277419398650508,0.4982324655541073,0.491105957864683,0.0309547148818611,0.0305119516560962,0.0316623002035607,0.0312094159748812,-0.020599676921507,-0.0203050278046183,-0.072744290456031,-0.071703786713024,-0.072744290456031,0.006525507405891,0.0064321692918165,827.2,-431.7,703.5,860.6,438.8,-26.9,-17.7,3.5,-6.8,0.1,21.8,1.6,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,39.5,2.5,4.0,1.9995308971718089,2.0,0.00745,0.0061196428571428,0.0090047157622739,-0.0061333333333333,-0.0039875,-0.00715,True,0.0384047148818611,0.0342641499169136,0.5072371813163812,-0.0267330102548403,-0.076731790456031,-0.000624492594109,-0.076731790456031,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,4.0,-20.0,349.0,0.0497740818358744,0.0598984398047693,0.24118506185018776,0.014446608909043031,0.0,0.0013056679438106186,1.0026113358876212,39.76136845721195,0.48982685541840826,0.03043248222311758,0.031128129971970855,-0.020252142657695035,-0.07151703172151347,0.006415416484516446
2.0,17.0,18.0,4.0,2.496,8.0,413.45,101104.0,290.63,508.3,-2894.0,101.3,1653.4,181.6,1226.0,0.0,1.211909932667162,968.9196246045556,39.98744921210356,39.700437361624815,443867.2703991036,98.42,98.43,7.98,6.06,0.0,20.618,20.945,28.89,28.665,101104.0,1.4862809760720225e-05,1.9994780330453228,1.999274895990253,4.792262915720875,-31.173048377339043,112.0740194845113,-7.826694062111748,-3.01456195211257,-8.001160292735243,0.0227747524649654,-0.1481468093170123,0.5326206212810651,-0.0266331516102841,-0.0868374181123607,-0.0272268359339839,0.5331071373955024,-0.0004422913531882,0.0898271664598694,0.0885423164415481,0.5234159055187912,0.5159291844932993,0.0403211609895367,0.0397444240570711,0.1435354218284363,0.141482351508686,-0.0473048344472705,-0.0466282059861755,-0.1144690496971241,-0.1128317325424493,-0.1144690496971241,-0.009574847937301,-0.0094378933384585,521.1,-2897.3,110.3,1651.4,156.0,1220.2,-12.8,3.3,-9.0,2.0,25.6,5.8,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,39.5,2.5,8.0,1.9994780330453228,2.0,0.00285,0.0583196428571428,0.0092047157622739,-0.0198333333333333,0.0212125,-0.02055,True,0.0431711609895367,0.1481468093170123,0.5326206212810651,-0.0671381677806038,-0.0932565496971241,-0.030124847937301,-0.0932565496971241,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,8.0,-20.0,374.0,0.0568143549400112,0.0538917364056854,0.26618292341192085,0.014345059944209983,0.0,0.0014903475716147867,1.0029806951432296,39.75956078759305,0.5143959270518388,0.03962631010699108,0.14106188902118574,-0.04648963455823724,-0.11249641502455486,-0.009409845457803883
3.0,17.0,18.0,49.0,2.496,10.0,413.27,101103.0,290.71,330.1,-3931.4,-197.7,2031.0,31.8,1709.0,0.0,1.211564445727421,968.4945769444824,39.98437706931307,39.697387269287766,443611.97787620977,98.43,98.43,7.14,7.02,0.0,20.79,21.22,28.855,28.611,101103.0,1.4870220568739444e-05,1.999121296346392,1.999121296346392,3.065151877192533,-41.8584898958199,113.32130386928944,-8.123402393455388,-3.16332361165506,-11.18160035468108,0.014573222189432,-0.1990156110386959,0.5387845712871872,-0.0276549405316352,-0.0911626352509436,-0.0380661301607249,0.5389080657471974,-0.0089044783516518,0.1370959681815531,0.1351350050990925,0.5297798555249134,0.5222021072344613,0.0426605203826623,0.0420503222370963,0.1934615032454396,0.1906943112501269,-0.0630775268345125,-0.0621752924136461,-0.1122826411828681,-0.1106765974962354,-0.1122826411828681,-0.021451558946504,-0.0211447248673309,333.1,-3942.1,-187.5,2029.8,4.100000000000001,1705.3,-3.0,10.7,-10.2,1.2,27.7,3.7,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,39.5,2.5,10.0,1.999121296346392,2.0,0.00625,0.0619196428571428,0.0090047157622739,-0.0189333333333333,0.0170125,-0.0201499999999999,True,0.0489105203826623,0.1990156110386959,0.5387845712871873,-0.0820108601678459,-0.0952701411828681,-0.041601558946504,-0.0952701411828681,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,10.0,-20.0,392.0,0.0632107721849017,0.0522715180583161,0.27269504080011175,0.014254183749596286,0.0,0.0016581376471691608,1.0033162752943383,39.763156519510346,0.5204760653177536,0.041911332719844686,0.19006400668042964,-0.0619697835514589,-0.11031077659312036,-0.02107483491297674
1.0,12.0,48.0,53.0,-4.996,0.0,414.34,101170.0,290.45,-619.2,925.6,-346.6,-912.5,45.0,-701.9,0.0,1.2134526039979827,971.0212932130448,40.00533998428826,39.71819972192698,444844.7576862209,123.02,123.03,17.46,17.61,0.0,19.691,20.772,34.09,33.511,101170.0,1.48367858629074e-05,1.6003631373030802,1.6002330582055182,-5.863858106526021,6.0197828451074695,-75.94717092998704,-2.828415237606084,6.252893085297141,4.53287020069566,-0.0278070860169263,0.0285464989664102,-0.3601501735592838,-0.0096038721582797,0.1797308758151738,0.0153913418859964,-0.3563602706027733,-0.0590655490404786,-0.0323964989664102,-0.0319331130673444,-0.3838001735592838,-0.3783104572578165,-0.0337070860169263,-0.0332249540317684,-0.0285464989664102,-0.0281381818484881,0.0013883357312066,0.0013684775606778,0.1861183855490805,0.1834562264216466,0.1861183855490805,0.0126512998322206,0.0124703409590663,-638.1,914.8,-337.0,-902.8,7.600000000000001,-695.6999999999999,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,39.5,-5.0,0.0,1.6003631373030802,1.6,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,-0.0278070860169263,-0.0285464989664102,-0.3601501735592838,-0.0002116642687932,0.1875683855490806,0.0153512998322205,0.1875683855490806,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,0.0,-10.0,332.0,0.0439276316525353,0.0621724279768319,0.1431188020706182,0.00889804341386597,0.0,0.0011523045404505637,1.0023046090809011,39.76394084511947,-0.37744060421384446,-0.033148559560386745,-0.028073483443611425,0.0013653310064419182,0.1830344036728249,0.012441667778522363
8.0,12.0,53.0,8.0,-4.995,0.0,413.7,101161.0,290.67999999999995,1533.2,1283.8,-582.9,-1291.7,1682.5,-929.6,0.0,1.2123845995887763,969.5099735513668,39.991798252437086,39.70475518651103,444030.19039940194,82.02,82.03,1.03,0.87,0.0,23.786,23.813,31.732,30.434,101161.0,1.485897230570449e-05,2.39953707351704,2.399244554063971,13.93759241652099,8.934983625828313,-73.44884085980564,-2.124256591667887,6.653740646990737,6.014379200644172,0.0661966878525451,0.0424367641390819,-0.3488457580209146,-0.0072241482378736,0.1915508258418861,0.0204536340264445,-0.3532846132175095,0.0355717083591513,-0.0462867641390819,-0.0456246977275948,-0.3724957580209146,-0.3671677353260031,0.060296687852545,0.0594342293831835,-0.0424367641390819,-0.0418297665087385,0.008099664366782,0.0079838101734438,0.1714430928783923,0.1689908429666212,0.1714430928783923,0.0171100392329712,0.0168653044262489,1514.3,1273.0,-573.3,-1282.0,1645.1,-923.4,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,39.5,-5.0,0.0,2.39953707351704,2.4,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.0661966878525451,-0.0424367641390819,-0.3488457580209146,0.0064996643667821,0.1728930928783923,0.0198100392329711,0.1728930928783923,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,0.0,-10.0,332.0,0.0439276316525353,0.0621724279768319,0.13481214586442586,0.008381598429158173,0.007124999301490026,0.002086815318399618,1.0041736306367992,39.78752540469229,-0.3656416819999175,0.05918720385586418,-0.04165591012603274,0.007950627192212612,0.1682884690563476,0.016795207433951163
14.0,12.0,58.0,17.0,2.496,0.0,103.96,101160.0,290.57,268.1,288.8,271.3,103.3,158.7,-204.0,0.0,1.2128315782593753,242.52716310066285,19.99838583806929,19.854846456611696,222189.75821228168,49.21,49.21,0.66,0.72,0.0,22.505,22.863,33.762,32.572,101160.0,1.4849138116813831e-05,1.999944180859678,1.999944180859678,2.5767467469310907,2.137724556013921,26.801435904178973,-0.5173985545754108,-0.9250226123674568,1.3495768238307124,0.0489228930172394,0.0405874849279441,0.5088601675776615,-0.0070339095593826,-0.1064541027068845,0.0183471740272914,0.5105079682031981,0.0267158007438398,-0.0391071277850869,-0.0385477558730984,0.4960554518153877,0.4889600832150866,0.0408728930172394,0.040288264341843,-0.0405874849279441,-0.0400069386098479,0.0040359341099927,0.0039782058055216,-0.1133556653220791,-0.1117342735493467,-0.1133556653220791,0.0151366593781226,0.0149201509670731,280.3666666666667,294.03333333333336,276.4666666666667,105.03333333333332,137.79999999999998,-207.1,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,20.0,2.5,0.0,1.999944180859678,2.0,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0489228930172394,-0.0405874849279441,0.5088601675776616,0.0036026007766594,-0.120243165322079,0.0184866593781227,-0.120243165322079,0.007229438,20.0,0.0,True,exact_AoS_flipped_dR,0.0,10.0,67.0,0.0498551463625801,0.0630837092467418,0.23908196297770443,0.015082177038625792,0.0,0.0013077944190763766,1.0026155888381527,19.880795557035782,0.48768450107752814,0.040183161712585874,-0.03990256989342106,0.0039678275999394845,-0.11144278504469116,0.01488122779375774
2.0,12.0,49.0,35.0,2.496,0.0,413.86,101166.0,290.54,-771.0,962.8,1381.8,789.4,-903.6,-719.9,0.0,1.213028753275484,969.8877999129204,39.98896818151591,39.70194542856075,444400.6220198101,123.03,123.03,17.58,17.93,0.0,21.089,22.581,34.074,33.579,101166.0,1.4845535922040316e-05,1.5995781781312823,1.5995781781312823,-6.990728382745571,6.523632102842962,110.93256468921332,-2.7001902292649187,-4.624381133196843,4.712499290059566,-0.0331895766717983,0.0309719640074008,0.5266697058691712,-0.0091791997468383,-0.1330768662458155,0.0160199721565789,0.5247246414124537,-0.0560943649090021,-0.0294916068645437,-0.0290697713206477,0.5138649901068972,0.5065148813594674,-0.0412395766717983,-0.040649703107591,-0.0309719640074008,-0.0305289540573971,-0.0007135638442168,-0.0007033573270299,-0.1168347855439352,-0.1151636298984573,-0.1168347855439352,0.0126048264781474,0.0124245323403086,-758.7333333333333,968.0333333333332,1386.9666666666667,791.1333333333333,-924.5,-723.0,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,39.5,2.5,0.0,1.5995781781312823,1.6,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,-0.0331895766717983,-0.0309719640074008,0.5266697058691712,-0.0011468971775501,-0.1237222855439351,0.0159548264781475,-0.1237222855439351,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,0.0,-10.0,332.0,0.0439276316525353,0.0621724279768319,0.25655732503859535,0.015950791812890722,0.0,0.0011523045404505637,1.0023046090809011,39.74766783263605,0.5053502465921356,-0.04055623683589183,-0.030458758525905325,-0.0007017400904450279,-0.11489883300453012,0.012395964487983066
6.0,12.0,51.0,49.0,2.5,0.0,413.69,101165.0,290.56,1463.3,1116.6,1019.6,387.3,894.7,-788.7,0.0,1.2129332677003728,969.4863594824362,39.98226519445301,39.69529055251164,444267.4437195616,82.02,82.02,0.56,1.3,0.0,24.587,25.399,31.31,30.092,101165.0,1.4847497008520386e-05,2.398965083082591,2.398965083082591,13.564576907358653,8.13735951383032,108.25829926690729,-1.7090309731480768,-2.950725960654127,5.158883014585127,0.064426617431768,0.0386493844874657,0.5141860360494673,-0.0058121951293063,-0.084948871870768,0.0175446994239085,0.51650689445984,0.0419368176834542,-0.0371690273446086,-0.036637377206384,0.5013813202871935,0.4942097727037043,0.056376617431768,0.0555702300013856,-0.0386493844874657,-0.0380965599431335,0.0047444566820065,0.0046765939685864,-0.0962202052320491,-0.0948439118752892,-0.0962202052320491,0.0143660493169695,0.0141605633882069,1475.5666666666666,1121.8333333333333,1024.7666666666669,389.03333333333336,873.8000000000001,-791.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,39.5,2.5,0.0,2.398965083082591,2.4,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.064426617431768,-0.0386493844874657,0.5141860360494674,0.0043111233486732,-0.103107705232049,0.0177160493169695,-0.103107705232049,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,0.0,-10.0,332.0,0.0439276316525353,0.0621724279768319,0.24424329943584708,0.01518519894299899,0.0,0.0011523045404505637,1.0023046090809011,39.74100529255616,0.4930734311966175,0.055442456811949314,-0.0380089641392226,0.004665841028980969,-0.09462583631363294,0.014128003862211042
9.0,12.0,53.0,59.0,2.496,0.0,413.54,101159.0,290.77,1865.9,1091.5,919.7,346.8,1221.5,-810.7,0.0,1.211985376693565,969.1321495590578,39.99058970785869,39.703555316319786,443764.0522338207,70.31,70.3,-1.01,-1.26,0.0,23.067,22.935,28.808,27.539,101159.0,1.4867434357483653e-05,2.7990909288574315,2.7994890925741966,17.268846134261,7.467939246343539,107.68374833889236,-1.4638838402521142,-2.612897888347991,5.299999175943435,0.0820504751084512,0.0354828549909804,0.5116440695557287,-0.0049803007687443,-0.075250584589141,0.0180312052394468,0.514731923286115,0.0596907155866557,-0.0340024978481233,-0.0335161404163473,0.4988393537934548,0.4917041654298405,0.0740004751084512,0.0729420034283792,-0.0354828549909804,-0.0349753231530968,0.0046639647942947,0.004597253402991,-0.0914892545496585,-0.0901806307221792,-0.0914892545496585,0.0148483408716765,0.0146359564473104,1878.1666666666667,1096.7333333333331,924.8666666666668,348.53333333333336,1200.6,-813.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,39.5,2.5,0.0,2.7990909288574315,2.8,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0820504751084512,-0.0354828549909804,0.5116440695557287,0.0042306314609614,-0.0983767545496584,0.0181983408716766,-0.0983767545496584,0.007229438,39.5,0.0,True,exact_AoS_exact_dR,0.0,-10.0,332.0,0.0439276316525353,0.0621724279768319,0.24177298630105598,0.015031613577545969,0.013982758198297932,0.002986274999792539,1.005972549999585,39.82194454272897,0.4887848733348075,0.0725089401578694,-0.03476767149671353,0.004569959093807178,-0.08964522016253465,0.014549061450351142
