V_round,AoS_round,aoa_min_fit,aoa_max_fit,n_points,n_unique_aoa,cl_alpha_slope_per_deg,cl_at_aoa0,r2,fit_success
20,-10,-4.0,8.0,13,13,0.08931933350116399,0.3020240712049057,1.0,True
20,-9,-4.0,8.0,13,13,0.0886671028924591,0.30106641722957955,1.0,True
20,-8,-4.0,8.0,13,13,0.08834619222417424,0.30044389548814654,1.0,True
20,-7,-4.0,8.0,13,13,0.08737890041101293,0.2980990706426952,1.0,True
20,-6,-4.0,8.0,13,13,0.08769154315555201,0.2957290055955285,1.0,True
20,-5,-4.0,8.0,13,13,0.08855822328606526,0.28547376864514723,1.0,True
20,-4,-4.0,8.0,13,13,0.08857809219784642,0.2852865092281998,1.0,True
20,-3,-4.0,8.0,13,13,0.08926171398611445,0.28396223689074046,1.0,True
20,-2,-4.0,8.0,13,13,0.08943988829825843,0.2839726137241466,1.0,True
20,-1,-4.0,8.0,13,13,0.09022331888213582,0.28299946965848644,1.0,True
20,0,-4.0,8.0,13,13,0.09032102166961568,0.28267581702709904,0.999962950647343,True
20,1,-4.0,8.0,13,13,0.08930144347878592,0.28453958847425465,1.0,True
20,2,-4.0,8.0,13,13,0.08952545577029787,0.2845194599614047,1.0,True
20,3,-4.0,8.0,13,13,0.08948117123024438,0.28337754403883453,1.0,True
20,4,-4.0,8.0,13,13,0.08926116955176176,0.2862112456188211,1.0,True
20,5,-4.0,8.0,13,13,0.08866910405973306,0.28741123274568153,1.0,True
20,6,-4.0,8.0,13,13,0.08842475839096356,0.2956029301271217,1.0,True
20,7,-4.0,8.0,13,13,0.08857009210765006,0.3009461287713133,1.0,True
20,8,-4.0,8.0,13,13,0.08862961749710022,0.3027449057297725,1.0,True
20,9,-4.0,8.0,13,13,0.08866659956642964,0.30526292947616745,1.0,True
20,10,-4.0,8.0,13,13,0.08811737951673518,0.3084956345914313,1.0,True
30,-10,-4.0,8.0,13,13,0.08897639476663627,0.29997743250588765,1.0,True
30,-9,-4.0,8.0,13,13,0.08847931000920911,0.2993784295245039,1.0,True
30,-8,-4.0,8.0,13,13,0.08804821085556935,0.2978038875404005,1.0,True
30,-7,-4.0,8.0,13,13,0.08860938465215212,0.29313653480037105,1.0,True
30,-6,-4.0,8.0,13,13,0.08895324197222348,0.2876659747130198,1.0,True
30,-5,-4.0,8.0,13,13,0.08999372832357393,0.27744419786494795,1.0,True
30,-4,-4.0,8.0,13,13,0.08977682855129206,0.2801104913983191,1.0,True
30,-3,-4.0,8.0,13,13,0.09001760909670202,0.2773838071390624,1.0,True
30,-2,-4.0,8.0,13,13,0.0899038321617763,0.27799817016538586,1.0,True
30,-1,-4.0,8.0,13,13,0.09010478293109007,0.2773482104531322,1.0,True
30,0,-4.0,8.0,13,13,0.09133559234517417,0.27351983334670815,0.9997981243713161,True
30,1,-4.0,8.0,13,13,0.08977988261857507,0.2775473585359383,1.0,True
30,2,-4.0,8.0,13,13,0.09002598844784479,0.27842174345442045,1.0,True
30,3,-4.0,8.0,13,13,0.09037200835067691,0.2772878356877143,1.0,True
30,4,-4.0,8.0,13,13,0.08998907984686859,0.27952397210390845,1.0,True
