V_round,AoS_round,aoa_min_fit,aoa_max_fit,n_points,n_unique_aoa,cl_alpha_slope_per_deg,cl_at_aoa0,r2,fit_success
20,-10.0,-4.0,8.0,15,15,0.08932062750100259,0.3020284467312795,1.0,True
20,-9.0,-4.0,8.0,15,15,0.08866838744320903,0.30107077888209144,1.0,True
20,-8.0,-4.0,8.0,15,15,0.08834747212578116,0.30044824812197235,1.0,True
20,-7.0,-4.0,8.0,15,15,0.08738016629913135,0.29810338930623875,1.0,True
20,-6.0,-4.0,8.0,15,15,0.08769281357303327,0.29573328992312625,1.0,True
20,-5.0,-4.0,8.0,15,15,0.08855950625943895,0.28547790440160775,1.0,True
20,-4.0,-4.0,8.0,15,15,0.08857937545906788,0.285290642271769,1.0,True
20,-3.0,-4.0,8.0,15,15,0.08926300715119932,0.2839663507491217,1.0,True
20,-2.0,-4.0,8.0,15,15,0.08944118404461575,0.2839767277328606,1.0,True
20,-1.0,-4.0,8.0,15,15,0.09022462597832083,0.2830035695689283,1.0,True
20,0.0,-4.0,8.0,15,15,0.09027235048587415,0.2829369174130077,0.9999635213187348,True
20,1.0,-4.0,8.0,15,15,0.08930273721944562,0.28454371069692647,1.0,True
20,2.0,-4.0,8.0,15,15,0.08952675275630051,0.28452358189246774,1.0,True
20,3.0,-4.0,8.0,15,15,0.08948246757468171,0.28338164942656974,1.0,True
20,4.0,-4.0,8.0,15,15,0.08926246270895928,0.2862153920593637,1.0,True
20,5.0,-4.0,8.0,15,15,0.08867038863947455,0.28741539657084936,1.0,True
20,6.0,-4.0,8.0,15,15,0.08842603943078547,0.29560721262822093,1.0,True
20,7.0,-4.0,8.0,15,15,0.08857137525297148,0.3009504886811651,1.0,True
20,8.0,-4.0,8.0,15,15,0.08863090150478634,0.30274929169912335,1.0,True
20,9.0,-4.0,8.0,15,15,0.08866788410988771,0.3052673519249926,1.0,True
20,10.0,-4.0,8.0,15,15,0.08811865610345389,0.30850010387356486,1.0,True
30,-10.0,-4.0,8.0,15,15,0.0889776837982037,0.2999817783819042,1.0,True
30,-9.0,-4.0,8.0,15,15,0.0884805918393391,0.2993827667225586,1.0,True
30,-8.0,-4.0,8.0,15,15,0.08804948644021789,0.29780820192752533,1.0,True
30,-7.0,-4.0,8.0,15,15,0.0886106683667181,0.2931407815699547,1.0,True
30,-6.0,-4.0,8.0,15,15,0.08895453066836845,0.28767014222872195,1.0,True
30,-5.0,-4.0,8.0,15,15,0.08999503209360177,0.27744821729426095,1.0,True
30,-4.0,-4.0,8.0,15,15,0.08977812917901841,0.28011454945514164,1.0,True
30,-3.0,-4.0,8.0,15,15,0.09001891321269882,0.27738782569347414,1.0,True
30,-2.0,-4.0,8.0,15,15,0.08990513462944758,0.2780021976202857,1.0,True
30,-1.0,-4.0,8.0,15,15,0.09010608831000413,0.27735222849184243,1.0,True
30,0.0,-4.0,8.0,15,15,0.09120633217828439,0.2742182610488195,0.9997968452254099,True
30,1.0,-4.0,8.0,15,15,0.08978118329054677,0.27755137945977526,1.0,True
30,2.0,-4.0,8.0,15,15,0.0900272926852361,0.2784257770457717,1.0,True
30,3.0,-4.0,8.0,15,15,0.0903733176009773,0.2772918528517547,1.0,True
30,4.0,-4.0,8.0,15,15,0.08999038354955231,0.2795280216636246,1.0,True
30,5.0,-4.0,8.0,15,15,0.08978049848742622,0.27826790235736043,1.0,True
30,6.0,-4.0,8.0,15,15,0.08889359962750353,0.287491450750744,1.0,True
30,7.0,-4.0,8.0,15,15,0.08858493751574584,0.29302912662576364,1.0,True
30,8.0,-4.0,8.0,15,15,0.08911040761509163,0.2951918232534707,1.0,True
30,9.0,-4.0,8.0,15,15,0.08940850545272852,0.2981101235133937,1.0,True
30,10.0,-4.0,8.0,15,15,0.08940115121215242,0.29909580836275224,1.0,True
40,-10.0,-4.0,8.0,15,15,0.08561815844739172,0.29969396087189404,0.9984047221611391,True
40,-9.0,-4.0,8.0,15,15,0.08559748424447301,0.2972282438197657,0.9984279477182415,True
40,-8.0,-4.0,8.0,15,15,0.08476375123127458,0.2948210463900847,0.9983438515799992,True
40,-7.0,-4.0,8.0,15,15,0.08347947197586683,0.2884333739906416,0.9961038540131278,True
40,-6.0,-4.0,8.0,15,15,0.08377414548558966,0.2824215126261491,0.9956949268641277,True
40,-5.0,-4.0,8.0,15,15,0.08418920030395362,0.2773238794303675,0.9954742806985857,True
40,-4.0,-4.0,8.0,15,15,0.08395380468075124,0.2781385797548957,0.9951210925746873,True
40,-3.0,-4.0,8.0,15,15,0.08383587796955735,0.2745523882739696,0.994822047671971,True
40,-2.0,-4.0,8.0,15,15,0.08381152810083756,0.2750359645085995,0.9946330006652235,True
40,-1.0,-4.0,8.0,15,15,0.08357970389227524,0.2742525984271883,0.994400127517503,True
40,0.0,-4.0,8.0,15,15,0.0849543927173969,0.268531668179731,0.9922554246044636,True
40,1.0,-4.0,8.0,15,15,0.08329752058053122,0.27416360454977357,0.9942552049101908,True
40,2.0,-4.0,8.0,15,15,0.0835578433294078,0.2743864082317529,0.9941796123311601,True
40,3.0,-4.0,8.0,15,15,0.08365872544956678,0.2738314838063483,0.9941752539517585,True
40,4.0,-4.0,8.0,15,15,0.08379140479445407,0.27696372988672824,0.9946642169890326,True
40,5.0,-4.0,8.0,15,15,0.08412727817349623,0.2740886994625592,0.9951216491760387,True
40,6.0,-4.0,8.0,15,15,0.08410447778943951,0.28381398575198347,0.9967569772156419,True
40,7.0,-4.0,8.0,15,15,0.08461700052321053,0.2910820173717024,0.9976974296778978,True
40,8.0,-4.0,8.0,15,15,0.08577161475725736,0.2950923568010415,0.9984657311395057,True
40,9.0,-4.0,8.0,15,15,0.08619079200098259,0.29812733978221867,0.9984811388140208,True
40,10.0,-4.0,8.0,15,15,0.08630268656025995,0.29990153547434306,0.9985301801307866,True
50,-10.0,-4.0,8.0,15,15,0.08912680809460055,0.30465138662898655,1.0,True
50,-9.0,-4.0,8.0,15,15,0.08894805755081342,0.30339589411552714,1.0,True
50,-8.0,-4.0,8.0,15,15,0.08809342210527744,0.3002951528896141,1.0,True
50,-7.0,-4.0,8.0,15,15,0.08841052514065421,0.2931873392942462,1.0,True
50,-6.0,-4.0,8.0,15,15,0.08845383589511537,0.2892151961279211,1.0,True
50,-5.0,-4.0,8.0,15,15,0.08968000953942717,0.28427571057511575,1.0,True
50,-4.0,-4.0,8.0,15,15,0.08965037397163701,0.28514906654176386,1.0,True
50,-3.0,-4.0,8.0,15,15,0.08962911867569377,0.28114709353264744,1.0,True
50,-2.0,-4.0,8.0,15,15,0.08948409941672802,0.2829727282066583,1.0,True
50,-1.0,-4.0,8.0,15,15,0.0895520548230316,0.28252223729706394,1.0,True
50,0.0,-4.0,8.0,15,15,0.091248710006542,0.2745845254500506,0.9996099290869916,True
50,1.0,-4.0,8.0,15,15,0.08953733877682518,0.2805616631873171,1.0,True
50,2.0,-4.0,8.0,15,15,0.08971254186059231,0.28109494250552297,1.0,True
50,3.0,-4.0,8.0,15,15,0.0897503693749997,0.28099996484001066,1.0,True
50,4.0,-4.0,8.0,15,15,0.08973717615972195,0.2847089939051748,1.0,True
50,5.0,-4.0,8.0,15,15,0.08988632475863888,0.28104996537962773,1.0,True
50,6.0,-4.0,8.0,15,15,0.08883883491246468,0.2888707484729698,1.0,True
50,7.0,-4.0,8.0,15,15,0.08842849348631064,0.29760120004477336,1.0,True
50,8.0,-4.0,8.0,15,15,0.08892179880384206,0.3014025482439843,1.0,True
50,9.0,-4.0,8.0,15,15,0.08925689224056271,0.3056687709818297,1.0,True
50,10.0,-4.0,8.0,15,15,0.08935935735905837,0.30702442233128774,1.0,True
