AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw
0.003,0.0,29.99437607243653,-20,0,0.054593981933851066,0.07017675524198742,0.004435698275089034,-0.0032826374790476177,0.532227705955163,-0.0028275134572107057
-2.501,0.0,29.991409293819327,-20,0,-0.23479626158577777,0.07609001338405122,0.01002639067166389,-0.006064153424271889,0.6322040674130074,-0.0025842517801158054
-5.001,0.0,29.9773867262713,-20,0,-0.5214978301372334,0.08952119217978774,0.010724035323464779,-0.0068762692060803645,0.7272756056020967,-0.0019090967855868806
-0.005,0.0,30.017377232059697,-20,0,0.054701333924373256,0.06954577818268877,0.010903242572617973,-0.005423005655771215,0.5304502594878792,-0.0027065659508714074
2.5,0.0,29.982784783567606,-20,0,0.3367824654629784,0.06892862211492087,0.009348271537113399,-0.004490901542005072,0.4310512267515659,-0.0029846978084670187
5.0,0.0,29.97514198942636,-20,0,0.6028098050730568,0.07453258988888335,0.008681245899098721,-0.003693636193687731,0.33301654665823205,-0.002919707877624488
6.0,0.0,29.98949407548994,-20,0,0.7002285461587814,0.07858010161088877,0.009395685039401922,-0.0038198589522939,0.2935566003997301,-0.002972467818727384
7.0,0.0,29.990122338934878,-20,0,0.7878891194384733,0.08393462281467692,0.009335631276182001,-0.0035289662242723573,0.2520026865987266,-0.003119883971394468
8.0,0.0,29.994620617646962,-20,0,0.8663584454640276,0.09110964744055035,0.009135683471738962,-0.0035588380834937062,0.19894363449394709,-0.003075929350204911
9.0,0.0,30.00341335046291,-20,0,0.9108269765035387,0.1035798666480416,0.006304797022511911,-0.0031265393513104246,0.14777492045524723,-0.0037464367368671937
10.0,0.0,29.9996453460145,-20,0,0.9515620587612793,0.11534770919605988,0.006435326439480072,-0.0030721956539387133,0.11049877897821142,-0.003998503685566194
11.0,0.0,29.990122338934878,-20,0,0.9941354893128306,0.12927868646494373,0.005842225395639851,-0.0027021104079412274,0.07369593949981884,-0.0034390199289396194
12.0,0.0,29.99278284589445,-20,0,1.0451865946888366,0.14401524582969216,0.004719083980758333,-0.001976203001643709,0.03173582825472902,-0.0029230748571423618
13.0,0.0,29.98712844704264,-20,0,1.1062146430713242,0.16095080443770154,0.0011441616999638988,0.00022862216137695232,-0.011090531671257758,-0.002262506683658948
14.0,0.0,29.98398666227497,-20,0,1.1634706761348954,0.17941562314550702,0.0016425052545563329,0.00012550796803313842,-0.055517895255281224,-0.002444612343233768
0.005,0.0,30.018380840987216,-20,0,0.05430552862281091,0.07025925522845287,0.004781727234024635,-0.0033670046594422177,0.5325917901202417,-0.002771603467734728
0.002,0.0,40.00312891908623,-20,0,0.0592835166317765,0.06728884734095374,0.009494513197363302,-0.005084832167293364,0.5318224732103128,-0.0029960482588662347
-2.501,0.0,39.98550209527034,-20,0,-0.23125299029899787,0.07333726823059106,0.011641948462977671,-0.0063204060228513135,0.6317878004435555,-0.0027416522696370013
-5.002,0.0,39.990913154093086,-20,0,-0.5209441556290677,0.08642390342544261,0.009882372526292996,-0.006392161185267909,0.7262767072117563,-0.0020784423670296365
-0.005,0.0,40.00727887868679,-20,0,0.05717384737579216,0.06661820060937299,0.011382509717235612,-0.0055896357676351255,0.5317034971129878,-0.003030982787391686
2.5,0.0,39.98673876593688,-20,0,0.33948253075032475,0.06657909790983892,0.009890843263634536,-0.004610488307222982,0.4337714614858527,-0.0030688044300740415
5.0,0.0,39.990769348861015,-20,0,0.6039235981968054,0.07233072046875388,0.007241300495333473,-0.0032068443613716365,0.3359591835118872,-0.0029215219886509582
6.0,0.0,39.98884357115819,-20,0,0.7002811698792126,0.07628471022093418,0.00871434440389938,-0.0035644732458058907,0.2966500858363488,-0.0029441971554809844
7.0,0.0,39.990942721717644,-20,0,0.7884516183410215,0.0815584982633267,0.008871943232220555,-0.003493875476109767,0.2535780496530692,-0.0031253512204784603
8.0,0.0,39.99024109545817,-20,0,0.8644707335470633,0.08886686539065647,0.008496245219899575,-0.003513777676774169,0.19839343556449085,-0.0030690661979461934
9.0,0.0,39.987584315889485,-20,0,0.9075945663502154,0.10086755565517175,0.009991160897471419,-0.004938118724010298,0.14635143862500496,-0.004268303832196742
10.0,0.0,39.98895828840723,-20,0,0.9504752711279117,0.11215680431991193,0.009112840727638773,-0.004504436736880586,0.10233352050077457,-0.004635368766028338
11.0,0.0,39.98395198980584,-20,0,0.9923957815556318,0.12534036616292799,0.008146576551791126,-0.003800307264292076,0.06618070925917864,-0.004012046244617328
12.0,0.0,39.98532591264751,-20,0,1.0447702206379794,0.14174768613741023,0.0078272563037665,-0.0034314122441220928,0.02331106256528566,-0.003631272129783493
13.0,0.0,39.98913129372555,-20,0,1.1069191242181984,0.15971719936356082,0.005169511456672023,-0.0019045415554601068,-0.01662496617845242,-0.0029563991446499675
14.0,0.0,39.98980372694199,-20,0,1.1579029449627916,0.17905903227536102,0.004362726647019301,-0.0010853162563625612,-0.05768907625989467,-0.0028502419425228435
0.005,0.0,40.00302087241888,-20,0,0.05817910298572945,0.06746021358983763,0.00985686154400279,-0.005192264900766419,0.5320490157619101,-0.003025799000882808
0.002,0.0,19.997907434192683,-20,0,0.04370885383112237,0.0743894639092208,0.011271012653388042,-0.006832817658552912,0.5222465166075032,-0.0026445658913599227
-2.501,0.0,19.998028592264234,-20,0,-0.23665530909036409,0.07975175677477596,0.010688551942869681,-0.006850655489000433,0.613493985173742,-0.0023120987977476508
-5.002,0.0,19.992282785363294,-20,0,-0.5141183680599826,0.09261870027253027,0.010810311846757237,-0.00797829745251752,0.7095203876389017,-0.0015175595360969046
-0.006,0.0,19.997112451358447,-20,0,0.04535228839070439,0.07390798253905713,0.01034422964243103,-0.005552745636865956,0.5177563178004563,-0.0025553830898991034
2.5,0.0,19.996996905504698,-20,0,0.32595734154253575,0.07399463592211603,0.010328735499584747,-0.005168850543746118,0.43195015087701,-0.0028321481398543226
5.0,0.0,19.99476926034907,-20,0,0.5966729444560308,0.08001636275002605,0.009421813826100488,-0.004235843018550859,0.33376313881238107,-0.002812785753769307
6.0,0.0,19.995591783280744,-20,0,0.6968685432092817,0.08401321919349682,0.009236573848561625,-0.00401092942901562,0.2933450526618638,-0.002883901817978161
7.0,0.0,19.991723547227615,-20,0,0.7844948615073679,0.08936348394120909,0.009865642281955989,-0.00400434290338183,0.25973070564623096,-0.0031807923923201434
8.0,0.0,19.995711177240747,-20,0,0.8548973243200035,0.09687872622244656,0.009196030374041627,-0.003848839704011768,0.21935659481172268,-0.0030501476324271523
9.0,0.0,19.992429897200946,-20,0,0.9041562438880567,0.1084274643767579,0.00923426272814733,-0.0038008177042895834,0.1626019296890971,-0.0036745458603015977
10.0,0.0,19.993602925753287,-20,0,0.950246509812335,0.12104314002998601,0.008825362289763375,-0.003380142395458467,0.11585478205817847,-0.003556447160852815
11.0,0.0,19.98549473832435,-20,0,1.0043937798616966,0.13379613548298655,0.007776751882687075,-0.003179406127175144,0.06646132290008508,-0.002874637011812624
12.0,0.0,19.991709296854335,-20,0,1.0706860268376102,0.15198261131194776,0.007223192530145633,-0.002597872547194825,0.01516950888149992,-0.0025978302721995513
13.0,0.0,19.989815649497096,-20,0,1.109957406686617,0.17114493156847127,0.007876726855766373,-0.0029860478290489674,-0.04492887615859759,-0.00291804080706394
14.0,0.0,19.992727306576583,-20,0,1.0959735383973706,0.2032430147777056,0.010036966119248194,-0.0001941930930169778,-0.15698277466884428,-0.0008437134293276284
0.005,0.0,19.992357439954088,-20,0,0.04638315521468978,0.07457161936120174,0.010892050605890649,-0.006337889828882053,0.5234670024522841,-0.0026596688897048857
0.001,0.0,40.001424561052524,-15,0,0.1005874844102337,0.06062163787420208,0.012015761566869667,-0.005593632999613835,0.4056351843774925,-0.003240857678968328
-2.5,0.0,39.991653689145096,-15,0,-0.18936594640366802,0.06596642428052629,0.012099518078313911,-0.0063107279584731545,0.499077815228255,-0.0028808703737999665
-5.002,0.0,39.984496700982135,-15,0,-0.4793350111738274,0.07776178895628945,0.010279076410040036,-0.006249356222665964,0.5953805516640948,-0.002235452320515141
-0.005,0.0,40.00392276520557,-15,0,0.09785636956132623,0.060612374907243916,0.01224312718641862,-0.005565172606914354,0.40538871880827004,-0.0031878562972280197
