V_round,AoS_round,dE,dR,CD0_fit,k_fit,R2_fit,fit_used
20.0,0.0,15,0,0.049141296435773335,0.07586926862431745,0.8488307195602575,
20.0,0.0,20,0,0.05312383162910012,0.07591167339188686,0.8482938584832784,
20.0,4.0,-10,-20,0.06357807019534528,0.05904778308527592,0.8659402817426736,
20.0,4.0,-10,-10,0.05736073476725222,0.059880757254548805,0.8743458026643771,
20.0,4.0,-10,0,0.057125874835252055,0.06012976036716488,0.8712241615494595,
20.0,4.0,-10,10,0.061189580507960674,0.06063810492651104,0.8523746810449327,
20.0,4.0,-10,20,0.07061006328522622,0.05828031546440236,0.8622320198523219,
20.0,4.0,0,-20,0.05753823369500666,0.06111735641379217,0.8826199381240185,
20.0,4.0,0,0,0.05210896655181067,0.06212559941841956,0.8867075111593672,
20.0,4.0,0,10,0.05523478230070118,0.061897776910330965,0.871600032957415,
20.0,4.0,0,20,0.06455861743193544,0.06072998854768162,0.8741228938878929,
20.0,4.0,10,-20,0.05770077993167336,0.06109231136565424,0.8966650158972773,
20.0,4.0,10,-10,0.051659810254475046,0.0636572672406936,0.8918385197256392,
20.0,4.0,10,0,0.05181345694824078,0.06445398188107435,0.8869337193598829,
20.0,4.0,10,10,0.056473490339765,0.06321518782008614,0.8767075279075858,
20.0,4.0,10,20,0.0628995903664869,0.06192262367293654,0.884250055368192,
20.0,5.0,-20,0,0.07444573197548478,0.07438425090997117,0.7548334518662135,
20.0,5.0,-15,0,0.06949460786624649,0.07359045682777902,0.7648925526008639,
20.0,5.0,-10,0,0.06502463840532575,0.07265130355628821,0.7750706218397065,
20.0,5.0,-5,0,0.05540143432492374,0.07624011304744334,0.8083047203014795,
20.0,5.0,0,0,0.051837745580057645,0.0762889325445487,0.8160496907783937,
20.0,5.0,5,0,0.05156959074440131,0.07847256926137414,0.8291447145879306,
20.0,5.0,10,0,0.056686243554101234,0.07713644646961523,0.8226341213918745,
20.0,5.0,15,0,0.05429869200366881,0.07521042769795065,0.8342936600489114,
20.0,5.0,20,0,0.06651917894026615,0.07320018444553365,0.8351123260334721,
20.0,7.0,0,10,0.07231203325506132,0.06096505634957993,0.7984417686555504,
20.0,8.0,-10,-20,0.0658400078046441,0.05987594518055968,0.8066968962722398,
20.0,8.0,-10,-10,0.060936838913226134,0.061308908697948035,0.8072794646938608,
