AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CDi,CDs
-5.002,-10.0,19.9909685203706,-20,0,-0.4543208761533625,0.1307027036726941,-0.1345097067228815,0.035095813195752,0.6024148342538853,0.0318797528896869,20.0,-5.0,-10.0,0.2064074585087589,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.012893217691952296,0.01938769681923339
-2.5,-10.0,19.99389090730533,-20,0,-0.1843242035181382,0.1135179345753764,-0.1301029019293947,0.033942759988336,0.5056973025443848,0.0324054555068747,20.0,-2.5,-10.0,0.033975412002596024,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.0021222701267098383,0.012973875287158149
0.002,-10.0,20.00041753590767,-20,0,0.0945123901335356,0.1057990006659588,-0.1276651404531032,0.0331310661957239,0.4123891047612595,0.0333601175701692,20.0,0.0,-10.0,0.008932591888753637,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.0005579733048754181,0.006819238199574975
-0.005,-10.0,20.00815716209881,-20,0,0.0938091136293157,0.1054749891853468,-0.1276697254626372,0.033691896843418,0.4100337040912487,0.033435792199203,20.0,-0.0,-10.0,0.008800149799917865,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.0005497003253267453,0.00650349969851164
0.005,-10.0,20.0044300867185,-20,0,0.0947527612485796,0.1059550297075369,-0.1279248359021708,0.0332003580526752,0.414157528226774,0.0334661797980238,20.0,0.0,-10.0,0.008978085764230329,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.0005608150744723568,0.006972425471556127
2.5,-10.0,19.998112423600706,-20,0,0.3723218021107932,0.1049014286244447,-0.1283258402880178,0.0335445386002947,0.3160813646197774,0.0350318162887136,20.0,2.5,-10.0,0.13862352432702865,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.008659102191785287,0.0
5.0,-10.0,19.992835656405287,-20,0,0.6338624871873667,0.1102135707079022,-0.1273799196598005,0.0339755570061804,0.2329370364224494,0.0362873315178565,20.0,5.0,-10.0,0.40178165266335464,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.025097243819806887,0.0
6.0,-10.0,19.99483948656011,-20,0,0.7280250402898362,0.1140189770772357,-0.1218798660624063,0.0333128004746425,0.208955280475111,0.0344400099009509,20.0,6.0,-10.0,0.5300204592890175,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.03310766583811144,0.0
7.0,-10.0,19.993435453169816,-20,0,0.8147160296074779,0.1174088675303877,-0.1206246171718105,0.0333573206881111,0.1890585494307389,0.0348498048431584,20.0,7.0,-10.0,0.6637622088993729,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.041461828544667484,0.0
8.0,-10.0,19.991798997474028,-20,0,0.9086125063376392,0.1234562267412723,-0.1158121482650939,0.031398947373928,0.1231146646117113,0.0337470568518506,20.0,8.0,-10.0,0.8255766866731665,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.051569550924082205,0.0
9.0,-10.0,19.991447977800103,-20,0,0.9814569617877396,0.1314840410582255,-0.111423590913087,0.0302489086925207,0.079210024354898,0.0328919689093021,20.0,9.0,-10.0,0.9632577678416204,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.0601697835144801,0.0
10.0,-10.0,19.99294458794892,-20,0,1.046218393695524,0.1416285973726602,-0.1045649118911129,0.0277213040830425,0.0202361300665023,0.0310761920235144,20.0,10.0,-10.0,1.0945729273068425,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.06837236955216774,0.0
11.0,-10.0,19.99459564281653,-20,0,1.037614287420339,0.1697902766299621,-0.0936783532532841,0.0230151329700368,-0.0750253356718627,0.0291701561297121,20.0,11.0,-10.0,1.0766434094588178,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.067252404322246,0.004116083146207691
12.0,-10.0,19.996463621764704,-20,0,1.0654674480487043,0.1837891119723055,-0.0891419405841012,0.0200785883152784,-0.0946214289185778,0.0282438994674895,20.0,12.0,-10.0,1.1352208828514183,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.07091143932879007,0.014455883482007006
13.0,-10.0,19.99389330178525,-20,0,1.1040948042533707,0.1990321529218451,-0.0849606325171199,0.0165331204640747,-0.1350487470268775,0.0268938523810623,20.0,13.0,-10.0,1.219025336779289,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.07614627471629798,0.024464089044038698
14.0,-10.0,19.994729351427097,-20,0,1.1397390388099513,0.2181495572015641,-0.0821300097612051,0.0116628937530549,-0.184995836717084,0.025654532079208,20.0,14.0,-10.0,1.2990050765874317,True,0.09842178916150841,0.06246488273777748,0.6984392560586946,0.08114219978481158,0.038585568255244104
-5.002,-10.0,19.9917712616901,-15,0,-0.4223592923787513,0.121794546605466,-0.1371562313623177,0.0352984258295182,0.4953101903174129,0.0326138960325922,20.0,-5.0,-10.0,0.17838737185867953,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.011605703666202912,0.018806353578571515
-2.5,-10.0,19.99405252836675,-15,0,-0.1535903003528562,0.10620676970862,-0.1322741253590062,0.0340008556942762,0.407968072975474,0.0330477195525403,20.0,-2.5,-10.0,0.02358998036248058,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.0015347404848555413,0.01328953986307289
0.002,-10.0,19.99849442408276,-15,0,0.1253936961499779,0.1000153855543355,-0.1300390958126969,0.0336000412666012,0.3168859006967442,0.0340344564268525,20.0,0.0,-10.0,0.01572357903415298,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.0010229602966911006,0.007609935896952835
-0.005,-10.0,20.003650542022203,-15,0,0.124902566827723,0.0995826792509227,-0.1296124752706418,0.033681807008967,0.3140550411349844,0.0339755723427678,20.0,-0.0,-10.0,0.015600651200153809,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.001014962734986717,0.007185227155244419
0.005,-10.0,20.00339332947076,-15,0,0.1259860026276631,0.1001314262841868,-0.130204486510046,0.0334400474804137,0.3189039160598553,0.0341649496965694,20.0,0.0,-10.0,0.015872472858097533,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.0010326471796830042,0.00771628974381222
2.5,-10.0,19.998761464566197,-15,0,0.4005559780090563,0.0998120240074831,-0.129722223054474,0.0333132636865307,0.2262136341950631,0.0356104621319008,20.0,2.5,-10.0,0.16044509151879158,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.010438396885733931,0.0
5.0,-10.0,19.99194546362673,-15,0,0.662700529334172,0.1060353826174693,-0.1280442283439037,0.0336160989756125,0.142197141910485,0.0365974996974356,20.0,5.0,-10.0,0.43917199157979175,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.028572089715011018,0.0
6.0,-10.0,19.99340681605485,-15,0,0.7546173258954881,0.1102181271438318,-0.1213977444505693,0.0326421674388748,0.1211808530396008,0.0341651746100056,20.0,6.0,-10.0,0.5694473085416574,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.03704767129865497,0.0
