run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,b,c,S
5,17,27,28,2.496,8,413.6,101103,290.59,316.8,-4388.7,-237.1,2112.7,-48.2,2249.3,0,1.21206476484882,969.273833278528,39.9922030684024,444024.134809204,98.44,98.43,6.69,5.99,0,20.627,20.687,28.738,28.8,101103,1.48593253636245e-05,1.99930945727775,1.99951257720635,3.0314849949309,-42.4046906055115,113.881429467703,-6.73226308178794,-4.13974841822296,-14.6825184259767,0.0144015658804061,-0.201450426577959,0.541012379007776,-0.0229005833788074,-0.119205941288257,-0.0499443104555056,0.541126284296638,-0.00917299202963297,0.201450426577959,0.541012379007776,0.0422978913878268,0.197485614292264,-0.0774293320687783,-0.123265065379954,-0.123265065379954,-0.0532689460864221,1.39658967036375,0.164979635584137,0.217169693741564
6,17,28,4,2.496,9.995,413.18,101103,290.69,139.5,-5411.7,-530.7,2494.5,-212.4,2729.6,0,1.21164780356193,968.282054238911,39.9786145430681,443602.221144156,98.43,98.43,7.47,5.58,0,20.581,20.759,28.844,28.75,101103,1.48684044941486e-05,1.99883318409402,1.99883318409402,1.31257246847123,-52.8937909153039,115.363457848206,-6.83957506828524,-4.48420432572997,-17.8473905268512,0.00624197735544159,-0.251537993571762,0.548614349935774,-0.0232894478983835,-0.129256964172016,-0.0607721777518868,0.548365695816662,-0.0176559023633919,0.251537993571762,0.548614349935774,0.0498047389421536,0.246637005476302,-0.0914502137491541,-0.131016284017767,-0.131016284017767,-0.064697144956313,1.39658967036375,0.164979635584137,0.217169693741564
7,17,28,49,2.496,0,413.42,101102,290.77,633.9,505.2,985.7,680.5,249.8,-408.5,0,1.21130246003295,968.848783119642,39.9960126693741,443574.147907703,98.43,98.43,6.58,6.93,0,20.695,20.891,28.512,28.858,101102,1.48758164246868e-05,1.99970304795996,1.99970304795996,5.9348547886938,3.06785491438719,108.325575962672,-1.73341557819072,-3.27776848902937,2.67997390456484,0.0282068689168419,0.0145807411481847,0.514844158839644,-0.00589900348439888,-0.0944262448156166,0.00912024536991135,0.515584106836469,0.00575883000550216,-0.0145807411481847,0.514844158839644,0.0282068689168419,-0.0145807411481847,-0.00218486407210147,-0.102376434546544,-0.102376434546544,0.00901644262307791,1.39658967036375,0.164979635584137,0.217169693741564
8,17,29,34,2.496,4,413.08,101104,290.83,627.8,-1835.1,382.4,1291.8,234.1,937.5,0,1.21107651800384,968.045918778599,39.9831664803556,443278.061837088,98.44,98.43,6.62,6.84,0,20.888,21.001,28.637,28.774,101104,1.48809715691575e-05,1.99885769582033,1.99906076985221,5.93270306089053,-17.7929442799787,108.460751796591,-4.09078674376746,-3.48749287164348,-6.12174385562129,0.0282200276324898,-0.0846355150579504,0.515914142563029,-0.0139329422547458,-0.100551328139991,-0.0208502444593735,0.516653648485493,0.00572537883047499,0.0846355150579504,0.515914142563029,0.0340551601474711,0.082460817580431,-0.0368438421962951,-0.108505226693983,-0.108505226693983,-0.0224349991728489,1.39658967036375,0.164979635584137,0.217169693741564
