AoA [deg],AoS [deg],AoA_round,AoS_round,CD,CYaw,CL,CMroll,CMpitch,CMyaw
5.0,-10.0,5.0,-10,0.027899999999999994,-0.011349999999999999,0.007050000000000004,0.005900000000000001,-0.038349999999999995,0.0074
5.5,-10.0,5.5,-10,0.0276625,-0.012732275132275131,0.006119512195121954,0.006146428571428572,-0.03792336538461538,0.0075000000000000015
6.0,-10.0,6.0,-10,0.027299999999999998,-0.01385,0.005650000000000002,0.006500000000000001,-0.03745,0.007600000000000001
6.5,-10.0,6.5,-10,0.02677142857142857,-0.013953439153439154,0.006292857142857145,0.006825000000000001,-0.03668261434511434,0.0076500000000000005
7.0,-10.0,7.0,-10,0.026099999999999998,-0.01405,0.007150000000000004,0.0071,-0.03575,0.007700000000000002
7.5,-10.0,7.5,-10,0.025128571428571424,-0.014549378881987578,0.0075571428571428595,0.007300000000000001,-0.03452027027027027,0.007800000000000001
8.0,-10.0,8.0,-10,0.024499999999999994,-0.01525,0.007750000000000003,0.0074,-0.033749999999999995,0.0079
8.5,-10.0,8.5,-10,0.025709183673469388,-0.015943478260869566,0.00011280120481927877,0.0074,-0.03399705882352941,0.007966666666666667
9.0,-10.0,9.0,-10,0.027499999999999997,-0.01635,-0.007949999999999997,0.0074,-0.03455,0.008
9.5,-10.0,9.5,-10,0.02874081632653061,-0.0159225,-0.008612801204819274,0.007678571428571429,-0.036002941176470585,0.007737500000000001
10.0,-10.0,10.0,-10,0.029399999999999996,-0.015449999999999998,-0.008849999999999998,0.008,-0.037149999999999996,0.0074
10.5,-10.0,10.5,-10,0.028949999999999997,-0.015377500000000002,-0.002948041044776117,0.008050595238095239,-0.035899999999999994,0.007287500000000002
11.0,-10.0,11.0,-10,0.028499999999999998,-0.015349999999999999,0.006250000000000002,0.008100000000000001,-0.03464999999999999,0.0072000000000000015
11.5,-10.0,11.5,-10,0.028642857142857144,-0.0154,0.012237193937338103,0.008308333333333334,-0.034812328767123285,0.007105
12.0,-10.0,12.0,-10,0.028999999999999998,-0.015449999999999998,0.017950000000000004,0.0086,-0.03525,0.007000000000000001
12.5,-10.0,12.5,-10,0.030607142857142854,-0.015349999999999999,0.02495327134986226,0.00885,-0.038737671232876705,0.006820000000000001
13.0,-10.0,13.0,-10,0.032,-0.01525,0.03045,0.0091,-0.041949999999999994,0.006700000000000001
13.5,-10.0,13.5,-10,0.031875,-0.015331249999999998,0.033207575757575755,0.00935,-0.040118749999999995,0.0067125000000000015
14.0,-10.0,14.0,-10,0.031,-0.015550000000000001,0.03445000000000001,0.009600000000000001,-0.034749999999999996,0.0068000000000000005
-5.0,-9.0,-5.0,-9,0.015900000000000004,-0.05855,0.022250000000000002,0.0165,-0.0004499999999999999,0.0223
-4.5,-9.0,-4.5,-9,0.016309999999999998,-0.057275,0.020281859756097562,0.01653,-0.0015667229729729726,0.0224
-4.0,-9.0,-4.0,-9,0.016600000000000004,-0.05685,0.01905,0.0166,-0.00255,0.022500000000000003
-3.5,-9.0,-3.5,-9,0.016759642857142862,-0.057460256410256406,0.01854814024390244,0.01677714285714286,-0.0033500000000000005,0.022595
-3.0,-9.0,-3.0,-9,0.0169,-0.05855,0.018150000000000003,0.017,-0.004149999999999999,0.0227
-2.5,-9.0,-2.5,-9,0.017100000000000004,-0.059666770616770615,0.017583194444444446,0.017174107142857144,-0.005217027027027027,0.02286125
-2.0,-9.0,-2.0,-9,0.017300000000000003,-0.06075,0.017050000000000006,0.0173,-0.00625,0.023
-1.5,-9.0,-1.5,-9,0.01746285714285714,-0.06158234797297297,0.016680555555555556,0.017352083333333334,-0.007054999999999999,0.023068750000000002
