  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -5.003	   0.000	 -0.3413	-0.040044	 0.01405	 0.04994	-0.069650	 -0.3365	0.014051	-0.00145	 0.13406	-0.00300	-0.040044	-0.014051	-0.341260	-0.00346	 0.14057	-0.00313	   -6.72	   -3.17	  -75.41	   -1.09	    6.00	   -0.99	  416.15	 1012.02	   15.90	   1.220	   975.3	   39.99	3.486E+5	   0.117
       2	   4.995	   0.000	  0.7400	-0.030809	 0.00522	-0.04758	-0.095131	  0.7345	0.005219	-0.00603	-0.23122	-0.00081	-0.030809	-0.005219	0.740022	-0.00693	-0.22620	-0.00029	   -5.26	   -1.18	  169.55	   -2.19	   -8.01	   -0.09	  416.28	 1012.03	   15.94	   1.220	   975.6	   40.00	3.486E+5	   0.117
       3	   7.000	   0.000	  0.9208	-0.014841	-0.00534	-0.09153	-0.126943	  0.9121	-0.005343	-0.00744	-0.31955	-0.00044	-0.014841	0.005343	0.920768	-0.00657	-0.31714	 0.00047	   -1.72	    1.20	  210.16	   -2.07	  -11.45	    0.15	  415.96	 1012.02	   15.96	   1.219	   974.9	   39.99	3.484E+5	   0.117
       4	   2.507	   0.000	  0.4896	-0.041959	 0.00786	-0.02621	-0.063333	  0.4873	0.007861	-0.00478	-0.14803	-0.00126	-0.041959	-0.007861	0.489580	-0.00611	-0.14120	-0.00105	   -7.65	   -1.77	  112.63	   -1.93	   -4.76	   -0.33	  416.01	 1012.02	   16.03	   1.219	   975.0	   39.99	3.484E+5	   0.117
       5	   7.998	   0.000	  0.9966	-0.006031	-0.00589	-0.11191	-0.144636	  0.9860	-0.005892	-0.00790	-0.35843	-0.00061	-0.006031	0.005892	0.996581	-0.00695	-0.35745	 0.00050	    0.22	    1.33	  227.39	   -2.19	  -12.98	    0.16	  416.07	 1012.00	   16.09	   1.219	   975.1	   40.00	3.483E+5	   0.117
       6	   7.006	   0.000	  0.8983	0.074378	 0.00044	-0.01747	-0.035744	  0.9006	0.000444	-0.00363	-0.24263	-0.00140	0.074378	-0.000444	0.898275	-0.00385	-0.25473	-0.00096	   18.38	   -0.10	  205.24	   -1.21	   -9.14	   -0.30	  416.26	 1011.99	   16.14	   1.219	   975.6	   40.01	3.483E+5	   0.117
       7	  -5.000	   0.000	 -0.3332	0.048730	 0.00120	 0.07736	0.019506	 -0.3362	0.001197	-0.00096	 0.16140	 0.00163	0.048730	-0.001197	-0.333202	-0.00129	 0.15347	 0.00156	   13.26	   -0.27	  -73.48	   -0.41	    6.47	    0.49	  415.49	 1011.97	   16.18	   1.218	   973.7	   39.98	3.479E+5	   0.117
       8	   7.996	   0.000	  0.9696	0.081909	 0.00079	-0.03616	-0.053751	  0.9715	0.000788	-0.00383	-0.27904	-0.00176	0.081909	-0.000788	0.969573	-0.00417	-0.29237	-0.00124	   20.02	   -0.18	  221.25	   -1.31	  -10.56	   -0.39	  415.97	 1011.96	   16.24	   1.218	   974.9	   40.01	3.480E+5	   0.117
       9	   5.004	   0.000	  0.7204	0.060970	 0.00046	 0.01901	-0.002099	  0.7229	0.000464	-0.00327	-0.16173	-0.00109	0.060970	-0.000464	0.720376	-0.00342	-0.17165	-0.00081	   15.40	   -0.10	  164.91	   -1.08	   -5.97	   -0.25	  415.74	 1011.96	   16.25	   1.218	   974.3	   40.00	3.479E+5	   0.117
      10	   2.503	   0.000	  0.4771	0.049081	 0.00590	 0.03269	0.028199	  0.4788	0.005903	-0.00196	-0.08701	-0.00058	0.049081	-0.005903	0.477100	-0.00294	-0.09500	-0.00049	   12.85	   -1.33	  109.76	   -0.93	   -3.04	   -0.16	  415.81	 1011.96	   16.26	   1.218	   974.5	   40.00	3.479E+5	   0.117
      11	   2.503	   0.000	  0.4744	0.066704	 0.00565	 0.04494	0.045921	  0.4769	0.005649	-0.00108	-0.07428	-0.00036	0.066704	-0.005649	0.474428	-0.00201	-0.08513	-0.00031	   16.81	   -1.27	  109.10	   -0.63	   -2.67	   -0.10	  415.59	 1011.95	   16.33	   1.218	   974.0	   39.99	3.477E+5	   0.117
      12	   2.503	   0.000	  0.4814	0.017227	 0.00672	 0.01194	-0.003814	  0.4817	0.006724	-0.00302	-0.10849	-0.00101	0.017227	-0.006724	0.481430	-0.00416	-0.11130	-0.00088	    5.68	   -1.51	  110.68	   -1.31	   -3.64	   -0.28	  415.58	 1011.93	   16.40	   1.217	   974.0	   40.00	3.476E+5	   0.117
      13	   7.993	   0.000	  0.9801	0.050439	-0.00028	-0.06152	-0.086336	  0.9776	-0.000276	-0.00529	-0.30592	-0.00152	0.050439	0.000276	0.980098	-0.00541	-0.31412	-0.00079	   12.92	    0.06	  223.34	   -1.70	  -11.36	   -0.25	  415.45	 1011.95	   16.40	   1.218	   973.6	   39.99	3.475E+5	   0.117
      14	   2.496	   8.000	  0.5023	0.033531	 0.20870	-0.00951	-0.017717	  0.5020	0.211340	 0.01783	-0.13500	-0.05591	0.004159	-0.211340	0.502276	-0.01901	-0.13568	-0.05674	    2.73	  -47.51	  115.28	   -5.98	   -4.54	  -17.86	  415.27	 1011.92	   16.56	   1.217	   973.2	   40.00	3.472E+5	   0.117
      15	   2.496	  -3.995	  0.4831	0.024026	-0.09327	-0.00236	-0.003582	  0.4834	-0.094715	-0.01397	-0.12320	 0.02652	0.017470	0.094715	0.483082	 0.00261	-0.12605	 0.02715	    5.72	   21.28	  110.91	    0.82	   -4.18	    8.54	  415.08	 1011.92	   16.60	   1.217	   972.8	   39.99	3.471E+5	   0.117
      16	   2.496	   3.995	  0.4771	0.023714	 0.09723	 0.00975	-0.003907	  0.4774	0.098642	 0.00752	-0.10959	-0.02821	0.016883	-0.098642	0.477067	-0.00977	-0.11234	-0.02857	    5.58	  -22.11	  109.26	   -3.06	   -3.66	   -8.96	  413.97	 1011.92	   16.60	   1.217	   970.1	   39.93	3.466E+5	   0.117
      17	   2.496	   3.995	  0.4763	0.024748	 0.09832	 0.00810	-0.002919	  0.4766	0.099807	 0.00663	-0.11105	-0.02797	0.017838	-0.099807	0.476278	-0.01084	-0.11396	-0.02828	    5.81	  -22.43	  109.38	   -3.41	   -3.73	   -8.90	  415.08	 1011.95	   16.66	   1.216	   972.8	   39.99	3.470E+5	   0.117
      18	   2.496	  10.000	  0.5087	0.041848	 0.25441	-0.01933	-0.025113	  0.5081	0.257809	 0.02582	-0.14635	-0.06535	-0.002965	-0.257809	0.508695	-0.01900	-0.14587	-0.06654	    1.13	  -57.99	  116.77	   -5.98	   -4.92	  -20.95	  415.46	 1011.92	   16.70	   1.216	   973.7	   40.01	3.471E+5	   0.117
      19	   2.496	   8.005	  0.5016	0.034017	 0.21042	-0.01049	-0.017464	  0.5013	0.213105	 0.01821	-0.13582	-0.05584	0.004383	-0.213105	0.501598	-0.01892	-0.13653	-0.05668	    2.78	  -47.92	  115.16	   -5.96	   -4.58	  -17.85	  415.39	 1011.95	   16.71	   1.216	   973.5	   40.01	3.470E+5	   0.117
      20	   2.496	 -10.000	  0.5176	0.052468	-0.17850	-0.09504	-0.001885	  0.5180	-0.184896	-0.03484	-0.22455	 0.04361	0.020675	0.184896	0.517635	-0.00282	-0.22792	 0.04517	    6.44	   41.53	  118.63	   -0.89	   -7.96	   14.21	  414.92	 1011.93	   16.74	   1.216	   972.4	   39.99	3.468E+5	   0.117
      21	   2.496	   0.000	  0.4721	-0.023515	 0.00713	-0.00081	-0.044052	  0.4707	0.007128	-0.00699	-0.11847	-0.00200	-0.023515	-0.007128	0.472127	-0.00823	-0.11465	-0.00170	   -0.87	   -0.40	   27.17	   -0.65	   -0.94	   -0.13	  104.48	 1011.92	   16.30	   1.218	   243.7	   20.01	1.740E+5	   0.059
      22	   2.496	   0.000	  0.4617	0.060842	 0.00209	 0.04897	0.040681	  0.4639	0.002088	-0.00426	-0.06700	-0.00078	0.060842	-0.002088	0.461675	-0.00463	-0.07690	-0.00059	    3.87	   -0.12	   26.57	   -0.36	   -0.59	   -0.05	  104.43	 1011.92	   16.26	   1.218	   243.6	   20.00	1.739E+5	   0.059
      23	   2.496	   0.000	  0.4595	0.075836	 0.00211	 0.05743	0.055755	  0.4624	0.002111	-0.00380	-0.05816	-0.00066	0.075836	-0.002111	0.459498	-0.00417	-0.07050	-0.00050	    4.71	   -0.12	   26.42	   -0.33	   -0.53	   -0.04	  104.31	 1011.91	   16.26	   1.218	   243.3	   19.99	1.738E+5	   0.059
      24	   2.496	   0.000	  0.4648	0.032952	 0.00315	 0.02977	0.012683	  0.4657	0.003146	-0.00575	-0.08667	-0.00104	0.032952	-0.003146	0.464754	-0.00630	-0.09203	-0.00079	    2.31	   -0.18	   26.77	   -0.50	   -0.73	   -0.06	  104.52	 1011.92	   16.24	   1.218	   243.8	   20.01	1.740E+5	   0.059
      25	   2.496	  -4.000	  0.4753	0.040559	-0.06641	-0.00486	0.015097	  0.4764	-0.069073	-0.01254	-0.12396	 0.02032	0.035828	0.069073	0.475287	-0.00040	-0.12979	 0.02089	    2.46	    3.88	   27.31	   -0.03	   -1.08	    1.64	  104.33	 1011.91	   16.22	   1.218	   243.4	   19.99	1.739E+5	   0.059
      26	   2.496	  -8.000	  0.5008	0.064395	-0.10738	-0.11233	0.026970	  0.5024	-0.115298	-0.03241	-0.23794	 0.02810	0.048824	0.115298	0.500788	-0.01239	-0.24588	 0.02953	    3.19	    6.48	   28.72	   -0.97	   -2.16	    2.32	  104.24	 1011.90	   16.18	   1.218	   243.2	   19.98	1.738E+5	   0.059
      27	   2.496	   4.000	  0.4666	0.036877	 0.10128	 0.03665	0.009374	  0.4675	0.103610	 0.00594	-0.08022	-0.03017	0.029722	-0.103610	0.466635	-0.01223	-0.08505	-0.03046	    2.13	   -5.85	   26.92	   -0.97	   -0.67	   -2.41	  104.72	 1011.91	   16.16	   1.218	   244.3	   20.02	1.743E+5	   0.059
      28	   2.496	  -9.995	  0.5208	0.075681	-0.14772	-0.14699	0.026168	  0.5225	-0.158610	-0.03688	-0.27761	 0.03448	0.048894	0.158610	0.520818	-0.00953	-0.28556	 0.03612	    3.20	    8.91	   29.85	   -0.75	   -2.52	    2.84	  104.26	 1011.89	   16.14	   1.219	   243.2	   19.98	1.739E+5	   0.059
      29	   2.496	   7.995	  0.5086	0.045761	 0.20862	 0.00278	-0.005864	  0.5088	0.212957	 0.02166	-0.12443	-0.06006	0.016300	-0.212957	0.508617	-0.01563	-0.12709	-0.06107	    1.37	  -12.00	   29.24	   -1.23	   -1.06	   -4.82	  104.54	 1011.88	   16.08	   1.219	   243.9	   20.00	1.742E+5	   0.059
      30	   2.496	  10.000	  0.5148	0.067004	 0.14953	-0.05812	0.017567	  0.5160	0.158891	 0.03559	-0.18712	-0.04007	0.040021	-0.158891	0.514766	 0.00796	-0.19363	-0.04166	    2.70	   -8.93	   29.54	    0.63	   -1.67	   -3.28	  104.35	 1011.89	   16.08	   1.219	   243.4	   19.99	1.740E+5	   0.059
