AoA_FINAL,AoS,AoS_round,V_FINAL,AoA_round,V_round,dE,dR,CL_FINAL,CD_FINAL,CYaw_FINAL,CMroll_FINAL,CMpitch_FINAL,CMyaw_FINAL,CFt_FINAL
3.06464049605014,0.0,0.0,39.696479294655674,2.5,40.0,0.0,-20.0,0.4875595529282958,0.029256796044967708,-0.06015740346170646,0.00799008825515492,-0.0738805481694679,0.02600554857293213,0.019828309772158367
3.068871840120558,4.0,4.0,39.70068272873738,2.5,40.0,0.0,-20.0,0.489049391446521,0.03327542550537629,0.02516605677964471,-0.020295955585908684,-0.07056683123051294,0.006429295420027053,0.019805542022363003
3.085414011906403,8.0,8.0,39.679411559107784,2.5,40.0,0.0,-20.0,0.513447984157481,0.04264214181304041,0.08390794044869179,-0.046578829409913786,-0.11156425876780826,-0.009427899154673855,0.019808404037572412
3.092195308579197,10.0,10.0,39.67320170993986,2.5,40.0,0.0,-20.0,0.5195967598326545,0.04500693941766884,0.12950239841303304,-0.06209955512958973,-0.10937755077596341,-0.021118967947316613,0.019827722736140266
-5.222566127548889,0.0,0.0,39.757821468811606,-5.0,40.0,0.0,-10.0,-0.37832895810874845,-0.03285689790905944,-0.03199685597707533,0.0013712092311365801,0.18338292306747736,0.012495233484151241,0.04855408192781413
-5.221566127548888,0.0,0.0,39.59971174173862,-5.0,40.0,0.0,-10.0,-0.364490878103574,0.05955454308067591,-0.0453836064153879,0.007941621898956697,0.16765834944423422,0.01677618430978987,0.0030067341006480503
3.0727446113892007,0.0,0.0,19.850618275850547,2.5,20.0,0.0,-10.0,0.4867592347685709,0.04308588843992092,-0.038531339777842226,0.003976511631529579,-0.11053853780764913,0.014913797014321191,0.01978317421060395
3.06464049605014,0.0,0.0,39.74164661103386,2.5,40.0,0.0,-10.0,0.5056795153427887,-0.03799480811384364,-0.029127938814670868,-0.0007047647179813941,-0.11429098297040488,0.012449393351517683,0.04862795611037019
3.06864049605014,0.0,0.0,39.64607082378195,2.5,40.0,0.0,-10.0,0.49113607002807946,0.05816874156105845,-0.03654657732746063,0.004665003778499164,-0.09350577149001905,0.014125468696960531,0.003024964483177128
3.06464049605014,0.0,0.0,39.54200618606094,2.5,40.0,0.0,-10.0,0.4858620495213591,0.07508585953963358,-0.033243948780109916,0.0045599181397294455,-0.08834516990339474,0.014517094762050655,-0.006848649893424301
3.06464049605014,0.0,0.0,39.69954504964806,2.5,40.0,0.0,-10.0,0.49616562251850455,0.024002696888458738,-0.031024530690548797,0.0017282441985213659,-0.10024818580001994,0.01336173159172283,0.01981593586273794
5.822659113537325,0.0,0.0,39.7309630472106,5.0,40.0,0.0,-10.0,0.779244995527259,-0.02245566844198403,-0.035140045574846776,0.0008189550466220763,-0.22215381860180253,0.012819620300381257,0.04866866026033146
5.822659113537325,0.0,0.0,39.69485914336208,5.0,40.0,0.0,-10.0,0.7566468756541614,0.07236083352076994,-0.0364982431898041,0.004550608753494057,-0.18862971836784292,0.013528764746647519,0.0029724490635722623
7.942613817234877,0.0,0.0,39.75117981435742,7.0,40.0,0.0,-10.0,0.9726932347830021,-0.003310846125603616,-0.03751925028092121,0.0009872723966733068,-0.3243930401149028,0.013177116473728741,0.04859165621319665
7.942613817234877,0.0,0.0,39.673617205208295,7.0,40.0,0.0,-10.0,0.9428494554203904,0.08941815166979945,-0.03308724185411325,0.0029329037210553163,-0.27919994233966594,0.012627202708671978,0.003004154521070163
3.0735786894993593,4.0,4.0,19.87040215132988,2.5,20.0,0.0,-10.0,0.4902724262506185,0.04607856140731328,0.05591752074881301,-0.028080899818053565,-0.10665135315068314,-0.006617046124683706,0.019658131916324692
3.068871840120558,3.995,4.0,39.69611605018411,2.5,40.0,0.0,-10.0,0.49819355786007286,0.029619940854734073,0.05729732081621683,-0.026612286924998705,-0.10309433751830642,-0.007419826168786556,0.019815144355328374
3.0905362274192623,8.0,8.0,19.828679987077273,2.5,20.0,0.0,-10.0,0.5162704683720161,0.05630939416208647,0.1156183362349014,-0.053908654285457096,-0.15493166797818209,-0.02332388432600626,0.01984919175877021
3.085414011906403,8.0,8.0,39.69672746570833,2.5,40.0,0.0,-10.0,0.5221156776962318,0.04154323894701507,0.1185890247533108,-0.05312203936784472,-0.14409808565182755,-0.024332759249459438,0.019757983000206356
3.095605005791716,9.995,10.0,19.822403243006953,2.5,20.0,0.0,-10.0,0.5234898907935722,0.07206405134082502,0.05401540495506499,-0.017709559574373986,-0.21578775674602432,-0.0028543163059981344,0.01982802551311888
3.092195308579197,10.0,10.0,39.67729473992238,2.5,40.0,0.0,-10.0,0.5288841790347879,0.04491921949020502,0.1643527016132738,-0.06838596381183232,-0.14398312212160963,-0.036119878547906346,0.019834480518549674
3.06464049605014,0.0,0.0,39.709938541869306,2.5,40.0,0.0,-5.0,0.4930345035258532,0.02260578693418644,-0.012913651483400533,-0.0017265644666382323,-0.09302475291611989,0.0055856733020464315,0.019796223342028938
3.068871840120558,4.0,4.0,39.69036293837472,2.5,40.0,0.0,-5.0,0.49767510160599315,0.02899402519496796,0.07522714994599036,-0.030262359251421598,-0.10188761113859474,-0.015061949581835253,0.019842003678733757
3.085414011906403,8.0,8.0,39.68473886708077,2.5,40.0,0.0,-5.0,0.5217270507856184,0.04178346888330355,0.13703435229095837,-0.056713795045379156,-0.14111659652996353,-0.03221778670718992,0.01981753192895017
3.092195308579197,9.995,10.0,39.65737312301961,2.5,40.0,0.0,-5.0,0.5290033504343226,0.04586543732483424,0.18176075870407607,-0.07135616823637568,-0.14449519224971033,-0.043834119059255626,0.01984333189361995
