run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round,CT_one_prop_BEM,CFt_thrust_BEM,Tc_star_BEM,CFt_aero_BEM,CD_aero_BEM,CL_aero_BEM,CYaw_aero_BEM,CT_one_prop_EXP,CFt_thrust_EXP,Tc_star_EXP,CFt_aero_EXP,CD_aero_EXP,CL_aero_EXP,CYaw_aero_EXP,CT_propoff_inv,delta_CT,delta_T,CT_one_prop_delta,CT_both_prop_delta,propoff_match_found,CD_modeloff,CYaw_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_aero_EXP_uncorrected,CYaw_aero_EXP_uncorrected,CL_aero_EXP_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,CMpitch25c_uncorrected,matched_fit_velocity,velocity_match_error,fit_found,fit_match_type,matched_fit_AoS,matched_fit_dR,matched_fit_source_row,CD0_fit,k_fit,esb,CL2_fit,CDi_fit,CDsep_fit,ewb,ess,e_total_blockage,V_FINAL,CL_aero_EXP_blockage_corr,CD_aero_EXP_blockage_corr,CYaw_FINAL,CMpitch_blockage_corr,CMroll_FINAL,CMyaw_FINAL,CFt_FINAL,CL_alpha_per_deg_tailoff,delta_alpha_sc_rad,delta_alpha_sc_deg,AoA_sc_corr,delta_CL_sc,delta_CMpitch_sc,CL_FINAL,CMpitch_blockage_corr_sc_corr,streamline_curvature_data_found,delta_alpha_dw_deg,delta_alpha_dw_rad,delta_CD_dw,AoA_FINAL,CD_FINAL,downwash_data_found,CLw_tailoff,delta_alpha_tail_rad,delta_alpha_tail_deg,delta_CMpitch_tail,TAILONLY_AoA_tail_corr,CMpitch_FINAL,tail_correction_data_found
4.0,17.0,20.0,16.0,2.496,0.0,413.22,101106.0,290.81,788.1,1844.2,1294.7,283.5,422.4,-1323.6,0.0,1.2111837665772662,968.376508682172,39.98822250188802,443397.0123409999,98.44,98.43,6.44,7.87,0.0,21.129,21.653,28.525,28.589,101106.0,1.4878860687823469e-05,1.9991104588813853,1.9993135585927413,7.352540167190499,13.14918597295706,107.13484671210308,-2.542902906018317,-2.537051679296379,8.644608059925003,0.0349618126538645,0.0625252451647622,0.5094332508597899,-0.0086579981384831,-0.0731232540013728,0.0294328974628212,0.5104725077494743,0.0127430081841154,-0.0625252451647622,0.5094332508597899,0.0349618126538645,-0.0625252451647622,0.0081079636878203,-0.07608984467534341,-0.07608984467534341,0.026445392807218002,800.3666666666667,1849.4333333333332,1299.8666666666668,285.2333333333333,401.5,-1326.6999999999998,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,0.0,1.9991104588813853,2.0,0.20842110580285864,0.039656619544316735,0.13280310448371035,0.05239962772843214,0.07458080854965712,0.5077062193337745,-0.0625252451647622,0.15696568541167058,0.029883708993121,0.10007533101350786,0.0426267171772364,0.05676716990705724,0.49532711031299254,-0.061044888021905094,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.06481716990705724,-0.0625252451647622,0.5081318260752664,0.007674630354487,-0.0829773446753433,0.029795392807218,-0.0829773446753433,40.0,0.0,True,exact_AoS_exact_dR,0.0,-20.0,328.0,0.04019709559015745,0.06095841114194795,0.007219591,0.24534894621101946,0.014956081936374998,0.0016139923805247904,0.001266135855970063,-0.0018493787887190881,0.006636348067250975,40.25359826500122,0.4888176540507534,0.056021150959280314,-0.06024265244800166,-0.07508989230931656,0.008001410999903947,0.02609785453557456,0.029382922294922998,0.0849543927173969,0.0003798401876512003,0.021763239641870987,2.5177632396418708,-0.001848882807338328,0.000462220701834582,0.4869687712434151,-0.07462767160748199,True,0.31264138635390964,0.0054566215698753934,0.0027362334857662174,2.8304046259957802,0.05875738444504653,True,0.5014888801603589,0.009544406815858462,0.5468945105486899,-0.08573118347361262,3.04289451054869,0.011103511866130636,True
1.0,17.0,17.0,7.0,2.496,4.0,413.81,101101.0,290.5,809.5,-428.2,696.7,860.7,460.6,-25.3,0.0,1.2124162911880931,969.769728920426,39.99663253237486,444308.8042373147,98.44,98.42,6.9,6.8,0.0,20.503,20.594,28.612,28.743,101101.0,1.4851449705370646e-05,1.9995308971718089,1.9999372233041337,7.603355027514802,-7.216187417281273,106.82648115503552,-5.022943558004886,-2.312526063937661,0.1588977406771972,0.0361025125137948,-0.0342641499169136,0.5072371813163812,-0.0170773952470912,-0.066556190140589,0.0005402329311643,0.5083281987643795,0.0139782638606351,0.0342641499169136,0.5072371813163812,0.0384047148818611,0.0316623002035607,-0.020599676921507,-0.072744290456031,-0.072744290456031,0.0065254273898312,827.2,-431.7,703.5,860.6,438.8,-26.9,-17.7,3.5,-6.8,0.1,21.8,1.6,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,4.0,1.9995308971718089,2.0,0.20826936314176822,0.039611084044726005,0.1326506140349693,0.05358934790536111,0.07788181941340874,0.5055121328450046,0.02890179213890883,0.15679382918617701,0.02982589139801284,0.09988170996833619,0.04380415525864794,0.060679723950950434,0.4969335587050675,0.023464082227224514,,,,,,False,0.00745,0.0061196428571428,0.0090047157622739,-0.0061333333333333,-0.0039875,-0.00715,True,0.06812972395095043,0.029583725084367313,0.5059382744673414,-0.0267330102548403,-0.076731790456031,-0.0006245726101688,-0.076731790456031,40.0,0.0,True,exact_AoS_exact_dR,4.0,-20.0,346.0,0.0441704734172974,0.05868081153313677,0.007219591,0.24694296176728278,0.01449081339890052,0.0020184371347525144,0.0014234117819538921,-0.0018474778619482397,0.006795524920005653,40.26843064546492,0.4902479353445122,0.059863353688061234,0.023148402165927978,-0.07176560644666928,-0.020322533873238735,0.006437635875189389,0.0293169287854407,0.08379140479445407,0.00038266663869872226,0.021925183357894326,2.517925183357894,-0.0018371419139339513,0.00045928547848348783,0.48841079343057825,-0.07130632096818579,True,0.3149678004688115,0.005497225155945301,0.0027771064875283815,2.8328929838267056,0.06264046017558962,True,0.5052205384122537,0.009615428259928071,0.5509640392938784,-0.08636912279970838,3.0469640392938784,0.015062801831522588,True
2.0,17.0,18.0,4.0,2.496,8.0,413.45,101104.0,290.63,508.3,-2894.0,101.3,1653.4,181.6,1226.0,0.0,1.211909932667162,968.9196246045556,39.98744921210356,443867.2703991036,98.42,98.43,7.98,6.06,0.0,20.618,20.945,28.89,28.665,101104.0,1.4862809760720225e-05,1.9994780330453228,1.999274895990253,4.792262915720875,-31.173048377339043,112.0740194845113,-7.826694062111748,-3.01456195211257,-8.001160292735243,0.0227747524649654,-0.1481468093170123,0.5326206212810651,-0.0266331516102841,-0.0868374181123607,-0.0272268359339839,0.5331071373955024,-0.0004422913531882,0.1481468093170123,0.5326206212810651,0.0431711609895367,0.1435354218284363,-0.0473048344472705,-0.1144690496971241,-0.1144690496971241,-0.009629311195327901,521.1,-2897.3,110.3,1651.4,156.0,1220.2,-12.8,3.3,-9.0,2.0,25.6,5.8,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,8.0,1.9994780330453228,2.0,0.20828844526085552,0.039616808075144824,0.13266978281482278,0.039174516721956626,0.08236520091703238,0.5308953235302214,0.1380270587416672,0.15681543765868972,0.029845282729524053,0.09994664815657192,0.029402991376335855,0.0698479517579797,0.5221161541842346,0.08106605915061366,,,,,,False,0.00285,0.0583196428571428,0.0092047157622739,-0.0198333333333333,0.0212125,-0.02055,True,0.0726979517579797,0.13938570200775646,0.5313208699465085,-0.0671381677806038,-0.0932565496971241,-0.0301793111953279,-0.0932565496971241,40.0,0.0,True,exact_AoS_exact_dR,8.0,-20.0,371.0,0.05594063441392008,0.0527568252102957,0.007219591,0.2726052784601355,0.014381789027125355,0.0,0.001467428236075295,-0.0018477168412507478,0.006839302394824547,40.260935469262826,0.5150469387952415,0.06890224224200306,0.07996846155996273,-0.11291919079849139,-0.04666434849224216,-0.009498934698945076,0.029333428979141738,0.08577161475725736,0.00039371647014572423,0.022558292064138473,2.5185582920641383,-0.001934861136506981,0.00048371528412674526,0.5131120776587346,-0.11243547551436464,True,0.3240627691816536,0.0056559623053502655,0.002939804804868758,2.842621061245792,0.07184204704687182,True,0.5198092201222739,0.009893082099636307,0.5668736043091603,-0.08886310621150398,3.0628736043091602,-0.023572369302860663,True
3.0,17.0,18.0,49.0,2.496,10.0,413.27,101103.0,290.71,330.1,-3931.4,-197.7,2031.0,31.8,1709.0,0.0,1.211564445727421,968.4945769444824,39.98437706931307,443611.97787620977,98.43,98.43,7.14,7.02,0.0,20.79,21.22,28.855,28.611,101103.0,1.4870220568739444e-05,1.999121296346392,1.999121296346392,3.065151877192533,-41.8584898958199,113.32130386928944,-8.123402393455388,-3.16332361165506,-11.18160035468108,0.014573222189432,-0.1990156110386959,0.5387845712871872,-0.0276549405316352,-0.0911626352509436,-0.0380661301607249,0.5389080657471974,-0.0089044783516518,0.1990156110386959,0.5387845712871873,0.0489105203826623,0.1934615032454396,-0.06307752683451259,-0.1122826411828681,-0.1122826411828681,-0.021527214299849797,333.1,-3942.1,-187.5,2029.8,4.100000000000001,1705.3,-3.0,10.7,-10.2,1.2,27.7,3.7,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,10.0,1.999121296346392,2.0,0.20841719499802022,0.03965544547228053,0.13279917272116762,0.030750967120628733,0.08792645956911559,0.5370575908915871,0.18658194048918716,0.15696125554438112,0.029888289708868886,0.10009067103187218,0.020983811357217087,0.07206681451907426,0.5284782312518658,0.1263567373293982,,,,,,False,0.00625,0.0619196428571428,0.0090047157622739,-0.0189333333333333,0.0170125,-0.0201499999999999,True,0.07831681451907427,0.188276380186541,0.5374829470141397,-0.0820108601678459,-0.0952701411828681,-0.0416772142998497,-0.0952701411828681,40.0,0.0,True,exact_AoS_exact_dR,10.0,-20.0,389.0,0.05903268874274865,0.05113703453127525,0.007219591,0.2792892409071005,0.014282023556480051,0.0,0.0015485386467300733,-0.0018493297812776604,0.006918799865452413,40.26102097200044,0.5212405613237232,0.0710798376004107,0.12462624342462401,-0.1107448963005167,-0.062213660941625545,-0.02123239256006758,0.02937097463851235,0.08630268656025995,0.00039824623722809773,0.022817828600135766,2.518817828600136,-0.001969239909663252,0.000492309977415813,0.51927132141406,-0.11025258632310089,True,0.32779115998003333,0.005721035000583052,0.003007839733395452,2.846608988580169,0.07408767733380615,True,0.52578970321853,0.01000690349405642,0.5733955702094329,-0.08988548958603071,3.0693955702094327,-0.020367096737070184,True
1.0,12.0,48.0,53.0,-4.996,0.0,414.34,101170.0,290.45,-619.2,925.6,-346.6,-912.5,45.0,-701.9,0.0,1.2134526039979827,971.0212932130448,40.00533998428826,444844.7576862209,123.02,123.03,17.46,17.61,0.0,19.691,20.772,34.09,33.511,101170.0,1.48367858629074e-05,1.6003631373030802,1.6002330582055182,-5.863858106526021,6.0197828451074695,-75.94717092998704,-2.828415237606084,6.252893085297141,4.53287020069566,-0.0278070860169263,0.0285464989664102,-0.3601501735592838,-0.0096038721582797,0.1797308758151738,0.0153913418859964,-0.3563602706027733,-0.0590655490404786,-0.0285464989664102,-0.3601501735592838,-0.0278070860169263,-0.0285464989664102,0.0013883357312066999,0.18611838554908058,0.18611838554908058,0.0127685433165537,-638.1,914.8,-337.0,-902.8,7.600000000000001,-695.6999999999999,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,-5.0,0.0,1.6003631373030802,1.6,0.32707341345439134,0.09710816385562826,0.32519830935989225,0.03804261481514966,0.06893214258787729,-0.35169339306319103,-0.0285464989664102,0.31488316614895207,0.09346392045949554,0.31299437362200505,0.03439837141901694,0.05940174447310956,-0.3756607563543068,-0.0323964989664102,,,,,,False,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.06530174447310956,-0.0285464989664102,-0.3520107563543068,-0.0002116642687932,0.1875683855490806,0.0154685433165536,0.1875683855490806,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.14112100386468984,0.008657664245801876,0.013044905464652428,0.002699882619934935,-0.00396571097909823,0.0059537626408367045,40.243522282920694,-0.37122720008597543,0.058700683816376546,-0.03201415479381568,0.18392181238846922,0.0013719505632605585,0.012617848695673006,0.0916369236629318,0.0849543927173969,-0.0001513415259752923,-0.00867123070345377,-5.004671230703455,0.0007366591385243612,-0.0001841647846310903,-0.37049054094745104,0.18373764760383812,True,-0.12456718912870962,-0.0021741075902504694,0.0004343777256542913,-5.1292384198321646,0.05913506154203084,True,-0.19981059100782428,-0.003802823237248988,-0.217901771494367,0.03415828169945698,-5.213901771494368,0.14957936590438115,True
8.0,12.0,53.0,8.0,-4.995,0.0,413.7,101161.0,290.67999999999995,1533.2,1283.8,-582.9,-1291.7,1682.5,-929.6,0.0,1.2123845995887763,969.5099735513668,39.991798252437086,444030.19039940194,82.02,82.03,1.03,0.87,0.0,23.786,23.813,31.732,30.434,101161.0,1.485897230570449e-05,2.39953707351704,2.399244554063971,13.93759241652099,8.934983625828313,-73.44884085980564,-2.124256591667887,6.653740646990737,6.014379200644172,0.0661966878525451,0.0424367641390819,-0.3488457580209146,-0.0072241482378736,0.1915508258418861,0.0204536340264445,-0.3532846132175095,0.0355717083591513,-0.0424367641390819,-0.3488457580209146,0.0661966878525451,-0.0424367641390819,0.008099664366782,0.1714430928783923,0.1714430928783923,0.0172635314995845,1514.3,1273.0,-573.3,-1282.0,1645.1,-923.4,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,-5.0,0.0,2.39953707351704,2.4,0.04553364001693702,0.0060134682012961006,0.020138056521780502,0.0415851765604474,0.0721873187060853,-0.3483221725125102,-0.0424367641390819,-0.016934651672206577,-0.002237417518010163,-0.007492721160610642,0.03333429084114114,0.05806776737488224,-0.3726905672972699,-0.0462867641390819,,,,,,False,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.06396776737488225,-0.0424367641390819,-0.3490405672972699,0.0064996643667821,0.1728930928783923,0.0199635314995844,0.1728930928783923,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.13889825895236085,0.008521300567624955,0.011847292044602034,0.0025428043380297744,-0.0003093215554926526,0.009453073782537121,40.369843672013715,-0.3657430914165078,0.05698530259394532,-0.04542391381317522,0.16824715271458926,0.007948675241303002,0.016941715013645716,-0.0021943638899398427,0.0849543927173969,-0.0001513415259752923,-0.00867123070345377,-5.003671230703453,0.0007366591385243612,-0.0001841647846310903,-0.3650064322779834,0.16806298792995816,True,-0.12456718912870962,-0.0021741075902504694,0.0004343777256542913,-5.128238419832163,0.05741968031959961,True,-0.19981059100782428,-0.003802823237248988,-0.217901771494367,0.03415828169945698,-5.2129017714943675,0.13390470623050119,True
14.0,12.0,58.0,17.0,2.496,0.0,103.96,101160.0,290.57,268.1,288.8,271.3,103.3,158.7,-204.0,0.0,1.2128315782593753,242.52716310066285,19.99838583806929,222189.75821228168,49.21,49.21,0.66,0.72,0.0,22.505,22.863,33.762,32.572,101160.0,1.4849138116813831e-05,1.999944180859678,1.999944180859678,2.5767467469310907,2.137724556013921,26.801435904178973,-0.5173985545754108,-0.9250226123674568,1.3495768238307124,0.0489228930172394,0.0405874849279441,0.5088601675776615,-0.0070339095593826,-0.1064541027068845,0.0183471740272914,0.5105079682031981,0.0267158007438398,-0.0405874849279441,0.5088601675776616,0.0489228930172394,-0.0405874849279441,0.0040359341099927,-0.11335566532207911,-0.11335566532207911,0.015171638134411398,280.3666666666667,294.03333333333336,276.4666666666667,105.03333333333332,137.79999999999998,-207.1,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,20.0,2.5,0.0,1.999944180859678,2.0,0.20812015586843777,0.0395663484212079,0.13250080223173227,0.06628214916504771,0.08845170343335544,0.5071370673266085,-0.0405874849279441,0.12104498239692771,0.023015940448555556,0.07707637159452296,0.04973174119239536,0.06386699742268695,0.4950531158822625,-0.039107127785086994,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.07191699742268695,-0.0405874849279441,0.5078578316445364,0.0036026007766594,-0.120243165322079,0.0185216381344114,-0.120243165322079,20.0,0.0,True,exact_AoS_flipped_dR,0.0,10.0,67.0,0.04373272517726485,0.06222869757779773,0.007219591,0.2450775875447368,0.015250859078417674,0.004883413167004427,0.0017876974164092673,-0.0018456099067305628,0.007161678509678704,20.141607848154052,0.4880377457313953,0.06296194175700119,-0.03855294285391913,-0.11174930849809474,0.0039787411123571835,0.01495664169485112,0.02260685342836648,0.09027235048587415,0.00038525357046954964,0.02207340363025104,2.5180734036302512,-0.0019926180289261885,0.0004981545072315471,0.4860451277024691,-0.11125115399086319,True,0.3170970694654274,0.0055343879105968835,0.0028147814129505216,2.835170473095679,0.06577672316995171,True,0.5086359682666501,0.009680431200713048,0.5546887078008577,-0.08695300183486246,3.0506887078008575,-0.02429815215600073,True
2.0,12.0,49.0,35.0,2.496,0.0,413.86,101166.0,290.54,-771.0,962.8,1381.8,789.4,-903.6,-719.9,0.0,1.213028753275484,969.8877999129204,39.98896818151591,444400.6220198101,123.03,123.03,17.58,17.93,0.0,21.089,22.581,34.074,33.579,101166.0,1.4845535922040316e-05,1.5995781781312823,1.5995781781312823,-6.990728382745571,6.523632102842962,110.93256468921332,-2.7001902292649187,-4.624381133196843,4.712499290059566,-0.0331895766717983,0.0309719640074008,0.5266697058691712,-0.0091791997468383,-0.1330768662458155,0.0160199721565789,0.5247246414124537,-0.0560943649090021,-0.0309719640074008,0.5266697058691712,-0.0331895766717983,-0.0309719640074008,-0.0007135638442168002,-0.11683478554393521,-0.11683478554393521,0.0126351909171814,-758.7333333333333,968.0333333333332,1386.9666666666667,791.1333333333333,-924.5,-723.0,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,1.5995781781312823,1.6,0.3272497892692787,0.09725591222074038,0.32569309287383647,0.04116154731173829,0.06397406539832587,0.5224342458519879,-0.0309719640074008,0.3151907705019592,0.09372376231149153,0.31386453867934944,0.03762939740248943,0.05239526656559959,0.5097833539485799,-0.0294916068645437,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.06044526656559959,-0.0309719640074008,0.5225880697108538,-0.0011468971775501,-0.1237222855439351,0.0159851909171814,-0.1237222855439351,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.2598790679630631,0.01594337946386371,0.0,0.0009889203814551597,-0.003970554557771263,0.0042379568236838965,40.15843970209284,0.5054897874236227,0.05195397604316532,-0.029243218652139313,-0.11585076376237546,-0.0007075539700001971,0.012528773098046559,0.09220383715497545,0.0849543927173969,0.0003798401876512003,0.021763239641870987,2.5177632396418708,-0.001848882807338328,0.000462220701834582,0.5036409046162844,-0.11538854306054089,True,0.31264138635390964,0.0054566215698753934,0.0027362334857662174,2.8304046259957802,0.054690209528931534,True,0.5014888801603589,0.009544406815858462,0.5468945105486899,-0.08573118347361262,3.04289451054869,-0.029657359586928264,True
6.0,12.0,51.0,49.0,2.5,0.0,413.69,101165.0,290.56,1463.3,1116.6,1019.6,387.3,894.7,-788.7,0.0,1.2129332677003728,969.4863594824362,39.98226519445301,444267.4437195616,82.02,82.02,0.56,1.3,0.0,24.587,25.399,31.31,30.092,101165.0,1.4847497008520386e-05,2.398965083082591,2.398965083082591,13.564576907358653,8.13735951383032,108.25829926690729,-1.7090309731480768,-2.950725960654127,5.158883014585127,0.064426617431768,0.0386493844874657,0.5141860360494673,-0.0058121951293063,-0.084948871870768,0.0175446994239085,0.51650689445984,0.0419368176834542,-0.0386493844874657,0.5141860360494674,0.064426617431768,-0.0386493844874657,0.0047444566820065,-0.0962202052320491,-0.0962202052320491,0.014399641709142501,1475.5666666666666,1121.8333333333333,1024.7666666666669,389.03333333333336,873.8000000000001,-791.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,2.398965083082591,2.4,0.04578788165079259,0.006049928966354256,0.020260157266806515,0.047986746649808454,0.07047078820630079,0.5139221418543513,-0.0386493844874657,-0.016671565632589203,-0.002204759904186976,-0.0073833565059682384,0.03973205777926722,0.054173955970475016,0.5014774905635018,-0.0371690273446086,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.06222395597047502,-0.0386493844874657,0.5142822063257757,0.0043111233486732,-0.103107705232049,0.0177496417091425,-0.103107705232049,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.251479673541867,0.015428083124018353,0.001046698083801409,0.0011262046953450545,-0.0003111605092197875,0.008034635186125268,40.30350810920535,0.49351520229223206,0.053313800405471894,-0.03657887022679275,-0.09469245368587817,0.004669125819697529,0.014171009117553281,-0.0021684145789934695,0.0849543927173969,0.0003798401876512003,0.021763239641870987,2.5217632396418708,-0.001848882807338328,0.000462220701834582,0.49166631948489375,-0.0942302329840436,True,0.31264138635390964,0.0054566215698753934,0.0027362334857662174,2.8344046259957802,0.05605003389123811,True,0.5014888801603589,0.009544406815858462,0.5468945105486899,-0.08573118347361262,3.04689451054869,-0.00849904951043097,True
9.0,12.0,53.0,59.0,2.496,0.0,413.54,101159.0,290.77,1865.9,1091.5,919.7,346.8,1221.5,-810.7,0.0,1.211985376693565,969.1321495590578,39.99058970785869,443764.0522338207,70.31,70.3,-1.01,-1.26,0.0,23.067,22.935,28.808,27.539,101159.0,1.4867434357483653e-05,2.7990909288574315,2.7994890925741966,17.268846134261,7.467939246343539,107.68374833889236,-1.4638838402521142,-2.612897888347991,5.299999175943435,0.0820504751084512,0.0354828549909804,0.5116440695557287,-0.0049803007687443,-0.075250584589141,0.0180312052394468,0.514731923286115,0.0596907155866557,-0.0354828549909804,0.5116440695557287,0.0820504751084512,-0.0354828549909804,0.0046639647942947,-0.0914892545496585,-0.0914892545496585,0.014882745774634198,1878.1666666666667,1096.7333333333331,924.8666666666668,348.53333333333336,1200.6,-813.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,2.7990909288574315,2.8,-0.1411306679761846,-0.013697299786848601,-0.04586986877953013,0.0459934157998071,0.06836617043815135,0.5122405820377555,-0.0354828549909804,-0.20070877635073092,-0.019488763848507125,-0.06526447214542179,0.04020195173814858,0.0545302009448852,0.4996880824535422,-0.0340024978481233,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0625802009448852,-0.0354828549909804,0.5124927982158161,0.0042306314609614,-0.0983767545496584,0.0182327457746342,-0.0983767545496584,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.24968817974609797,0.015318176367706748,0.0015128498145231973,0.001187344886113637,0.0007540311439920666,0.009160967030105703,40.35694218168686,0.4906571175272579,0.05354466546895701,-0.0333879637492417,-0.08983575053788996,0.004579672004544974,0.014613766865956656,-0.01916516863223026,0.0849543927173969,0.0003798401876512003,0.021763239641870987,2.5177632396418708,-0.001848882807338328,0.000462220701834582,0.4888082347199196,-0.08937352983605538,True,0.31264138635390964,0.0054566215698753934,0.0027362334857662174,2.8304046259957802,0.05628089895472323,True,0.5014888801603589,0.009544406815858462,0.5468945105486899,-0.08573118347361262,3.04289451054869,-0.003642346362442761,True
