AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,CD_modeloff,CYaw_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CYaw_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit
-5.002,-10.0,19.9909685203706,-20,0,-0.47817087615336246,0.1047027036726942,-0.1287597067228815,0.030195813195752,0.6346648342538852,0.025079752889686897,0.0259999999999999,-0.00575,0.02385,0.0049,-0.0322499999999999,0.0068,True,0.1307027036726941,-0.1345097067228815,-0.4543208761533625,0.035095813195752,0.6024148342538853,0.0318797528896869,20.0,-5.0,-10.0,0.2286473868012743,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.08589885748286794,0.013989231012038096
-2.5,-10.0,19.99389090730533,-20,0,-0.2035073979625826,0.0863179345753765,-0.12323613131262409,0.0283686528454789,0.5427143295714119,0.025044205506874702,0.0271999999999999,-0.0068667706167706,0.0191831944444444,0.0055741071428571,-0.037017027027027,0.00736125,True,0.1135179345753764,-0.1301029019293947,-0.1843242035181382,0.033942759988336,0.5056973025443848,0.0324054555068747,20.0,-2.5,-10.0,0.04141526102550097,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07444351790083835,0.0025338914300085144
0.002,-10.0,20.00041753590767,-20,0,0.0772623901335357,0.07789900066595891,-0.1173151404531032,0.027131066195723905,0.4524391047612594,0.0257601175701692,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1057990006659588,-0.1276651404531032,0.0945123901335356,0.0331310661957239,0.4123891047612595,0.0333601175701692,20.0,0.0,-10.0,0.005969476929146674,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07227485431336558,0.00036522784253574146
-0.005,-10.0,20.00815716209881,-20,0,0.07655911362931579,0.0775749891853469,-0.11731972546263719,0.027691896843418003,0.4500837040912486,0.025835792199203,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1054749891853468,-0.1276697254626372,0.0938091136293157,0.033691896843418,0.4100337040912487,0.033435792199203,20.0,-0.0,-10.0,0.005861297879706487,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07226823564286838,0.00035860917203855026
0.005,-10.0,20.0044300867185,-20,0,0.0775027612485797,0.078055029707537,-0.1175748359021708,0.0272003580526752,0.4542075282267739,0.0258661797980238,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1059550297075369,-0.1279248359021708,0.0947527612485796,0.0332003580526752,0.414157528226774,0.0334661797980238,20.0,0.0,-10.0,0.006006678001154347,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07227713036994987,0.0003675038991200361
2.5,-10.0,19.998112423600706,-20,0,0.3593170863485193,0.0767514286244448,-0.1172454831451607,0.027477871933628103,0.3566688646197774,0.027581816288713604,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.1049014286244447,-0.1283258402880178,0.3723218021107932,0.0335445386002947,0.3160813646197774,0.0350318162887136,20.0,2.5,-10.0,0.12910876854198927,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07980883063004211,0.007899204159212279
5.0,-10.0,19.992835656405287,-20,0,0.6268124871873667,0.08231357070790231,-0.1160299196598006,0.0280755570061804,0.2712870364224493,0.0288873315178565,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.1102135707079022,-0.1273799196598005,0.6338624871873667,0.0339755570061804,0.2329370364224494,0.0362873315178565,20.0,5.0,-10.0,0.39289389409401276,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.09594787822866599,0.02403825175783615
6.0,-10.0,19.99483948656011,-20,0,0.7223750402898361,0.0867189770772358,-0.1080298660624063,0.026812800474642504,0.246405280475111,0.0268400099009509,0.0272999999999999,-0.01385,0.00565,0.0065,-0.03745,0.0076,True,0.1140189770772357,-0.1218798660624063,0.7280250402898362,0.0333128004746425,0.208955280475111,0.0344400099009509,20.0,6.0,-10.0,0.5218256988337424,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.10383625529055077,0.03192662881972092
7.0,-10.0,19.993435453169816,-20,0,0.8075660296074779,0.0913088675303878,-0.10657461717181049,0.026257320688111097,0.2248085494307389,0.027149804843158404,0.0260999999999999,-0.01405,0.00715,0.0071,-0.03575,0.0077,True,0.1174088675303877,-0.1206246171718105,0.8147160296074779,0.0333573206881111,0.1890585494307389,0.0348498048431584,20.0,7.0,-10.0,0.6521628921759859,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.11181061761602107,0.039900991145191224
8.0,-10.0,19.991798997474028,-20,0,0.9008625063376392,0.0989562267412724,-0.1005621482650939,0.023998947373928003,0.1568646646117112,0.0258470568518506,0.0244999999999999,-0.01525,0.00775,0.0074,-0.0337499999999999,0.0079,True,0.1234562267412723,-0.1158121482650939,0.9086125063376392,0.031398947373928,0.1231146646117113,0.0337470568518506,20.0,8.0,-10.0,0.811553255324933,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.12156252706216408,0.04965290059133425
9.0,-10.0,19.991447977800103,-20,0,0.9894069617877395,0.1039840410582256,-0.095073590913087,0.022848908692520698,0.113760024354898,0.0248919689093021,0.0274999999999999,-0.01635,-0.0079499999999999,0.0074,-0.03455,0.008,True,0.1314840410582255,-0.111423590913087,0.9814569617877396,0.0302489086925207,0.079210024354898,0.0328919689093021,20.0,9.0,-10.0,0.9789261360340453,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.13180282731726858,0.059893200846438746
10.0,-10.0,19.99294458794892,-20,0,1.0550683936955239,0.1122285973726603,-0.08911491189111301,0.0197213040830425,0.0573861300665022,0.0236761920235144,0.0293999999999999,-0.0154499999999999,-0.0088499999999999,0.008,-0.0371499999999999,0.0074,True,0.1416285973726602,-0.1045649118911129,1.046218393695524,0.0277213040830425,0.0202361300665023,0.0310761920235144,20.0,10.0,-10.0,1.1131693153752529,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.14001616784071316,0.06810654136988332
11.0,-10.0,19.99459564281653,-20,0,1.0313642874203388,0.14129027662996219,-0.07832835325328419,0.014915132970036802,-0.0403753356718628,0.0219701561297121,0.0284999999999999,-0.0153499999999999,0.00625,0.0081,-0.0346499999999999,0.0072,True,0.1697902766299621,-0.0936783532532841,1.037614287420339,0.0230151329700368,-0.0750253356718627,0.0291701561297121,20.0,11.0,-10.0,1.0637122933660632,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.13699026093780448,0.06508063446697464
12.0,-10.0,19.996463621764704,-20,0,1.0475174480487044,0.1547891119723056,-0.0736919405841013,0.011478588315278399,-0.05937142891857781,0.021243899467489502,0.0289999999999999,-0.0154499999999999,0.01795,0.0086,-0.03525,0.007,True,0.1837891119723055,-0.0891419405841012,1.0654674480487043,0.0200785883152784,-0.0946214289185778,0.0282438994674895,20.0,12.0,-10.0,1.09729280396647,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.1390448023295221,0.06713517585869225
13.0,-10.0,19.99389330178525,-20,0,1.0736448042533706,0.1670321529218451,-0.0697106325171199,0.0074331204640747,-0.09309874702687759,0.020193852381062298,0.032,-0.01525,0.03045,0.0091,-0.0419499999999999,0.0067,True,0.1990321529218451,-0.0849606325171199,1.1040948042533707,0.0165331204640747,-0.1350487470268775,0.0268938523810623,20.0,13.0,-10.0,1.1527131657002585,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.14243556158511994,0.0705259351142901
