AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit,esb,CL2_fit,CDsep_fit,ewb,e_total_blockage,V_blockage_corr,CL_blockage_corr,CD_blockage_corr,CYaw_blockage_corr,CMroll_blockage_corr,CMpitch_blockage_corr,CMyaw_blockage_corr
-5.002,-10.0,19.9909685203706,-20,0,-0.47817087615336246,0.1047027036726942,-0.1345097067228815,0.030195813195752,0.6346648342538852,0.025079752889686897,0.0259999999999999,-0.00575,0.02385,0.0049,-0.0322499999999999,0.0068,True,0.1307027036726941,-0.4543208761533625,0.035095813195752,0.6024148342538853,0.0318797528896869,20.0,-5.0,-10.0,0.2286473868012743,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.08589885748286794,0.013989231012038096,0.007229438,0.2286473868012743,0.018803846189826265,0.004352626549712025,0.011582064549712025,19.762082801724276,-0.46728396658249693,0.10231885111379398,-0.13144721361314643,0.029508320284587195,0.6202148980429765,0.024508741530805844
-2.5,-10.0,19.99389090730533,-20,0,-0.2035073979625826,0.0863179345753765,-0.1301029019293947,0.0283686528454789,0.5427143295714119,0.025044205506874702,0.0271999999999999,-0.0068667706167706,0.0191831944444444,0.0055741071428571,-0.037017027027027,0.00736125,True,0.1135179345753764,-0.1843242035181382,0.033942759988336,0.5056973025443848,0.0324054555068747,20.0,-2.5,-10.0,0.04141526102550097,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07444351790083835,0.0025338914300085144,0.007229438,0.04141526102550097,0.011874416674538143,0.0034437665915474235,0.010673204591547424,19.782745615963613,-0.1992318181010598,0.08450444166822146,-0.127369510647387,0.02777264286245626,0.5313121963747504,0.02451804035619689
0.002,-10.0,20.00041753590767,-20,0,0.0772623901335357,0.07789900066595891,-0.1276651404531032,0.027131066195723905,0.4524391047612594,0.0257601175701692,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1057990006659588,0.0945123901335356,0.0331310661957239,0.4123891047612595,0.0333601175701692,20.0,0.0,-10.0,0.005969476929146674,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07227485431336558,0.00036522784253574146,0.007229438,0.005969476929146674,0.0056241463525933295,0.0026239847594662557,0.009853422759466256,19.80526785883015,0.07576200429032492,0.07638625225631918,-0.12518596566862797,0.026604198368299425,0.4436530288124635,0.025259872681874566
-0.005,-10.0,20.00815716209881,-20,0,0.07655911362931579,0.0775749891853469,-0.1276697254626372,0.027691896843418003,0.4500837040912486,0.025835792199203,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1054749891853468,0.0938091136293157,0.033691896843418,0.4100337040912487,0.033435792199203,20.0,-0.0,-10.0,0.005861297879706487,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07226823564286838,0.00035860917203855026,0.007229438,0.005861297879706487,0.0053067535424785135,0.0025823557024874286,0.009811793702487429,19.8137487469211,0.0750785747439206,0.07607480478432167,-0.12520078369888635,0.027156376927584838,0.44137975763732,0.025336166574341235
0.005,-10.0,20.0044300867185,-20,0,0.0775027612485797,0.078055029707537,-0.1279248359021708,0.0272003580526752,0.4542075282267739,0.0258661797980238,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1059550297075369,0.0947527612485796,0.0332003580526752,0.414157528226774,0.0334661797980238,20.0,0.0,-10.0,0.006006678001154347,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07227713036994987,0.0003675038991200361,0.007229438,0.006006678001154347,0.005777899337587125,0.002644150911845877,0.009873588911845877,19.808845687581133,0.07599467238902917,0.07653619452234571,-0.12543560820530045,0.026671079401254544,0.44536932295243814,0.025362862277923885
2.5,-10.0,19.998112423600706,-20,0,0.3593170863485193,0.0767514286244448,-0.1283258402880178,0.027477871933628103,0.3566688646197774,0.027581816288713604,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.1049014286244447,0.3723218021107932,0.0335445386002947,0.3160813646197774,0.0350318162887136,20.0,2.5,-10.0,0.12910876854198927,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.07980883063004211,0.007899204159212279,0.007229438,0.12910876854198927,0.0,0.001886324984234812,0.009115762984234813,19.817461144854924,0.35285468576845275,0.0753710364980808,-0.1260178704857957,0.026983676076349456,0.35025409291761894,0.027085750968261286
5.0,-10.0,19.992835656405287,-20,0,0.6268124871873667,0.08231357070790231,-0.1273799196598005,0.0280755570061804,0.2712870364224493,0.0288873315178565,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.1102135707079022,0.6338624871873667,0.0339755570061804,0.2329370364224494,0.0362873315178565,20.0,5.0,-10.0,0.39289389409401276,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.09594787822866599,0.02403825175783615,0.007229438,0.39289389409401276,0.0,0.001886324984234812,0.009115762984234813,19.812232044895357,0.615539120195674,0.08083314217472051,-0.125088962458005,0.02757061164517286,0.26640787657130743,0.028367786205233936
6.0,-10.0,19.99483948656011,-20,0,0.7223750402898361,0.0867189770772358,-0.1218798660624063,0.026812800474642504,0.246405280475111,0.0268400099009509,0.0272999999999999,-0.01385,0.00565,0.0065,-0.03745,0.0076,True,0.1140189770772357,0.7280250402898362,0.0333128004746425,0.208955280475111,0.0344400099009509,20.0,6.0,-10.0,0.5218256988337424,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.10383625529055077,0.03192662881972092,0.007229438,0.5218256988337424,0.0,0.001886324984234812,0.009115762984234813,19.8142177736178,0.7093829587641983,0.08515931629555193,-0.11968782859170235,0.02633056608077772,0.24197362473712228,0.026357286139285254
7.0,-10.0,19.993435453169816,-20,0,0.8075660296074779,0.0913088675303878,-0.1206246171718105,0.026257320688111097,0.2248085494307389,0.027149804843158404,0.0260999999999999,-0.01405,0.00715,0.0071,-0.03575,0.0077,True,0.1174088675303877,0.8147160296074779,0.0333573206881111,0.1890585494307389,0.0348498048431584,20.0,7.0,-10.0,0.6521628921759859,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.11181061761602107,0.039900991145191224,0.007229438,0.6521628921759859,0.0,0.001886324984234812,0.009115762984234813,19.812826423445898,0.7930417685120414,0.08966665651145159,-0.1184551556415973,0.025785076726182563,0.22076531587619547,0.026661509348084343
8.0,-10.0,19.991798997474028,-20,0,0.9008625063376392,0.0989562267412724,-0.1158121482650939,0.023998947373928003,0.1568646646117112,0.0258470568518506,0.0244999999999999,-0.01525,0.00775,0.0074,-0.0337499999999999,0.0079,True,0.1234562267412723,0.9086125063376392,0.031398947373928,0.1231146646117113,0.0337470568518506,20.0,8.0,-10.0,0.811553255324933,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.12156252706216408,0.04965290059133425,0.007229438,0.811553255324933,0.0,0.001886324984234812,0.009115762984234813,19.811204750535993,0.8846602866138887,0.09717647620507408,-0.11372924009689964,0.023567320776355552,0.1540434174790452,0.025382191579536785
