AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit
-5.002,-10.0,19.9909685203706,19.847482377069486,-20,0,-0.4543208761533625,-0.4478224613746866,0.1307027036726941,0.1288331871575146,-0.1345097067228815,-0.13258573643684898,0.035095813195752,0.03459381744096319,0.6024148342538853,0.5937981457694065,0.0318797528896869,0.03142375830922006,0.007229438,20.0,-5.0,-10.0,0.2005449569116827,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.10972280380140301,0.012708798527454594
-2.5,-10.0,19.99389090730533,19.85038378843067,-20,0,-0.1843242035181382,-0.18168770761605335,0.1135179345753764,0.11189422177147616,-0.1301029019293947,-0.12824196472614544,0.033942759988336,0.03345725702178776,0.5056973025443848,0.49846402096548237,0.0324054555068747,0.03194194149722018,0.007229438,20.0,-2.5,-10.0,0.03301042309877649,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.09910591934114252,0.002091914067194101
0.002,-10.0,20.00041753590767,19.856863571840588,-20,0,0.0945123901335356,0.09316052464583914,0.1057990006659588,0.1042856962470249,-0.1276651404531032,-0.1258390719649756,0.0331310661957239,0.03265717335588243,0.4123891047612595,0.4064904644090146,0.0333601175701692,0.03288294847577968,0.007229438,20.0,0.0,-10.0,0.008678883352288003,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.09756399756328872,0.0005499922893402989
-0.005,-10.0,20.00815716209881,19.864547646490465,-20,0,0.0938091136293157,0.09246730751302037,0.1054749891853468,0.10396631929039052,-0.1276697254626372,-0.12584359139246112,0.033691896843418,0.0332099821178112,0.4100337040912487,0.40416875439978367,0.033435792199203,0.03295754068673962,0.007229438,20.0,-0.0,-10.0,0.008550202958707474,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.09755584291696087,0.0005418376430124499
0.005,-10.0,20.0044300867185,19.86084732237393,-20,0,0.0947527612485796,0.09339745759352533,0.1059550297075369,0.10443949351479968,-0.1279248359021708,-0.12609505283953704,0.0332003580526752,0.03272547409124789,0.414157528226774,0.40823359308886886,0.0334661797980238,0.03298749363412432,0.007229438,20.0,0.0,-10.0,0.008723085084934362,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.09756679868540825,0.0005527934114598364
2.5,-10.0,19.998112423600706,19.854575004588682,-20,0,0.3723218021107932,0.36699626760807474,0.1049014286244447,0.10340096269857958,-0.1283258402880178,-0.12649032142726407,0.0335445386002947,0.03306473162503602,0.3160813646197774,0.31156026968683,0.0350318162887136,0.03453073591877351,0.007229438,20.0,2.5,-10.0,0.1346862604382576,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.10554925130898038,0.008535246035031956
5.0,-10.0,19.992835656405287,19.849336111644988,-20,0,0.6338624871873667,0.6247959846985043,0.1102135707079022,0.10863712213533627,-0.1273799196598005,-0.12555793084997005,0.0339755570061804,0.03348958492487948,0.2329370364224494,0.22960520299933013,0.0362873315178565,0.035768292786000494,0.007229438,20.0,5.0,-10.0,0.3903700224953736,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.1217522686711,0.024738263397151582
6.0,-10.0,19.99483948656011,19.851325559211972,-20,0,0.7280250402898362,0.7176116762350694,0.1140189770772357,0.1123880975720683,-0.1218798660624063,-0.12013654770655859,0.0333128004746425,0.0328363081840914,0.208955280475111,0.205966472005162,0.0344400099009509,0.03394739448073734,0.007229438,20.0,6.0,-10.0,0.514966517868906,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.12964811298109424,0.03263410770714583
7.0,-10.0,19.993435453169816,19.849931603339236,-20,0,0.8147160296074779,0.8030626740935257,0.1174088675303877,0.11572950045756687,-0.1206246171718105,-0.1188992533682841,0.0333573206881111,0.0328801915991465,0.1890585494307389,0.18635433543542823,0.0348498048431584,0.03435132788840296,0.007229438,20.0,7.0,-10.0,0.6449096585222444,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.13788278125707207,0.04086877598312365
8.0,-10.0,19.991798997474028,19.84830689338334,-20,0,0.9086125063376392,0.8956160951023319,0.1234562267412723,0.12169036078510562,-0.1158121482650939,-0.11415561999325186,0.031398947373928,0.030949830033388446,0.1231146646117113,0.12135368421662508,0.0337470568518506,0.033264353140676974,0.007229438,20.0,8.0,-10.0,0.8021281898063491,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.14784592702568855,0.050831921751740124
9.0,-10.0,19.991447977800103,19.8479583931701,-20,0,0.9814569617877396,0.9674186140914677,0.1314840410582255,0.1296033486216218,-0.111423590913087,-0.10982983472029802,0.0302489086925207,0.029816241021709246,0.079210024354898,0.07807703747292741,0.0328919689093021,0.03242149601650947,0.007229438,20.0,9.0,-10.0,0.9358987748906561,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.15632314550535775,0.059309140231409326
10.0,-10.0,19.99294458794892,19.8494442613272,-20,0,1.046218393695524,1.03125372570827,0.1416285973726602,0.13960280146813975,-0.1045649118911129,-0.10306925935910209,0.0277213040830425,0.027324790205752385,0.0202361300665023,0.019946680970962666,0.0310761920235144,0.030631691239794295,0.007229438,20.0,10.0,-10.0,1.0634842467871877,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.1644084052014034,0.06739439992745498
11.0,-10.0,19.99459564281653,19.851083465668655,-20,0,1.037614287420339,1.0227726889513717,0.1697902766299621,0.16736166790682883,-0.0936783532532841,-0.09233841747842512,0.0230151329700368,0.02268593418548614,-0.0750253356718627,-0.07395220481722732,0.0291701561297121,0.02875291848196286,0.007229438,20.0,11.0,-10.0,1.0460639732648194,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.16330445948320502,0.0662904542092566
12.0,-10.0,19.996463621764704,19.852938037107595,-20,0,1.0654674480487043,1.050227449681866,0.1837891119723055,0.1811602697946958,-0.0891419405841012,-0.08786689174858164,0.0200785883152784,0.019791392630704775,-0.0946214289185778,-0.09326800378594896,0.0282438994674895,0.027839910605562294,0.007229438,20.0,12.0,-10.0,1.1029776960652764,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.16691115719157443,0.06989715191762601
13.0,-10.0,19.99389330178525,19.85038616572409,-20,0,1.1040948042533707,1.088302296425495,0.1990321529218451,0.19618528069591992,-0.0849606325171199,-0.083745391354025,0.0165331204640747,0.016296637660838727,-0.1350487470268775,-0.13311706653499344,0.0268938523810623,0.026509174024988633,0.007229438,20.0,13.0,-10.0,1.1844018884050058,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.17207111569485428,0.07505711042090588
14.0,-10.0,19.994729351427097,19.851216214579203,-20,0,1.1397390388099513,1.1234366908387428,0.2181495572015641,0.21502923766334922,-0.0821300097612051,-0.08095525663578446,0.0116628937530549,0.011496072624849921,-0.184995836717084,-0.18234973405613122,0.025654532079208,0.025287580439619983,0.007229438,20.0,14.0,-10.0,1.2621099983227049,True,0.09701400527394842,0.06337131944460403,0.6984392560586945,0.1769955811518852,0.07998157587793679
-5.002,-10.0,19.9917712616901,19.848279356674343,-15,0,-0.4223592923787513,-0.4163180426551118,0.121794546605466,0.12005244862325504,-0.1371562313623177,-0.13519440630065907,0.0352984258295182,0.03479353198881099,0.4953101903174129,0.4882254816242097,0.0326138960325922,0.032147400577303344,0.007229438,20.0,-5.0,-10.0,0.17332071264018348,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.10151509321853527,0.011439700560952856
-2.5,-10.0,19.99405252836675,19.850544249449104,-15,0,-0.1535903003528562,-0.15139340927858969,0.10620676970862,0.10468763273275948,-0.1322741253590062,-0.13038213188878048,0.0340008556942762,0.03351452175117841,0.407968072975474,0.402132669202928,0.0330477195525403,0.03257501886803715,0.007229438,20.0,-2.5,-10.0,0.022919964372994567,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.09158818085987358,0.0015127882022911573
0.002,-10.0,19.99849442408276,19.854954263243805,-15,0,0.1253936961499779,0.12360011744606039,0.1000153855543355,0.09858480753405131,-0.1300390958126969,-0.12817907126531156,0.0336000412666012,0.033119440404541546,0.3168859006967442,0.31235329801804496,0.0340344564268525,0.03354764187300444,0.007229438,20.0,0.0,-10.0,0.015276989032679923,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.0910837209603262,0.001008328302743783
-0.005,-10.0,20.003650542022203,19.860073372897393,-15,0,0.124902566827723,0.12311601303111992,0.0995826792509227,0.09815829047965724,-0.1296124752706418,-0.12775855292410365,0.033681807008967,0.03320003660410959,0.3140550411349844,0.3095629298811306,0.0339755723427678,0.033489600042098784,0.007229438,20.0,-0.0,-10.0,0.015157552664678891,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.09107583779238161,0.0010004451347991872
0.005,-10.0,20.00339332947076,19.859818006501474,-15,0,0.1259860026276631,0.1241839518209431,0.1001314262841868,0.09869918846609586,-0.130204486510046,-0.1283420962836696,0.0334400474804137,0.032961735102197146,0.3189039160598553,0.3143424485379415,0.0341649496965694,0.033676268621861405,0.007229438,20.0,0.0,-10.0,0.015421653889866318,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.09109326928621696,0.0010178766286345323
2.5,-10.0,19.998761464566197,19.85521938703126,-15,0,0.4005559780090563,0.3948265937262562,0.0998120240074831,0.09838435478525517,-0.129722223054474,-0.12786673092178294,0.0333132636865307,0.032836764770391526,0.2262136341950631,0.2229779694903337,0.0356104621319008,0.035101105055130005,0.007229438,20.0,2.5,-10.0,0.1558880391134782,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.10036448310342246,0.01028909044584003
5.0,-10.0,19.99194546362673,19.84845230826815,-15,0,0.662700529334172,0.6532215396163238,0.1060353826174693,0.10451869709049538,-0.1280442283439037,-0.12621273754198578,0.0336160989756125,0.033135268430835134,0.142197141910485,0.14016321378395832,0.0365974996974356,0.036074024450359087,0.007229438,20.0,5.0,-10.0,0.42669837981872044,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.11823879921536383,0.02816340655778141
6.0,-10.0,19.99340681605485,19.849903171768545,-15,0,0.7546173258954881,0.7438235969689997,0.1102181271438318,0.10864161339792223,-0.1213977444505693,-0.11966132215953376,0.0326421674388748,0.0321752676012781,0.1211808530396008,0.11944753307210879,0.0341651746100056,0.03367649031823038,0.007229438,20.0,6.0,-10.0,0.5532735434079009,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.12659314964386617,0.03651775698628375
7.0,-10.0,19.993831288430016,19.850324597472714,-15,0,0.8467436616490747,0.8346321963534473,0.1140439762102627,0.11241273912800817,-0.1189928557589402,-0.11729083198453694,0.0319935386068691,0.03153591648334855,0.0887205332943144,0.0874515120914737,0.0342847930189134,0.03379439775571457,0.007229438,20.0,7.0,-10.0,0.6966109031897795,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.13605385661953143,0.045978463961949004
8.0,-10.0,19.99277821480787,19.849279082337414,-15,0,0.9336422613257742,0.9202878349996819,0.1203542711032139,0.118632774216177,-0.1161146360907025,-0.1144537811601937,0.0314827517912455,0.031032435747558897,0.0415955860729764,0.041000620299990284,0.033759851931935,0.03327696520531595,0.007229438,20.0,8.0,-10.0,0.8469296992484018,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.1459753598801573,0.05589996722257488
9.0,-10.0,19.993557475775788,19.850052750122053,-15,0,1.0072995870518195,0.9928915973101331,0.1289605010276064,0.1271159042464971,-0.1121322526628924,-0.11052836007041382,0.0307191098668582,0.03027971663616023,-0.0035205764045659,-0.0034702195600145487,0.0332783588109742,0.032802359159498105,0.007229438,20.0,9.0,-10.0,0.9858337240090675,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.15514345309745226,0.06506806043986985
10.0,-10.0,19.993283386489303,19.849780628124677,-15,0,1.0501782623551656,1.035156954071658,0.1460409158515868,0.14395200799884494,-0.102928933257929,-0.10145668107638742,0.0273064956204276,0.026915914988967175,-0.0901961921675709,-0.08890606376069536,0.0313021652066962,0.030854432197581553,0.007229438,20.0,10.0,-10.0,1.0715499195629128,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.16080098586098146,0.07072559320339905
11.0,-10.0,19.99606472825982,19.85254200668013,-15,0,1.0582864952249946,1.043149210187884,0.1695540953839454,0.16712886489804513,-0.0942956399210054,-0.09294687473720938,0.0233992635062241,0.023064570280003856,-0.1656297252342833,-0.1632606272888762,0.0297423470439682,0.02931692501797751,0.007229438,20.0,11.0,-10.0,1.0881602747156063,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.16189732043209748,0.07182192777451504
12.0,-10.0,19.995032660738374,19.85151734687323,-15,0,1.1096537471659285,1.0937817265560679,0.1820101150571915,0.17940671890341914,-0.0895471429825546,-0.08826629830230795,0.0202196728961284,0.01993045919703385,-0.2021538757063138,-0.1992623516703083,0.0285083002119058,0.028100529472906255,0.007229438,20.0,12.0,-10.0,1.1963584653479729,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.169038734076298,0.07896334141871558
13.0,-10.0,19.99433030435617,19.850820031687924,-15,0,1.1444863859160688,1.1281161338880292,0.2004129445501307,0.19754632206135278,-0.0845947755422537,-0.08338476744349096,0.0161909537064094,0.015959365112600054,-0.2588535479377711,-0.25515101563136733,0.0269205891873093,0.026535528399201428,0.007229438,20.0,13.0,-10.0,1.272646011538474,True,0.09007539265758242,0.06600307826279167,0.7484320363944947,0.174073946957986,0.08399855430040357
