AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
-5.002,-10.0,19.9909685203706,19.847482377069486,-20,0,-0.4543208761533625,-0.4478224613746866,0.1307027036726941,0.1288331871575146,-0.1345097067228815,-0.13258573643684898,0.035095813195752,0.03459381744096319,0.6024148342538853,0.5937981457694065,0.0318797528896869,0.03142375830922006,0.007229438,20.0,-5.0,-10.0,0.005051366940850094,1.0101027338817004,19.947487347245133,-0.4433434801762788,0.1275446376255458,-0.13125965507225026,0.034247820821178665,0.5878591611048446,0.03110946763648726
-2.5,-10.0,19.99389090730533,19.85038378843067,-20,0,-0.1843242035181382,-0.18168770761605335,0.1135179345753764,0.11189422177147616,-0.1301029019293947,-0.12824196472614544,0.033942759988336,0.03345725702178776,0.5056973025443848,0.49846402096548237,0.0324054555068747,0.03194194149722018,0.007229438,20.0,-2.5,-10.0,0.004222166471599509,1.0084443329431991,19.93401922311672,-0.18016632319781895,0.11095726171112177,-0.1271681148248058,0.033177098555495825,0.49429007103514405,0.031674471712281736
0.002,-10.0,20.00041753590767,19.856863571840588,-20,0,0.0945123901335356,0.09316052464583914,0.1057990006659588,0.1042856962470249,-0.1276651404531032,-0.1258390719649756,0.0331310661957239,0.03265717335588243,0.4123891047612595,0.4064904644090146,0.0333601175701692,0.03288294847577968,0.007229438,20.0,0.0,-10.0,0.003426474241067523,1.0068529484821351,19.92478643409466,0.09252644568035658,0.10357589596796545,-0.12498257283219188,0.03243489866629901,0.4037237662379722,0.03265913709181846
-0.005,-10.0,20.00815716209881,19.864547646490465,-20,0,0.0938091136293157,0.09246730751302037,0.1054749891853468,0.10396631929039052,-0.1276697254626372,-0.12584359139246112,0.033691896843418,0.0332099821178112,0.4100337040912487,0.40416875439978367,0.033435792199203,0.03295754068673962,0.007229438,20.0,-0.0,-10.0,0.003385654503266449,1.0067713090065329,19.93168867527689,0.0918453939696253,0.10326706607579328,-0.12499719674832781,0.03298661952393371,0.4014504096254108,0.032735875955048455
0.005,-10.0,20.0044300867185,19.86084732237393,-20,0,0.0947527612485796,0.09339745759352533,0.1059550297075369,0.10443949351479968,-0.1279248359021708,-0.12609505283953704,0.0332003580526752,0.03272547409124789,0.414157528226774,0.40823359308886886,0.0334661797980238,0.03298749363412432,0.007229438,20.0,0.0,-10.0,0.0034462788079976676,1.0068925576159955,19.92917580229911,0.09275811692824615,0.10372456596767336,-0.12523188485779496,0.032501455933621665,0.40543908086423586,0.032761681854346324
2.5,-10.0,19.998112423600706,19.854575004588682,-20,0,0.3723218021107932,0.36699626760807474,0.1049014286244447,0.10340096269857958,-0.1283258402880178,-0.12649032142726407,0.0335445386002947,0.03306473162503602,0.3160813646197774,0.31156026968683,0.0350318162887136,0.03453073591877351,0.007229438,20.0,2.5,-10.0,0.0025448601383456036,1.0050897202766913,19.905037991955407,0.36513781825073716,0.10287734578572182,-0.12584978124385007,0.0328972936027379,0.309982545240897,0.034355874129592665
5.0,-10.0,19.992835656405287,19.849336111644988,-20,0,0.6338624871873667,0.6247959846985043,0.1102135707079022,0.10863712213533627,-0.1273799196598005,-0.12555793084997005,0.0339755570061804,0.03348958492487948,0.2329370364224494,0.22960520299933013,0.0362873315178565,0.035768292786000494,0.007229438,20.0,5.0,-10.0,0.0025448601383456036,1.0050897202766913,19.899785783683214,0.6216320514416406,0.10808698959275949,-0.12492211224228339,0.033319995468325085,0.22844249460249388,0.03558716407541591
6.0,-10.0,19.99483948656011,19.851325559211972,-20,0,0.7280250402898362,0.7176116762350694,0.1140189770772357,0.1123880975720683,-0.1218798660624063,-0.12013654770655859,0.0333128004746425,0.0328363081840914,0.208955280475111,0.205966472005162,0.0344400099009509,0.03394739448073734,0.007229438,20.0,6.0,-10.0,0.0025448601383456036,1.0050897202766913,19.901780287690208,0.7139777293090989,0.11181897029165612,-0.1195281826914777,0.032670026885810645,0.204923468870482,0.03377548670121903
7.0,-10.0,19.993435453169816,19.849931603339236,-20,0,0.8147160296074779,0.8030626740935257,0.1174088675303877,0.11572950045756687,-0.1206246171718105,-0.1188992533682841,0.0333573206881111,0.0328801915991465,0.1890585494307389,0.18635433543542823,0.0348498048431584,0.03435132788840296,0.007229438,20.0,7.0,-10.0,0.0025448601383456036,1.0050897202766913,19.900382788897133,0.7989960079110654,0.11514345249268661,-0.11829715394517447,0.03271368807761252,0.18541064710534172,0.03417737461183702
8.0,-10.0,19.991798997474028,19.84830689338334,-20,0,0.9086125063376392,0.8956160951023319,0.1234562267412723,0.12169036078510562,-0.1158121482650939,-0.11415561999325186,0.031398947373928,0.030949830033388446,0.1231146646117113,0.12135368421662508,0.0337470568518506,0.033264353140676974,0.007229438,20.0,8.0,-10.0,0.0025448601383456036,1.0050897202766913,19.898753949529354,0.891080743374609,0.12107412734417924,-0.11357754207437913,0.03079310175898353,0.12073915568773065,0.033095904245761885
9.0,-10.0,19.991447977800103,19.8479583931701,-20,0,0.9814569617877396,0.9674186140914677,0.1314840410582255,0.1296033486216218,-0.111423590913087,-0.10982983472029802,0.0302489086925207,0.029816241021709246,0.079210024354898,0.07807703747292741,0.0328919689093021,0.03242149601650947,0.007229438,20.0,9.0,-10.0,0.0025448601383456036,1.0050897202766913,19.898404563557445,0.9625196582700566,0.12894704423595463,-0.10927366234535056,0.02966525318108032,0.07768165955516247,0.03225731530473135
10.0,-10.0,19.99294458794892,19.8494442613272,-20,0,1.046218393695524,1.03125372570827,0.1416285973726602,0.13960280146813975,-0.1045649118911129,-0.10306925935910209,0.0277213040830425,0.027324790205752385,0.0202361300665023,0.019946680970962666,0.0310761920235144,0.030631691239794295,0.007229438,20.0,10.0,-10.0,0.0025448601383456036,1.0050897202766913,19.899894208241925,1.0260315123155135,0.1388958603911584,-0.10254732217411212,0.027186418938032857,0.01984567205151749,0.0304765740031265
11.0,-10.0,19.99459564281653,19.851083465668655,-20,0,1.037614287420339,1.0227726889513717,0.1697902766299621,0.16736166790682883,-0.0936783532532841,-0.09233841747842512,0.0230151329700368,0.02268593418548614,-0.0750253356718627,-0.07395220481722732,0.0291701561297121,0.02875291848196286,0.007229438,20.0,11.0,-10.0,0.003077001243183219,1.0061540024863664,19.912071587822638,1.0165170405563542,0.16633802329787642,-0.09177364225580002,0.022547178791144887,-0.07349988633398036,0.028577055213128238
12.0,-10.0,19.996463621764704,19.852938037107595,-20,0,1.0654674480487043,1.050227449681866,0.1837891119723055,0.1811602697946958,-0.0891419405841012,-0.08786689174858164,0.0200785883152784,0.019791392630704775,-0.0946214289185778,-0.09326800378594896,0.0282438994674895,0.027839910605562294,0.007229438,20.0,12.0,-10.0,0.00441376548701587,1.0088275309740318,19.940371717912072,1.0410376575150186,0.1795750653432148,-0.08709803118055809,0.019618212254374157,-0.09245188193456406,0.027596303382682884
13.0,-10.0,19.99389330178525,19.85038616572409,-20,0,1.1040948042533707,1.088302296425495,0.1990321529218451,0.19618528069591992,-0.0849606325171199,-0.083745391354025,0.0165331204640747,0.016296637660838727,-0.1350487470268775,-0.13311706653499344,0.0268938523810623,0.026509174024988633,0.007229438,20.0,13.0,-10.0,0.005707660040659284,1.0114153200813187,19.963363917250177,1.0760191929246181,0.19397103919698036,-0.0828002005618145,0.016112705964873523,-0.13161464325485075,0.026209978728478495
14.0,-10.0,19.994729351427097,19.851216214579203,-20,0,1.1397390388099513,1.1234366908387428,0.2181495572015641,0.21502923766334922,-0.0821300097612051,-0.08095525663578446,0.0116628937530549,0.011496072624849921,-0.184995836717084,-0.18234973405613122,0.025654532079208,0.025287580439619983,0.007229438,20.0,14.0,-10.0,0.007533332477892695,1.0150666649557856,20.00020294115571,1.106761486338119,0.21183755223871478,-0.07975363533321303,0.011325436074044131,-0.1796431114837901,0.024912236124630754
-5.002,-10.0,19.9917712616901,19.848279356674343,-15,0,-0.4223592923787513,-0.4163180426551118,0.121794546605466,0.12005244862325504,-0.1371562313623177,-0.13519440630065907,0.0352984258295182,0.03479353198881099,0.4953101903174129,0.4882254816242097,0.0326138960325922,0.032147400577303344,0.007229438,20.0,-5.0,-10.0,0.004794196045259972,1.00958839209052,19.943208886555997,-0.41236413365753577,0.11891227114316019,-0.13391042068215211,0.03446308640372263,0.48358864409411245,0.03184208617012407
