run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CY_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,CMpitch25c_uncorrected,CT_off,CD_off,CT_prop,Tc_star,dCD_net_pre_corr,dCD_from_dCT_pre_corr,matched_fit_velocity,velocity_match_error,fit_found,fit_match_type,matched_fit_AoS,matched_fit_dR,matched_fit_source_row,CD0_fit,k_fit,esb,CL2_fit,CDi_fit,CDsep_fit,ewb,ess,e_total_blockage,V_blockage_corr,CL_blockage_corr,CD_blockage_corr,CYaw_blockage_corr,CMroll_blockage_corr,CMpitch_blockage_corr,CMyaw_blockage_corr,CL_alpha_per_deg_tailoff,CL_alpha_per_rad_tailoff,delta_alpha_sc_rad,delta_alpha_sc_deg,AoA_streamline_curvature_corr,delta_CL_sc,delta_CMpitch_sc,CL_blockage_corr_sc_corr,CMpitch_blockage_corr_sc_corr,streamline_curvature_data_found,delta_alpha_dw_deg,delta_alpha_dw_rad,delta_CD_dw,AoA_downwash_corr,CD_blockage_corr_dw_corr,downwash_data_found,CLw_tailoff,delta_alpha_tail_rad,delta_alpha_tail_deg,delta_CMpitch_tail,AoA_tail_corr,CMpitch_blockage_corr_sc_corr_tail_corr,tail_correction_data_found
4.0,17.0,20.0,16.0,2.496,0.0,413.22,101106.0,290.81,788.1,1844.2,1294.7,283.5,422.4,-1323.6,0.0,1.2111837665772662,968.376508682172,39.98822250188802,443397.0123409999,98.44,98.43,6.44,7.87,0.0,21.129,21.653,28.525,28.589,101106.0,1.4878860687823469e-05,1.9991104588813853,1.9993135585927413,7.352540167190499,13.14918597295706,107.13484671210308,-2.542902906018317,-2.537051679296379,8.644608059925003,0.0349618126538645,0.0625252451647622,0.5094332508597899,-0.0086579981384831,-0.0731232540013728,0.0294328974628212,0.5104725077494743,0.0127430081841154,-0.061044888021905094,0.496628535097516,0.026911812653864498,-0.0625252451647622,0.0081079636878203,-0.07608984467534341,-0.07608984467534341,0.0263892008170431,800.3666666666667,1849.4333333333332,1299.8666666666668,285.2333333333333,401.5,-1326.6999999999998,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,0.0,1.9991104588813853,2.0,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0349618126538645,-0.0625252451647622,0.5094332508597899,0.007674630354487,-0.0829773446753433,0.0297392008170431,-0.0829773446753433,0.039386221383069374,0.061365674098088775,0.026643213198953974,0.17844695119756043,0.03445386144422428,0.02661793583289331,40.0,0.0,True,exact_AoS_exact_dR,0.0,-20.0,328.0,0.04019709559015745,0.06095841114194795,0.007229438,0.24663990187310467,0.015034776542390414,0.0,0.0010544455509881884,-0.0011999775868850465,0.007083905964103142,39.706942256818635,0.489666460470984,0.0265345446662434,-0.06164872399830565,0.007994300770217845,-0.0750231657805293,0.026019259155542082,0.08495316197178375,4.867457637274492,0.00025217766135683385,0.014448715683225893,2.510448715683226,-0.0012274640837213414,0.00030686602093033536,0.4884389963872627,-0.07471629975959897,True,0.32110622212770173,0.005604360824768667,0.0028102769086716514,2.8315549378109277,0.029344821574915053,True,0.5014816150240948,0.008152718308879524,0.4671163506578306,-0.0012780201220999542,3.2986712884687583,-0.07599431988169893,True
1.0,17.0,17.0,7.0,2.496,4.0,413.81,101101.0,290.5,809.5,-428.2,696.7,860.7,460.6,-25.3,0.0,1.2124162911880931,969.769728920426,39.99663253237486,444308.8042373147,98.44,98.42,6.9,6.8,0.0,20.503,20.594,28.612,28.743,101101.0,1.4851449705370646e-05,1.9995308971718089,1.9999372233041337,7.603355027514802,-7.216187417281273,106.82648115503552,-5.022943558004886,-2.312526063937661,0.1588977406771972,0.0361025125137948,-0.0342641499169136,0.5072371813163812,-0.0170773952470912,-0.066556190140589,0.0005402329311643,0.5083281987643795,0.0139782638606351,0.028144507059770802,0.4982324655541073,0.0309547148818611,0.0316623002035607,-0.020599676921507,-0.072744290456031,-0.072744290456031,0.006525507405891,827.2,-431.7,703.5,860.6,438.8,-26.9,-17.7,3.5,-6.8,0.1,21.8,1.6,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,4.0,1.9995308971718089,2.0,0.00745,0.0061196428571428,0.0090047157622739,-0.0061333333333333,-0.0039875,-0.00715,True,0.0384047148818611,0.0342641499169136,0.5072371813163812,-0.0267330102548403,-0.076731790456031,-0.000624492594109,-0.076731790456031,0.03764120995407842,0.06711414858171212,0.02366294609344332,0.15848616137985055,0.03615943369985102,0.02358290915240971,40.0,0.0,True,exact_AoS_exact_dR,4.0,-20.0,346.0,0.0441704734172974,0.05868081153313677,0.007229438,0.2482355897321247,0.014566665856887871,0.0,0.0011586747374682362,-0.0010817825462658597,0.0073063301912023775,39.70652356049711,0.4910309841038681,0.030507293606791747,0.031204651448507655,-0.020301927976009906,-0.07169284019024531,0.006431187336875307,0.08379019089720198,4.800824303005162,0.0002540541553094911,0.014556230866994976,2.510556230866995,-0.0012196693630892527,0.0003049173407723132,0.4898113147407788,-0.071387922849473,True,0.3234956244274186,0.0056460637620534505,0.0028522559479743363,2.8340518552944136,0.03335954955476608,True,0.505213219214959,0.008213383978162113,0.47059223746905937,-0.001287530072416693,3.304644092763473,-0.07267545292188969,True
2.0,17.0,18.0,4.0,2.496,8.0,413.45,101104.0,290.63,508.3,-2894.0,101.3,1653.4,181.6,1226.0,0.0,1.211909932667162,968.9196246045556,39.98744921210356,443867.2703991036,98.42,98.43,7.98,6.06,0.0,20.618,20.945,28.89,28.665,101104.0,1.4862809760720225e-05,1.9994780330453228,1.999274895990253,4.792262915720875,-31.173048377339043,112.0740194845113,-7.826694062111748,-3.01456195211257,-8.001160292735243,0.0227747524649654,-0.1481468093170123,0.5326206212810651,-0.0266331516102841,-0.0868374181123607,-0.0272268359339839,0.5331071373955024,-0.0004422913531882,0.08982716645986949,0.5234159055187912,0.040321160989536704,0.1435354218284363,-0.0473048344472705,-0.1144690496971241,-0.1144690496971241,-0.009574847937301002,521.1,-2897.3,110.3,1651.4,156.0,1220.2,-12.8,3.3,-9.0,2.0,25.6,5.8,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,8.0,1.9994780330453228,2.0,0.00285,0.0583196428571428,0.0092047157622739,-0.0198333333333333,0.0212125,-0.02055,True,0.0431711609895367,0.1481468093170123,0.5326206212810651,-0.0671381677806038,-0.0932565496971241,-0.030124847937301,-0.0932565496971241,0.02362584847567535,0.07613668134237066,0.02406813982886355,0.1612000077237641,0.03581552035283395,0.02381129826622396,40.0,0.0,True,exact_AoS_exact_dR,8.0,-20.0,371.0,0.05594063441392008,0.0527568252102957,0.007229438,0.27396421015005623,0.014453481948763235,0.0,0.001467428236075295,-0.001098046123153708,0.007598820112921588,39.68588332370434,0.5155509782540209,0.03971528907187023,0.14137863667785922,-0.04659402478658389,-0.11274902028945272,-0.009430974811161534,0.08577037217243956,4.914280332747109,0.0002613901896294061,0.01497655467188923,2.510976554671889,-0.0012845446680688278,0.00032113616701720695,0.514266433585952,-0.11242788412243551,True,0.33283684146144377,0.005809098755440569,0.0030193569379592467,2.843813396133333,0.04273464600982948,True,0.5198016895768025,0.008450552571893777,0.4841809969229366,-0.0013247086211700687,3.3279943930562697,-0.11375259274360558,True
3.0,17.0,18.0,49.0,2.496,10.0,413.27,101103.0,290.71,330.1,-3931.4,-197.7,2031.0,31.8,1709.0,0.0,1.211564445727421,968.4945769444824,39.98437706931307,443611.97787620977,98.43,98.43,7.14,7.02,0.0,20.79,21.22,28.855,28.611,101103.0,1.4870220568739444e-05,1.999121296346392,1.999121296346392,3.065151877192533,-41.8584898958199,113.32130386928944,-8.123402393455388,-3.16332361165506,-11.18160035468108,0.014573222189432,-0.1990156110386959,0.5387845712871872,-0.0276549405316352,-0.0911626352509436,-0.0380661301607249,0.5389080657471974,-0.0089044783516518,0.1370959681815531,0.5297798555249134,0.0426605203826623,0.1934615032454396,-0.06307752683451259,-0.1122826411828681,-0.1122826411828681,-0.021451558946504096,333.1,-3942.1,-187.5,2029.8,4.100000000000001,1705.3,-3.0,10.7,-10.2,1.2,27.7,3.7,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,10.0,1.999121296346392,2.0,0.00625,0.0619196428571428,0.0090047157622739,-0.0189333333333333,0.0170125,-0.0201499999999999,True,0.0489105203826623,0.1990156110386959,0.5387845712871873,-0.0820108601678459,-0.0952701411828681,-0.041601558946504,-0.0952701411828681,0.02171194951914673,0.08593994956374244,0.030616427870798532,0.20505815756181056,0.043279429181080145,0.030122689927881165,40.0,0.0,True,exact_AoS_exact_dR,10.0,-20.0,389.0,0.05903268874274865,0.05113703453127525,0.007229438,0.28066669531999805,0.01435246249035765,0.0,0.0015485386467300733,-0.0013526534037504713,0.007425323242979603,39.689668451652864,0.5219990515053106,0.04203397117545834,0.19062016070213159,-0.062151115856023634,-0.11063356144392324,-0.021136502844734565,0.0863014362817341,4.94470806486056,0.0002643975229934394,0.015148862181237217,2.511148862181237,-0.0013073685642748152,0.0003268421410687038,0.5206916829410357,-0.11030671930285453,True,0.3366661792783128,0.005875933308516066,0.003089232915143319,2.84781504145955,0.04512320409060166,True,0.5257820860330027,0.008547777447586336,0.48975157196380426,-0.001339949592683634,3.337566613423354,-0.11164666889553816,True
1.0,12.0,48.0,53.0,-4.996,0.0,414.34,101170.0,290.45,-619.2,925.6,-346.6,-912.5,45.0,-701.9,0.0,1.2134526039979827,971.0212932130448,40.00533998428826,444844.7576862209,123.02,123.03,17.46,17.61,0.0,19.691,20.772,34.09,33.511,101170.0,1.48367858629074e-05,1.6003631373030802,1.6002330582055182,-5.863858106526021,6.0197828451074695,-75.94717092998704,-2.828415237606084,6.252893085297141,4.53287020069566,-0.0278070860169263,0.0285464989664102,-0.3601501735592838,-0.0096038721582797,0.1797308758151738,0.0153913418859964,-0.3563602706027733,-0.0590655490404786,-0.0323964989664102,-0.3838001735592838,-0.0337070860169263,-0.0285464989664102,0.0013883357312066999,0.18611838554908058,0.18611838554908058,0.0126512998322206,-638.1,914.8,-337.0,-902.8,7.600000000000001,-695.6999999999999,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,-5.0,0.0,1.6003631373030802,1.6,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,-0.0278070860169263,-0.0285464989664102,-0.3601501735592838,-0.0002116642687932,0.1875683855490806,0.0153512998322205,0.1875683855490806,0.03135325211501952,0.0611259415776579,0.09041880115549812,0.6055936000155777,0.0948330275945842,0.09007528026333952,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007229438,0.14730257322413637,0.009036898736491434,0.0,0.0009889203814551597,-0.00319010860432385,0.005028249777131309,39.80518954881079,-0.37996940453310546,-0.03337065036636653,-0.02826157193515792,0.0013744785370639208,0.18426070909221048,0.012525025247483654,0.08495316197178375,4.867457637274492,-0.00010047634064900437,-0.005756870260106705,-5.001756870260107,0.0004890643316573898,-0.00012226608291434745,-0.37948034020144805,0.18413844300929613,True,-0.1279398737597322,-0.0022329720416932237,0.00044613213689464456,-5.1296967440198395,-0.032924518229471886,True,-0.19980769632515413,-0.0032483261903965446,-0.1861153811915311,0.0005092076136065624,-5.31581212521137,0.1846476506229027,True
8.0,12.0,53.0,8.0,-4.995,0.0,413.7,101161.0,290.67999999999995,1533.2,1283.8,-582.9,-1291.7,1682.5,-929.6,0.0,1.2123845995887763,969.5099735513668,39.991798252437086,444030.19039940194,82.02,82.03,1.03,0.87,0.0,23.786,23.813,31.732,30.434,101161.0,1.485897230570449e-05,2.39953707351704,2.399244554063971,13.93759241652099,8.934983625828313,-73.44884085980564,-2.124256591667887,6.653740646990737,6.014379200644172,0.0661966878525451,0.0424367641390819,-0.3488457580209146,-0.0072241482378736,0.1915508258418861,0.0204536340264445,-0.3532846132175095,0.0355717083591513,-0.0462867641390819,-0.3724957580209146,0.06029668785254509,-0.0424367641390819,0.008099664366782,0.1714430928783923,0.1714430928783923,0.0171100392329712,1514.3,1273.0,-573.3,-1282.0,1645.1,-923.4,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,-5.0,0.0,2.39953707351704,2.4,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.0661966878525451,-0.0424367641390819,-0.3488457580209146,0.0064996643667821,0.1728930928783923,0.0198100392329711,0.1728930928783923,0.03135325211501952,0.0611259415776579,-0.00421845624413178,-0.02825374889674275,0.0008292537251128052,-0.0042024358131566315,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007229438,0.13875308974357578,0.008512394549143858,0.01408511854074598,0.002836316363973292,0.00022784725560940142,0.010293601619582694,39.58433289919582,-0.36494391466597215,0.05907425475987423,-0.04157641663614203,0.007935454720877488,0.16796731804384565,0.016763156528129593,0.08495316197178375,4.867457637274492,-0.00010047634064900437,-0.005756870260106705,-5.000756870260107,0.0004890643316573898,-0.00012226608291434745,-0.36445485033431474,0.1678450519609313,True,-0.1279398737597322,-0.0022329720416932237,0.00044613213689464456,-5.128696744019839,0.059520386896768876,True,-0.19980769632515413,-0.0032483261903965446,-0.1861153811915311,0.0005092076136065624,-5.31481212521137,0.16835425957453787,True
14.0,12.0,58.0,17.0,2.496,0.0,103.96,101160.0,290.57,268.1,288.8,271.3,103.3,158.7,-204.0,0.0,1.2128315782593753,242.52716310066285,19.99838583806929,222189.75821228168,49.21,49.21,0.66,0.72,0.0,22.505,22.863,33.762,32.572,101160.0,1.4849138116813831e-05,1.999944180859678,1.999944180859678,2.5767467469310907,2.137724556013921,26.801435904178973,-0.5173985545754108,-0.9250226123674568,1.3495768238307124,0.0489228930172394,0.0405874849279441,0.5088601675776615,-0.0070339095593826,-0.1064541027068845,0.0183471740272914,0.5105079682031981,0.0267158007438398,-0.039107127785086994,0.49605545181538774,0.0408728930172394,-0.0405874849279441,0.0040359341099927,-0.11335566532207911,-0.11335566532207911,0.015136659378122698,280.3666666666667,294.03333333333336,276.4666666666667,105.03333333333332,137.79999999999998,-207.1,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,20.0,2.5,0.0,1.999944180859678,2.0,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0489228930172394,-0.0405874849279441,0.5088601675776616,0.0036026007766594,-0.120243165322079,0.0184866593781227,-0.120243165322079,0.047580845359863164,0.06912148928129735,0.020865044616023364,0.13974679294600326,0.028248596264057957,0.020845249204460466,20.0,0.0,True,exact_AoS_flipped_dR,0.0,10.0,67.0,0.04373272517726485,0.06222869757779773,0.007229438,0.24607101127576847,0.015312678543342652,0.0,0.0011471917763891215,-0.0009677423367203861,0.007408887439668735,19.851309718832457,0.4887859021071461,0.040273912547573995,-0.03999268703158713,0.003976788658563011,-0.11169447071015831,0.014914835996556606,0.0902710426982978,5.172149758857711,0.0002557716313040428,0.014654634992897821,2.510654634992898,-0.0013228891811718484,0.0003307222952929621,0.48746301292597427,-0.11136374841486535,True,0.3256825438604811,0.005684232706636239,0.0028909503698869906,2.836337178853379,0.04316486291746099,True,0.508628599589568,0.008268908713820716,0.47377357048087687,-0.0012962341299785356,3.310110749334256,-0.11265998254484388,True
2.0,12.0,49.0,35.0,2.496,0.0,413.86,101166.0,290.54,-771.0,962.8,1381.8,789.4,-903.6,-719.9,0.0,1.213028753275484,969.8877999129204,39.98896818151591,444400.6220198101,123.03,123.03,17.58,17.93,0.0,21.089,22.581,34.074,33.579,101166.0,1.4845535922040316e-05,1.5995781781312823,1.5995781781312823,-6.990728382745571,6.523632102842962,110.93256468921332,-2.7001902292649187,-4.624381133196843,4.712499290059566,-0.0331895766717983,0.0309719640074008,0.5266697058691712,-0.0091791997468383,-0.1330768662458155,0.0160199721565789,0.5247246414124537,-0.0560943649090021,-0.0294916068645437,0.5138649901068972,-0.041239576671798304,-0.0309719640074008,-0.0007135638442168002,-0.11683478554393521,-0.11683478554393521,0.012604826478147499,-758.7333333333333,968.0333333333332,1386.9666666666667,791.1333333333333,-924.5,-723.0,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,1.5995781781312823,1.6,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,-0.0331895766717983,-0.0309719640074008,0.5266697058691712,-0.0011468971775501,-0.1237222855439351,0.0159548264781475,-0.1237222855439351,0.039386221383069374,0.061365674098088775,0.09548058629207147,0.6394956717549618,0.10260525076988708,0.09539000045644537,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007229438,0.2640572280575616,0.01619970634840075,0.0,0.0009889203814551597,-0.0033182050436443822,0.004900153337810777,39.79397161866396,0.508865731253006,-0.04083836755505283,-0.03067064582408929,-0.0007066217671446195,-0.11569813029923467,0.012482197399331423,0.08495316197178375,4.867457637274492,0.00025217766135683385,0.014448715683225893,2.510448715683226,-0.0012274640837213414,0.00030686602093033536,0.5076382671692847,-0.11539126427830435,True,0.32110622212770173,0.005604360824768667,0.0028102769086716514,2.8315549378109277,-0.03802809064638118,True,0.5014816150240948,0.008152718308879524,0.4671163506578306,-0.0012780201220999542,3.2986712884687583,-0.1166692844004043,True
6.0,12.0,51.0,49.0,2.5,0.0,413.69,101165.0,290.56,1463.3,1116.6,1019.6,387.3,894.7,-788.7,0.0,1.2129332677003728,969.4863594824362,39.98226519445301,444267.4437195616,82.02,82.02,0.56,1.3,0.0,24.587,25.399,31.31,30.092,101165.0,1.4847497008520386e-05,2.398965083082591,2.398965083082591,13.564576907358653,8.13735951383032,108.25829926690729,-1.7090309731480768,-2.950725960654127,5.158883014585127,0.064426617431768,0.0386493844874657,0.5141860360494673,-0.0058121951293063,-0.084948871870768,0.0175446994239085,0.51650689445984,0.0419368176834542,-0.0371690273446086,0.5013813202871935,0.056376617431768,-0.0386493844874657,0.0047444566820065,-0.0962202052320491,-0.0962202052320491,0.0143660493169695,1475.5666666666666,1121.8333333333333,1024.7666666666669,389.03333333333336,873.8000000000001,-791.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,2.398965083082591,2.4,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.064426617431768,-0.0386493844874657,0.5141860360494674,0.0043111233486732,-0.103107705232049,0.0177160493169695,-0.103107705232049,0.039386221383069374,0.061365674098088775,-0.0025505963003848234,-0.017083004596356945,0.004989056666320775,-0.0025481686978727235,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007229438,0.2513832283329293,0.015422166285176281,0.0032552763839364656,0.0014158805448555222,0.00013616013158114528,0.008781478676436668,39.6342181528862,0.4926902293061847,0.05539936859644968,-0.037979424711644484,0.004662214877195834,-0.09455229595013954,0.014117024001108265,0.08495316197178375,4.867457637274492,0.00025217766135683385,0.014448715683225893,2.514448715683226,-0.0012274640837213414,0.00030686602093033536,0.4914627652224634,-0.09424542992920922,True,0.32110622212770173,0.005604360824768667,0.0028102769086716514,2.8355549378109277,0.05820964550512133,True,0.5014816150240948,0.008152718308879524,0.4671163506578306,-0.0012780201220999542,3.3026712884687583,-0.09552345005130917,True
9.0,12.0,53.0,59.0,2.496,0.0,413.54,101159.0,290.77,1865.9,1091.5,919.7,346.8,1221.5,-810.7,0.0,1.211985376693565,969.1321495590578,39.99058970785869,443764.0522338207,70.31,70.3,-1.01,-1.26,0.0,23.067,22.935,28.808,27.539,101159.0,1.4867434357483653e-05,2.7990909288574315,2.7994890925741966,17.268846134261,7.467939246343539,107.68374833889236,-1.4638838402521142,-2.612897888347991,5.299999175943435,0.0820504751084512,0.0354828549909804,0.5116440695557287,-0.0049803007687443,-0.075250584589141,0.0180312052394468,0.514731923286115,0.0596907155866557,-0.0340024978481233,0.49883935379345484,0.0740004751084512,-0.0354828549909804,0.0046639647942947,-0.0914892545496585,-0.0914892545496585,0.014848340871676599,1878.1666666666667,1096.7333333333331,924.8666666666668,348.53333333333336,1200.6,-813.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,2.7990909288574315,2.8,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0820504751084512,-0.0354828549909804,0.5116440695557287,0.0042306314609614,-0.0983767545496584,0.0181983408716766,-0.0983767545496584,0.039386221383069374,0.061365674098088775,-0.020304494203586328,-0.13599242175417378,-0.012634801010362427,-0.02028523060618056,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007229438,0.24884070089307161,0.015266184196704658,0.02103511614909129,0.0037478740212997423,0.0012484795837079288,0.012225791605007672,39.50757828888031,0.4868620349746643,0.07222369611863061,-0.034630898416993156,0.004551981261167095,-0.08929256344679805,0.014491826672871456,0.08495316197178375,4.867457637274492,0.00025217766135683385,0.014448715683225893,2.510448715683226,-0.0012274640837213414,0.00030686602093033536,0.485634570890943,-0.08898569742586772,True,0.32110622212770173,0.005604360824768667,0.0028102769086716514,2.8315549378109277,0.07503397302730226,True,0.5014816150240948,0.008152718308879524,0.4671163506578306,-0.0012780201220999542,3.2986712884687583,-0.09026371754796768,True
