AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,solid_blockage_e,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit
-5.002,-10.0,19.9909685203706,19.847482377069486,-20,0,-0.47817087615336246,-0.47133132100318603,0.1047027036726942,0.10320508022497864,-0.1345097067228815,-0.13258573643684898,0.030195813195752,0.02976390498060062,0.6346648342538852,0.625586855329956,0.025079752889686897,0.024721022649941398,0.0259999999999999,-0.00575,0.02385,0.0049,-0.0322499999999999,0.0068,True,0.1307027036726941,-0.4543208761533625,0.035095813195752,0.6024148342538853,0.0318797528896869,0.007229438,20.0,-5.0,-10.0,0.2221532141586084,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.08467019634436986,0.013789134933863929
-2.5,-10.0,19.99389090730533,19.85038378843067,-20,0,-0.2035073979625826,-0.2005965137133554,0.0863179345753765,0.0850832791343616,-0.1301029019293947,-0.12824196472614544,0.0283686528454789,0.0279628795636895,0.5427143295714119,0.5349515720029141,0.025044205506874702,0.02468598372194591,0.0271999999999999,-0.0068667706167706,0.0191831944444444,0.0055741071428571,-0.037017027027027,0.00736125,True,0.1135179345753764,-0.1843242035181382,0.033942759988336,0.5056973025443848,0.0324054555068747,0.007229438,20.0,-2.5,-10.0,0.04023896131395238,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.07337870912295573,0.0024976477124498053
0.002,-10.0,20.00041753590767,19.856863571840588,-20,0,0.0772623901335357,0.07615726139252203,0.07789900066595891,0.07678476611557283,-0.1276651404531032,-0.1258390719649756,0.027131066195723905,0.026742994832989496,0.4524391047612594,0.4459676060493249,0.0257601175701692,0.02539165568011529,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1057990006659588,0.0945123901335356,0.0331310661957239,0.4123891047612595,0.0333601175701692,0.007229438,20.0,0.0,-10.0,0.005799928462808927,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.07124106518755383,0.00036000377704790114
-0.005,-10.0,20.00815716209881,19.864547646490465,-20,0,0.07655911362931579,0.07546404425970327,0.0775749891853469,0.07646538915893845,-0.1276697254626372,-0.12584359139246112,0.027691896843418003,0.027295803594918257,0.4500837040912486,0.44364589604009397,0.025835792199203,0.025466247891075225,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1054749891853468,0.0938091136293157,0.033691896843418,0.4100337040912487,0.033435792199203,0.007229438,20.0,-0.0,-10.0,0.005694821976030454,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.0712345411877364,0.00035347977723046886
0.005,-10.0,20.0044300867185,19.86084732237393,-20,0,0.0775027612485797,0.07639419434020822,0.078055029707537,0.07693856338334762,-0.1279248359021708,-0.12609505283953704,0.0272003580526752,0.02681129556835495,0.4542075282267739,0.44771073472917916,0.0258661797980238,0.025496200838459934,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1059550297075369,0.0947527612485796,0.0332003580526752,0.414157528226774,0.0334661797980238,0.007229438,20.0,0.0,-10.0,0.005836072928889502,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.07124330868838179,0.0003622472778758553
2.5,-10.0,19.998112423600706,19.854575004588682,-20,0,0.3593170863485193,0.3541775658318135,0.0767514286244448,0.07565360846200697,-0.1283258402880178,-0.12649032142726407,0.027477871933628103,0.02708484000744434,0.3566688646197774,0.35156722315314953,0.027581816288713604,0.027187297586181443,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.1049014286244447,0.3723218021107932,0.0335445386002947,0.3160813646197774,0.0350318162887136,0.007229438,20.0,2.5,-10.0,0.12544174813854858,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.07866727867489924,0.007786217264393309
5.0,-10.0,19.992835656405287,19.849336111644988,-20,0,0.6268124871873667,0.617846824934105,0.08231357070790231,0.08113619200388421,-0.1273799196598005,-0.12555793084997005,0.0280755570061804,0.027673976044034754,0.2712870364224493,0.2674066607248207,0.0288873315178565,0.028474139274432538,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.1102135707079022,0.6338624871873667,0.0339755570061804,0.2329370364224494,0.0362873315178565,0.007229438,20.0,5.0,-10.0,0.38173469908115465,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.09457548012285394,0.023694418712348005
6.0,-10.0,19.99483948656011,19.851325559211972,-20,0,0.7223750402898361,0.7120424914593452,0.0867189770772358,0.08547858529290553,-0.1218798660624063,-0.12013654770655859,0.026812800474642504,0.02642928145095739,0.246405280475111,0.24288080295221878,0.0268400099009509,0.026456101685072946,0.0272999999999999,-0.01385,0.00565,0.0065,-0.03745,0.0076,True,0.1140189770772357,0.7280250402898362,0.0333128004746425,0.208955280475111,0.0344400099009509,0.007229438,20.0,6.0,-10.0,0.5070045096436316,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.1023510251561673,0.03146996374566137
7.0,-10.0,19.993435453169816,19.849931603339236,-20,0,0.8075660296074779,0.7960149446870783,0.0913088675303878,0.09000282388298268,-0.1206246171718105,-0.1188992533682841,0.026257320688111097,0.025881747013723186,0.2248085494307389,0.22159298246766532,0.027149804843158404,0.026761465450690358,0.0260999999999999,-0.01405,0.00715,0.0071,-0.03575,0.0077,True,0.1174088675303877,0.8147160296074779,0.0333573206881111,0.1890585494307389,0.0348498048431584,0.007229438,20.0,7.0,-10.0,0.6336397921651724,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.11021132555601115,0.03933026414550522
8.0,-10.0,19.991798997474028,19.84830689338334,-20,0,0.9008625063376392,0.8879769478435952,0.0989562267412724,0.09754079848329288,-0.1158121482650939,-0.11415561999325186,0.023998947373928003,0.023655676521820487,0.1568646646117112,0.15462093840789776,0.0258470568518506,0.02547735141886794,0.0244999999999999,-0.01525,0.00775,0.0074,-0.0337499999999999,0.0079,True,0.1234562267412723,0.9086125063376392,0.031398947373928,0.1231146646117113,0.0337470568518506,0.007229438,20.0,8.0,-10.0,0.788503059901627,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.11982374778994047,0.04894268637943454
