Run_nr,Time,Alpha,Beta,Delta_Pb,P_bar,T,B1,B2,B3,B4,B5,B6,rpm,Rho,Q,V,Re,nrotor1,nrotor2,I1,I2,dptq,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Extra8,Extra9,Extra10,source_file,file_type,rudder_setting
20,08:03:34,2.496,-10.0,414.92,1011.93,16.74,683.6,4276.0,2362.5,-391.9,-76.4,-2171.3,0.0,1.216,972.4,40.0,446332,98.42,98.43,6.88,6.75,0.0,21.406,21.947,30.325,30.385,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
21,08:06:09,2.496,0.0,104.48,1011.92,16.3,-113.3,-50.8,254.6,245.6,-130.7,25.6,0.0,1.218,243.7,20.0,223895,61.52,61.52,1.82,1.43,0.0,21.349,21.333,38.423,39.307,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
22,08:06:43,2.496,0.0,104.43,1011.92,16.26,402.7,-22.7,167.0,158.0,281.8,12.1,0.0,1.218,243.6,20.0,223875,41.01,41.01,0.2,0.11,0.0,21.186,21.102,34.335,33.595,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
23,08:07:07,2.496,0.0,104.31,1011.91,16.26,493.9,-21.9,150.0,143.4,354.5,10.9,0.0,1.218,243.3,20.0,223750,35.15,35.15,-0.16,-0.09,0.0,21.031,20.886,26.85,26.17,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
24,08:07:32,2.496,0.0,104.52,1011.92,16.24,232.4,-28.3,198.6,185.0,143.7,14.5,0.0,1.218,243.8,20.0,223996,49.21,49.21,0.56,0.54,0.0,20.844,20.649,44.904,43.815,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
25,08:08:10,2.496,-4.0,104.33,1011.91,16.22,249.6,428.2,323.7,74.6,129.6,-246.9,0.0,1.218,243.4,20.0,223809,49.21,49.21,0.56,0.58,0.0,20.549,20.332,44.893,43.941,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
26,08:09:03,2.496,-8.0,104.24,1011.9,16.18,328.7,671.0,453.6,-22.7,105.8,-350.6,0.0,1.218,243.2,20.0,223747,49.21,49.21,0.6,0.58,0.0,20.185,19.959,44.909,44.134,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
27,08:09:49,2.496,4.0,104.72,1011.91,16.16,212.9,-661.1,31.8,358.0,134.0,373.5,0.0,1.218,244.3,20.0,224284,49.21,49.21,0.54,0.59,0.0,19.909,19.666,45.047,43.803,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
28,08:10:41,2.496,-9.995,104.26,1011.89,16.14,330.2,896.7,533.5,-88.4,83.8,-457.2,0.0,1.219,243.2,20.0,223807,49.21,49.21,0.59,0.58,0.0,19.603,19.399,45.032,44.352,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
29,08:11:37,2.496,7.995,104.54,1011.88,16.08,131.1,-1319.7,-130.1,578.5,48.1,714.7,0.0,1.219,243.9,20.0,224164,49.21,49.21,0.64,0.54,0.0,19.357,19.146,45.333,43.908,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
