KS,,4digit,,64,
X,Y,X,Y,X,Y
0.04054932272710217,0.8862909459307344,0.06355183670406363,0.9432719222543245,0.06114442234812953,0.9607728040223633
0.04809275449326478,0.8890294548046979,0.06617237627105924,0.9467254512025816,0.06342276087201229,0.9596516453416383
0.05978762522982252,0.8929503583355222,0.06842069715958124,0.9494135304491389,0.06570410115943115,0.9581495628681852
0.07374282390904656,0.898035645941991,0.07105024201718509,0.9517242880192114,0.06760421747776818,0.9570248020712169
0.08580991332407789,0.9027219991745151,0.07404900378972647,0.9551814190837118,0.0706359986492064,0.9562917714157069
0.0967483396495441,0.9066356984728529,0.0770507673258039,0.958257626355484,0.07328355408802671,0.9563169862294099
0.10579865671081759,0.9101504633972459,0.08042775130389103,0.9617183595362276,0.07668755393793854,0.9563494052755995
0.11409553112453566,0.9132771002964242,0.08305129263442271,0.9647909646917565,0.07971333158230459,0.9563782222055459
0.12465273348092001,0.917568121271247,0.08568083749202654,0.9671017222618289,0.08235188173051666,0.9575462083974335
0.13332783010018384,0.9206983602866685,0.08755393793853888,0.9694052755994147,0.08499343364226482,0.9583332707965931
0.14237814716145736,0.9242131252110616,0.08942703838505121,0.9717088289370006,0.0876319837904769,0.9595012569884809
0.15180068290120446,0.9284933398371544,0.0916783610371093,0.9740159843908297,0.08989231173314322,0.9606656410641252
0.1604727777569322,0.9320045026453042,0.09355146148362163,0.9763195377284155,0.0925278601178192,0.9622145510487412
0.17065776143484296,0.9355300739184271,0.09542756369367002,0.9782421672732731,0.09478518629694944,0.9637598589171139
0.18121196202769124,0.9402020186859781,0.0976788863457281,0.9805493227271023,0.09704251247607969,0.9653051667854866
0.18837717158830813,0.9429369254436982,0.09992720723425011,0.9832374019736596,0.09929683689167385,0.9672313984465875
0.19403249409027803,0.945276499943717,0.10217552812277213,0.985925481220217,0.10117594086525834,0.9687731041987169
0.19704926644403584,0.946448088251848,0.10442685077483022,0.9882326366740461,0.10343026528085249,0.9706993358598177
0.19893437394469252,0.9472279464185209,0.10667517166335222,0.9909207159206035,0.10568158793291056,0.9730064913136469
0.06544594949532849,0.8949090090428127,0.10892349255187422,0.9936087951671608,0.10793891411204082,0.9745517991820195
0.09071479494202843,0.9042925218565908,0.11079959476192261,0.9955314247120184,0.10981501632208923,0.9764744287268772
0.10051855465085736,0.9081954148061987,0.11267269520843493,0.9978349780496043,0.11131289632659189,0.9783934561554914
,,0.1156714569809763,1.0012921091141047,0.11318899853664025,0.980316085700349
,,0.11830100183858014,1.003602866684177,0.11544032118869835,0.9826232411541782
,,0.12092754493264793,1.0062945480469776,0.11806986604630218,0.9849339987242506
,,0.12280364714269631,1.0082171775918354,0.12032118869836028,0.9872411541780797
,,0.12505496979475442,1.0105243330456644,0.12257251135041836,0.9895483096319089
,,0.12692807024126673,1.0128278863832503,0.12482383400247643,0.991855465085738
,,0.12955161157179843,1.0159004915387793,0.1274533788600803,0.9941662226558103
,,0.1321781546658662,1.0185921729015799,0.1293264793065926,0.9964697759933963
,,0.13481070128700612,1.020522006678924,0.13195302240066037,0.9991614573561969
,,0.1374342426175378,1.0235946118344528,0.13382912461070878,1.0010840869010544
,,0.1400547821845334,1.02704814078271,0.13608044726276688,1.0033912423548836
,,0.14268432704213724,1.0293588983527824,0.13795054594574313,1.0060757194851977
,,0.1449356496941953,1.0316660538066116,0.14020487036133727,1.0080019511462985
,,0.14718697234625341,1.0339732092604406,0.14245319124985928,1.0106900303928559
,,0.1494382949983115,1.0362803647142698,0.14432328993283555,1.01337450752317
,,0.15131739897189597,1.0378220704663992,0.1465776143484297,1.015300739184271
,,0.1531904994184083,1.0401256238039849,0.1488289370004878,1.0176078946381
,,0.15544482383400246,1.042051855465086,0.15182769877302915,1.0210650257026004
,,0.15732092604405087,1.0439744850099435,0.15445424186709691,1.023756707065401
,,0.15957224869610895,1.0462816404637727,0.156705564519155,1.0260638625192302
,,0.16145135266969343,1.047823346215902,0.158953885407677,1.0287519417657875
,,0.16332745487974185,1.0497459757607597,0.16158343026528085,1.03106269933586
,,0.16520355708979026,1.0516686053056172,0.16383475291733893,1.033369854789689
,,0.1674578815053844,1.053594836966718,0.16645829424787062,1.036442459945218
,,0.16971220592097858,1.055521068627819,0.16946305954748414,1.039137743424262
,,0.171588308131027,1.0574436981726767,0.172092604405088,1.0414485009943344
,,0.17346441034107538,1.0593663277175343,0.17396570485160032,1.04375205433192
,,0.17534051255112376,1.0612889572623918,0.17622002926719446,1.045678285993021
,,0.17759483696671796,1.0632151889234926,0.17922479456680798,1.0483735694720648
,,0.17984916138231208,1.0651414205845935,0.18185433942441181,1.0506843270421373
,,0.1813500431503508,1.0666795242204796,0.18448688604555175,1.0526141608194817
,,0.18397958800795466,1.068990281790552,0.18673820869760982,1.0549213162733106
,,0.18585869198153915,1.0705319875426815,0.18974597576075944,1.0572356759596264
,,0.1873595737495779,1.0720700911785674,0.19312896326591872,1.0599345615549136
,,0.18999212037071778,1.0739999249559118,0.19575550635998645,1.0626262429177142
,,0.19149300213875647,1.0755380285917977,0.19800983077558065,1.064552474578815
,,0.19374732655435067,1.0774642602528988,0.1998919365127012,1.0657132565382164
,,0.19599864920640875,1.0797714157067277,,
,,0.19825597538553902,1.0813167235751004,,
,,0.19975685715357772,1.0828548272109866,,
