17.000,417.749,1012.141,15.020,1.224,979.072,40.004,451325.932,0.000,0.000,0.000,0.000,7.996,-0.005,82.159,0.000,0.166,-0.054,23.667,0.000,31.763,82.001,66.428,0.042,2.220,22.728,2.057,31.770,23.000,2.000,2026.000,13.000,16.000,12.000
17.000,417.760,1012.149,15.020,1.224,979.098,40.005,451333.703,0.000,0.000,0.000,0.000,7.996,-0.005,82.042,0.000,0.132,0.256,23.671,0.000,31.581,81.992,56.697,0.040,0.671,22.733,1.312,31.766,23.000,2.000,2026.000,13.000,16.000,12.000
17.000,417.760,1012.156,15.020,1.224,979.098,40.005,451335.264,0.000,0.000,0.000,0.000,7.996,-0.005,81.993,0.000,0.119,0.927,23.649,0.000,31.798,82.051,67.037,0.045,1.271,22.707,1.173,31.724,23.000,2.000,2026.000,13.000,16.000,13.000
17.000,417.652,1012.164,15.020,1.224,978.843,39.999,451278.253,0.000,0.000,0.000,0.000,7.996,-0.005,82.018,0.000,0.053,1.091,23.627,0.000,31.805,82.147,73.751,0.264,1.167,22.705,1.698,31.168,23.000,2.000,2026.000,13.000,16.000,13.000
17.000,417.620,1012.165,15.020,1.224,978.767,39.998,451261.054,0.000,0.000,0.000,0.000,7.996,-0.005,82.052,0.000,0.104,0.633,23.616,0.000,31.780,81.973,74.640,0.037,-0.262,22.691,1.210,31.745,23.000,2.000,2026.000,13.000,16.000,14.000
17.000,417.607,1012.162,15.020,1.224,978.737,39.997,451253.307,0.000,0.000,0.000,0.000,7.996,-0.005,82.059,0.000,0.125,0.458,23.627,0.000,31.857,81.983,69.078,0.023,0.469,22.674,1.004,31.829,23.000,2.000,2026.000,13.000,16.000,14.000
17.000,417.615,1012.164,15.020,1.224,978.756,39.997,451258.109,0.000,0.000,0.000,0.000,7.996,-0.005,82.041,0.000,0.127,0.987,23.616,0.000,31.864,82.001,68.455,0.072,1.140,22.647,0.479,31.742,23.000,2.000,2026.000,13.000,16.000,15.000
17.000,417.602,1012.172,15.020,1.224,978.725,39.997,451252.814,0.000,0.000,0.000,0.000,7.996,-0.005,81.993,0.000,0.078,0.845,23.595,0.000,31.770,81.966,56.796,0.028,2.241,22.665,0.541,31.920,23.000,2.000,2026.000,13.000,16.000,15.000
17.000,417.574,1012.174,15.020,1.224,978.659,39.995,451238.015,0.000,0.000,0.000,0.000,7.996,-0.005,81.940,0.000,0.046,0.284,23.572,0.000,32.099,81.983,60.775,0.016,-0.060,22.652,0.495,31.833,23.000,2.000,2026.000,13.000,16.000,16.000
17.000,417.509,1012.179,15.020,1.224,978.505,39.992,451203.737,0.000,0.000,0.000,0.000,7.996,-0.005,82.053,0.000,0.066,0.393,23.557,0.000,31.665,82.012,62.141,0.017,0.578,22.627,0.536,31.801,23.000,2.000,2026.000,13.000,16.000,16.000
17.000,417.426,1012.186,15.020,1.224,978.309,39.988,451160.099,0.000,0.000,0.000,0.000,7.996,-0.005,81.975,0.000,0.020,0.278,23.570,0.000,31.787,82.008,59.150,0.042,1.958,22.607,0.418,31.899,23.000,2.000,2026.000,13.000,16.000,17.000
17.000,417.429,1012.193,15.000,1.224,978.316,39.986,451203.282,0.000,0.000,0.000,0.000,7.996,-0.005,82.175,0.000,0.177,0.960,23.559,0.000,31.826,82.022,57.782,0.029,0.120,22.601,1.136,31.875,23.000,2.000,2026.000,13.000,16.000,17.000
17.000,417.471,1012.193,15.020,1.224,978.415,39.990,451186.165,0.000,0.000,0.000,0.000,7.996,-0.005,81.985,0.000,0.058,1.314,23.504,0.000,31.896,82.114,58.355,0.106,0.054,22.597,1.642,31.815,23.000,2.000,2026.000,13.000,16.000,18.000
17.000,417.532,1012.198,15.000,1.224,978.560,39.991,451260.490,0.000,0.000,0.000,0.000,7.996,-0.005,81.980,0.000,0.027,0.714,23.520,0.000,31.850,82.083,72.224,0.077,0.360,22.570,1.303,31.864,23.000,2.000,2026.000,13.000,16.000,18.000
17.000,417.639,1012.201,15.000,1.224,978.812,39.996,451319.423,0.000,0.000,0.000,0.000,7.996,-0.005,82.060,0.000,0.047,1.827,23.492,0.000,31.906,81.958,78.384,0.023,1.080,22.562,1.169,31.833,23.000,2.000,2026.000,13.000,16.000,19.000
17.000,417.590,1012.198,15.000,1.224,978.697,39.994,451292.073,0.000,0.000,0.000,0.000,7.996,-0.005,81.956,0.000,0.017,1.527,23.478,0.000,31.871,82.000,55.579,0.029,0.164,22.562,0.419,31.878,23.000,2.000,2026.000,13.000,16.000,19.000
17.000,417.512,1012.192,15.000,1.224,978.512,39.991,451248.261,0.000,0.000,0.000,0.000,7.996,-0.005,81.977,0.000,0.097,2.209,23.474,0.000,31.878,82.063,45.356,0.127,0.093,22.516,1.525,31.903,23.000,2.000,2026.000,13.000,16.000,20.000
17.000,417.466,1012.191,15.000,1.224,978.404,39.988,451222.987,0.000,0.000,0.000,0.000,7.996,-0.005,82.009,0.000,0.062,1.418,23.465,0.000,31.854,82.000,51.094,0.032,0.829,22.536,0.235,31.871,23.000,2.000,2026.000,13.000,16.000,20.000
